Date,MEGASOFT
2016-01-01,9.1
2016-01-04,10.1
2016-01-05,12.1
2016-01-06,12.9
2016-01-07,13.2
2016-01-08,12.95
2016-01-11,12.9
2016-01-12,13.25
2016-01-13,12.0
2016-01-14,10.8
2016-01-15,9.75
2016-01-18,9.3
2016-01-19,9.55
2016-01-20,9.1
2016-01-21,8.85
2016-01-22,8.85
2016-01-25,8.8
2016-01-27,8.95
2016-01-28,8.95
2016-01-29,8.85
2016-02-01,8.6
2016-02-02,8.3
2016-02-03,8.1
2016-02-04,8.5
2016-02-05,7.85
2016-02-08,7.9
2016-02-09,7.35
2016-02-10,7.55
2016-02-11,6.8
2016-02-12,6.7
2016-02-15,6.8
2016-02-16,6.3
2016-02-17,6.45
2016-02-18,6.65
2016-02-19,6.25
2016-02-22,6.6
2016-02-23,6.15
2016-02-24,6.05
2016-02-25,6.0
2016-02-26,5.7
2016-02-29,5.95
2016-03-01,5.7
2016-03-02,5.95
2016-03-03,6.2
2016-03-04,6.5
2016-03-08,6.8
2016-03-09,7.05
2016-03-10,6.9
2016-03-11,6.95
2016-03-14,6.85
2016-03-15,6.85
2016-03-16,6.8
2016-03-17,7.1
2016-03-18,7.0
2016-03-21,6.9
2016-03-22,6.7
2016-03-23,6.85
2016-03-28,6.75
2016-03-29,6.5
2016-03-30,6.55
2016-03-31,6.35
2016-04-01,6.7
2016-04-04,6.65
2016-04-05,6.5
2016-04-06,6.6
2016-04-07,7.25
2016-04-08,7.95
2016-04-11,8.3
2016-04-12,8.7
2016-04-13,9.1
2016-04-18,9.55
2016-04-20,10.0
2016-04-21,10.45
2016-04-22,10.95
2016-04-25,11.45
2016-04-26,12.0
2016-04-27,12.6
2016-04-28,13.2
2016-04-29,12.55
2016-05-02,11.95
2016-05-03,11.4
2016-05-04,10.85
2016-05-05,11.35
2016-05-06,11.9
2016-05-09,12.45
2016-05-10,13.05
2016-05-11,12.55
2016-05-12,12.15
2016-05-13,11.8
2016-05-16,11.65
2016-05-17,11.75
2016-05-18,11.8
2016-05-19,11.4
2016-05-20,10.85
2016-05-23,10.35
2016-05-24,9.85
2016-05-25,10.3
2016-05-26,10.8
2016-05-27,10.5
2016-05-30,11.0
2016-05-31,10.65
2016-06-01,10.7
2016-06-02,11.15
2016-06-03,10.65
2016-06-06,10.8
2016-06-07,10.55
2016-06-08,10.3
2016-06-09,10.8
2016-06-10,11.3
2016-06-13,11.85
2016-06-14,12.2
2016-06-15,11.95
2016-06-16,12.05
2016-06-17,12.3
2016-06-20,12.5
2016-06-21,13.1
2016-06-22,13.75
2016-06-23,14.4
2016-06-24,15.05
2016-06-27,15.8
2016-06-28,16.55
2016-06-29,17.35
2016-06-30,16.6
2016-07-01,16.25
2016-07-04,17.05
2016-08-09,17.4
2016-08-10,17.45
2016-08-11,16.6
2016-08-12,17.0
2016-08-16,16.5
2016-08-17,16.2
2016-08-18,15.9
2016-08-19,16.05
2016-08-22,15.55
2016-08-23,15.85
2016-08-24,16.6
2016-08-25,16.9
2016-08-26,16.55
2016-08-29,15.75
2016-08-30,15.65
2016-08-31,16.0
2016-09-01,15.8
2016-09-02,16.65
2016-09-06,16.6
2016-09-07,16.3
2016-09-08,16.2
2016-09-09,16.1
2016-09-12,15.6
2016-09-14,15.3
2016-09-15,16.0
2016-09-16,15.65
2016-09-19,15.6
2016-09-20,15.55
2016-09-21,15.4
2016-09-22,15.35
2016-09-23,15.25
2016-09-26,15.9
2016-09-27,15.9
2016-09-28,16.1
2016-09-29,14.5
2016-09-30,14.45
2016-10-03,14.7
2016-10-04,14.4
2016-10-05,15.5
2016-10-06,15.35
2016-10-07,17.65
2016-10-10,21.15
2016-10-13,24.45
2016-10-14,23.25
2016-10-17,22.1
2016-10-18,24.25
2016-10-19,24.1
2016-10-20,23.35
2016-10-21,22.65
2016-10-24,23.25
2016-10-25,23.7
2016-10-26,22.6
2016-10-27,22.15
2016-10-28,21.5
2016-10-30,21.8
2016-11-01,21.6
2016-11-02,20.15
2016-11-03,20.1
2016-11-04,19.15
2016-11-07,21.8
2016-11-08,20.95
2016-11-09,19.9
2016-11-10,20.9
2016-11-11,20.0
2016-11-15,17.4
2016-11-16,16.85
2016-11-17,15.65
2016-11-18,15.5
2016-11-21,14.9
2016-11-22,15.15
2016-11-23,16.45
2016-11-24,16.2
2016-11-25,19.4
2016-11-28,21.8
2016-11-29,20.85
2016-11-30,21.25
2016-12-01,20.75
2016-12-02,19.6
2016-12-05,19.25
2016-12-06,19.55
2016-12-07,19.0
2016-12-08,18.8
2016-12-09,20.65
2016-12-12,20.3
2016-12-13,20.2
2016-12-14,20.5
2016-12-15,20.85
2016-12-16,20.65
2016-12-19,20.1
2016-12-20,19.7
2016-12-21,19.2
2016-12-22,19.1
2016-12-23,19.9
2016-12-26,19.1
2016-12-27,19.1
2016-12-28,19.5
2016-12-29,19.35
2016-12-30,19.9
