Date,JETAIRWAYS
2016-01-01,760.75
2016-01-04,732.95
2016-01-05,738.8
2016-01-06,744.0
2016-01-07,742.6
2016-01-08,746.6
2016-01-11,749.15
2016-01-12,773.2
2016-01-13,775.8
2016-01-14,753.2
2016-01-15,707.9
2016-01-18,635.5
2016-01-19,671.1
2016-01-20,650.85
2016-01-21,658.85
2016-01-22,617.2
2016-01-25,625.25
2016-01-27,645.5
2016-01-28,625.0
2016-01-29,602.6
2016-02-01,605.95
2016-02-02,601.45
2016-02-03,560.7
2016-02-04,528.95
2016-02-05,569.5
2016-02-08,594.0
2016-02-09,576.9
2016-02-10,586.95
2016-02-11,524.45
2016-02-12,543.95
2016-02-15,566.2
2016-02-16,534.25
2016-02-17,549.35
2016-02-18,542.9
2016-02-19,557.45
2016-02-22,551.3
2016-02-23,549.65
2016-02-24,524.9
2016-02-25,504.7
2016-02-26,505.4
2016-02-29,491.5
2016-03-01,510.1
2016-03-02,513.85
2016-03-03,517.25
2016-03-04,534.35
2016-03-08,526.65
2016-03-09,540.05
2016-03-10,536.2
2016-03-11,538.05
2016-03-14,526.2
2016-03-15,530.8
2016-03-16,528.55
2016-03-17,522.8
2016-03-18,522.6
2016-03-21,546.45
2016-03-22,540.3
2016-03-23,554.15
2016-03-28,543.95
2016-03-29,538.5
2016-03-30,542.9
2016-03-31,547.3
2016-04-01,566.5
2016-04-04,588.4
2016-04-05,594.45
2016-04-06,628.95
2016-04-07,614.2
2016-04-08,614.95
2016-04-11,626.55
2016-04-12,630.95
2016-04-13,626.2
2016-04-18,639.4
2016-04-20,624.1
2016-04-21,617.65
2016-04-22,615.9
2016-04-25,626.05
2016-04-26,636.15
2016-04-27,637.45
2016-04-28,628.15
2016-04-29,617.45
2016-05-02,618.95
2016-05-03,620.95
2016-05-04,623.8
2016-05-05,623.05
2016-05-06,625.8
2016-05-09,657.85
2016-05-10,661.2
2016-05-11,651.2
2016-05-12,654.25
2016-05-13,651.85
2016-05-16,662.75
2016-05-17,654.75
2016-05-18,648.55
2016-05-19,633.45
2016-05-20,603.85
2016-05-23,607.15
2016-05-24,582.0
2016-05-25,598.65
2016-05-26,606.25
2016-05-27,604.1
2016-05-30,599.3
2016-05-31,588.0
2016-06-01,575.15
2016-06-02,570.1
2016-06-03,557.5
2016-06-06,565.7
2016-06-07,552.25
2016-06-08,551.15
2016-06-09,568.75
2016-06-10,569.6
2016-06-13,550.2
2016-06-14,559.15
2016-06-15,561.35
2016-06-16,557.55
2016-06-17,549.95
2016-06-20,586.0
2016-06-21,576.45
2016-06-22,562.95
2016-06-23,556.65
2016-06-24,533.6
2016-06-27,541.6
2016-06-28,551.15
2016-06-29,558.6
2016-06-30,555.75
2016-07-01,546.35
2016-07-04,570.1
2016-07-05,570.8
2016-07-07,569.9
2016-07-08,570.5
2016-07-11,574.0
2016-07-12,576.25
2016-07-13,564.6
2016-07-14,570.7
2016-07-15,560.95
2016-07-18,559.55
2016-07-19,553.7
2016-07-20,560.05
2016-07-21,550.95
2016-07-22,567.45
2016-07-25,574.1
2016-07-26,566.65
2016-07-27,581.9
2016-07-28,588.7
2016-07-29,620.6
2016-08-01,608.6
2016-08-02,578.2
2016-08-03,593.8
2016-08-04,588.6
2016-08-05,599.65
2016-08-08,588.45
2016-08-09,554.55
2016-08-10,552.0
2016-08-11,547.1
2016-08-12,540.2
2016-08-16,539.75
2016-08-17,542.85
2016-08-18,540.15
2016-08-19,537.95
2016-08-22,543.55
2016-08-23,549.9
2016-08-24,543.25
2016-08-25,532.6
2016-08-26,529.5
2016-08-29,529.15
2016-08-30,534.6
2016-08-31,539.05
2016-09-01,538.6
2016-09-02,534.05
2016-09-06,528.45
2016-09-07,549.35
2016-09-08,548.4
2016-09-09,540.7
2016-09-12,531.05
2016-09-14,534.65
2016-09-15,540.55
2016-09-16,540.6
2016-09-19,540.25
2016-09-20,535.4
2016-09-21,535.5
2016-09-22,539.25
2016-09-23,547.55
2016-09-26,541.05
2016-09-27,526.45
2016-09-28,527.15
2016-09-29,461.5
2016-09-30,476.25
2016-10-03,493.0
2016-10-04,487.3
2016-10-05,484.3
2016-10-06,473.85
2016-10-07,466.85
2016-10-10,467.05
2016-10-13,452.0
2016-10-14,455.8
2016-10-17,455.65
2016-10-18,461.35
2016-10-19,467.85
2016-10-20,466.2
2016-10-21,477.65
2016-10-24,471.85
2016-10-25,464.85
2016-10-26,460.35
2016-10-27,454.45
2016-10-28,458.9
2016-10-30,467.05
2016-11-01,474.6
2016-11-02,462.25
2016-11-03,456.7
2016-11-04,435.8
2016-11-07,435.15
2016-11-08,437.2
2016-11-09,425.55
2016-11-10,440.2
2016-11-11,424.95
2016-11-15,379.3
2016-11-16,373.0
2016-11-17,362.15
2016-11-18,360.1
2016-11-21,348.5
2016-11-22,340.8
2016-11-23,361.55
2016-11-24,353.95
2016-11-25,370.45
2016-11-28,394.4
2016-11-29,395.9
2016-11-30,397.15
2016-12-01,382.8
2016-12-02,377.1
2016-12-05,378.7
2016-12-06,371.8
2016-12-07,368.7
2016-12-08,373.1
2016-12-09,369.05
2016-12-12,355.65
2016-12-13,361.7
2016-12-14,357.95
2016-12-15,360.4
2016-12-16,361.6
2016-12-19,359.05
2016-12-20,351.85
2016-12-21,350.05
2016-12-22,350.15
2016-12-23,349.1
2016-12-26,340.35
2016-12-27,343.4
2016-12-28,340.55
2016-12-29,342.25
2016-12-30,347.6
