Date,INDTERRAIN
2016-01-01,147.85
2016-01-04,140.75
2016-01-05,146.1
2016-01-06,141.9
2016-01-07,138.55
2016-01-08,142.55
2016-01-11,136.0
2016-01-12,126.45
2016-01-13,120.3
2016-01-14,125.6
2016-01-15,122.65
2016-01-18,114.55
2016-01-19,120.05
2016-01-20,115.0
2016-01-21,113.8
2016-01-22,119.95
2016-01-25,119.9
2016-01-27,116.65
2016-01-28,113.8
2016-01-29,114.35
2016-02-01,114.8
2016-02-02,114.7
2016-02-03,110.5
2016-02-04,109.35
2016-02-05,109.8
2016-02-08,109.05
2016-02-09,108.9
2016-02-10,113.6
2016-02-11,112.0
2016-02-12,109.65
2016-02-15,115.3
2016-02-16,114.8
2016-02-17,109.95
2016-02-18,109.2
2016-02-19,112.45
2016-02-22,110.1
2016-02-23,111.0
2016-02-24,109.55
2016-02-25,109.95
2016-02-26,110.1
2016-02-29,110.1
2016-03-01,114.4
2016-03-02,116.15
2016-03-03,117.2
2016-03-04,120.75
2016-03-08,116.7
2016-03-09,117.35
2016-03-10,116.5
2016-03-11,119.1
2016-03-14,117.3
2016-03-15,115.2
2016-03-16,115.5
2016-03-17,117.3
2016-03-18,116.8
2016-03-21,119.6
2016-03-22,122.15
2016-03-23,132.45
2016-03-28,133.8
2016-03-29,134.05
2016-03-30,132.65
2016-03-31,133.55
2016-04-01,138.5
2016-04-04,138.1
2016-04-05,135.0
2016-04-06,133.75
2016-04-07,131.9
2016-04-08,132.55
2016-04-11,131.8
2016-04-12,131.55
2016-04-13,131.8
2016-04-18,133.25
2016-04-20,134.8
2016-04-21,134.7
2016-04-22,131.15
2016-04-25,131.8
2016-04-26,130.35
2016-04-27,130.75
2016-04-28,130.25
2016-04-29,131.1
2016-05-02,132.5
2016-05-03,132.25
2016-05-04,130.3
2016-05-05,128.6
2016-05-06,124.25
2016-05-09,125.65
2016-05-10,121.9
2016-05-11,124.3
2016-05-12,125.85
2016-05-13,129.65
2016-05-16,131.7
2016-05-17,133.15
2016-05-18,139.35
2016-05-19,136.7
2016-05-20,137.65
2016-05-23,137.15
2016-05-24,133.8
2016-05-25,134.7
2016-05-26,134.95
2016-05-27,139.9
2016-05-30,142.0
2016-05-31,150.65
2016-06-01,151.65
2016-06-02,157.55
2016-06-03,159.45
2016-06-06,153.65
2016-06-07,153.45
2016-06-08,155.85
2016-06-09,153.6
2016-06-10,156.15
2016-06-13,153.0
2016-06-14,148.7
2016-06-15,152.55
2016-06-16,145.65
2016-06-17,149.9
2016-06-20,151.5
2016-06-21,153.5
2016-06-22,151.7
2016-06-23,154.15
2016-06-24,152.4
2016-06-27,149.75
2016-06-28,150.6
2016-06-29,153.75
2016-06-30,154.35
2016-07-01,156.35
2016-07-04,155.8
2016-07-05,152.4
2016-07-07,151.85
2016-07-08,152.95
2016-07-11,152.5
2016-07-12,154.15
2016-07-13,153.65
2016-07-14,154.2
2016-07-15,152.55
2016-07-18,152.55
2016-07-19,154.15
2016-07-20,156.15
2016-07-21,161.9
2016-07-22,167.05
2016-07-25,168.5
2016-07-26,168.5
2016-07-27,172.75
2016-07-28,178.6
2016-07-29,180.3
2016-08-01,167.75
2016-08-02,163.4
2016-08-03,156.8
2016-08-04,157.2
2016-08-05,160.65
2016-08-08,164.15
2016-08-09,156.6
2016-08-10,150.7
2016-08-11,152.05
2016-08-12,146.75
2016-08-16,145.95
2016-08-17,147.9
2016-08-18,157.4
2016-08-19,157.1
2016-08-22,150.65
2016-08-23,150.7
2016-08-24,150.95
2016-08-25,150.0
2016-08-26,146.2
2016-08-29,144.7
2016-08-30,148.2
2016-08-31,146.7
2016-09-01,145.45
2016-09-02,143.5
2016-09-06,145.1
2016-09-07,137.8
2016-09-08,139.65
2016-09-09,140.05
2016-09-12,138.65
2016-09-14,143.9
2016-09-15,143.0
2016-09-16,144.35
2016-09-19,148.7
2016-09-20,143.15
2016-09-21,147.6
2016-09-22,150.9
2016-09-23,153.55
2016-09-26,152.2
2016-09-27,148.5
2016-09-28,153.5
2016-09-29,146.8
2016-09-30,147.75
2016-10-03,150.45
2016-10-04,154.1
2016-10-05,150.05
2016-10-06,147.0
2016-10-07,149.7
2016-10-10,151.4
2016-10-13,143.0
2016-10-14,144.25
2016-10-17,143.9
2016-10-18,145.3
2016-10-19,145.6
2016-10-20,146.55
2016-10-21,150.35
2016-10-24,159.4
2016-10-25,159.6
2016-10-26,156.15
2016-10-27,156.8
2016-10-28,156.75
2016-10-30,160.8
2016-11-01,167.6
2016-11-02,159.9
2016-11-03,155.9
2016-11-04,151.4
2016-11-07,154.45
2016-11-08,156.5
2016-11-09,144.8
2016-11-10,143.15
2016-11-11,139.3
2016-11-15,135.7
2016-11-16,137.0
2016-11-17,138.6
2016-11-18,138.05
2016-11-21,132.7
2016-11-22,134.15
2016-11-23,134.5
2016-11-24,133.95
2016-11-25,134.75
2016-11-28,133.9
2016-11-29,137.45
2016-11-30,138.75
2016-12-01,138.6
2016-12-02,139.8
2016-12-05,140.85
2016-12-06,141.25
2016-12-07,141.1
2016-12-08,142.95
2016-12-09,144.4
2016-12-12,146.9
2016-12-13,148.45
2016-12-14,147.0
2016-12-15,148.15
2016-12-16,146.75
2016-12-19,146.45
2016-12-20,143.45
2016-12-21,143.05
2016-12-22,141.0
2016-12-23,142.2
2016-12-26,139.1
2016-12-27,144.15
2016-12-28,146.2
2016-12-29,145.0
2016-12-30,154.15
