Date,SEPOWER
2016-01-01,6.1
2016-01-04,5.8
2016-01-05,6.25
2016-01-06,5.9
2016-01-07,5.9
2016-01-08,7.05
2016-01-11,8.45
2016-01-12,9.25
2016-01-13,8.35
2016-01-14,8.5
2016-01-15,9.35
2016-01-18,9.8
2016-01-19,9.25
2016-01-20,8.95
2016-01-21,9.0
2016-01-22,9.55
2016-01-25,9.1
2016-01-27,9.35
2016-01-28,9.25
2016-01-29,9.15
2016-02-01,9.05
2016-02-02,9.0
2016-02-03,8.9
2016-02-04,8.95
2016-02-05,8.5
2016-02-08,8.15
2016-02-09,7.3
2016-02-10,7.2
2016-02-11,7.35
2016-02-12,6.9
2016-02-15,7.1
2016-02-16,6.65
2016-02-18,7.3
2016-02-19,7.65
2016-02-22,7.05
2016-02-23,6.8
2016-02-24,7.35
2016-02-25,7.05
2016-02-26,7.4
2016-02-29,6.1
2016-03-01,6.9
2016-03-02,6.6
2016-03-03,6.5
2016-03-04,6.7
2016-03-08,6.5
2016-03-09,6.7
2016-03-10,6.7
2016-03-11,7.05
2016-03-14,7.0
2016-03-15,6.85
2016-03-16,6.4
2016-03-17,6.25
2016-03-18,7.35
2016-03-21,7.3
2016-03-22,7.0
2016-03-23,7.4
2016-03-28,6.3
2016-03-29,6.2
2016-03-30,6.1
2016-03-31,6.9
2016-04-01,7.2
2016-04-04,7.25
2016-04-05,7.3
2016-04-06,6.95
2016-04-07,6.5
2016-04-08,6.85
2016-04-13,6.5
2016-04-18,7.15
2016-04-20,6.9
2016-04-21,6.95
2016-04-22,7.1
2016-04-25,6.75
2016-04-26,6.45
2016-04-27,6.5
2016-04-28,6.9
2016-04-29,6.6
2016-05-02,6.6
2016-05-03,6.85
2016-05-04,6.45
2016-05-05,6.15
2016-05-09,6.25
2016-05-10,6.55
2016-05-11,6.5
2016-05-12,6.3
2016-05-13,6.15
2016-05-16,6.4
2016-05-17,6.25
2016-05-18,6.1
2016-05-19,7.15
2016-05-20,6.85
2016-05-23,6.6
2016-05-24,7.05
2016-05-25,6.55
2016-05-26,6.8
2016-05-27,6.4
2016-05-30,6.4
2016-05-31,6.2
2016-06-01,6.0
2016-06-02,6.05
2016-06-03,6.05
2016-06-06,6.2
2016-06-07,6.0
2016-06-08,6.1
2016-06-09,6.0
2016-06-13,5.85
2016-06-14,5.85
2016-06-15,6.0
2016-06-16,6.05
2016-06-17,6.05
2016-06-20,6.0
2016-06-21,6.0
2016-06-22,6.2
2016-06-23,5.85
2016-06-24,5.5
2016-06-27,6.1
2016-06-28,5.7
2016-06-29,6.2
2016-06-30,6.3
2016-07-01,6.25
2016-07-04,6.3
2016-07-05,6.85
2016-07-07,7.1
2016-07-08,6.8
2016-07-11,7.05
2016-07-12,7.05
2016-07-13,8.45
2016-07-14,9.5
2016-07-15,8.3
2016-07-18,8.0
2016-07-19,7.65
2016-07-20,7.75
2016-07-21,7.6
2016-07-22,7.6
2016-07-25,7.5
2016-07-26,7.85
2016-07-27,7.4
2016-07-28,7.4
2016-07-29,7.6
2016-08-01,7.7
2016-08-02,7.5
2016-08-03,7.05
2016-08-04,7.15
2016-08-05,7.35
2016-08-08,7.3
2016-08-09,7.65
2016-08-10,7.55
2016-08-11,7.1
2016-08-12,7.25
2016-08-16,7.45
2016-08-17,6.9
2016-08-18,7.15
2016-08-19,6.7
2016-08-22,7.0
2016-08-23,7.0
2016-08-24,7.1
2016-08-25,6.85
2016-08-26,6.8
2016-08-29,7.0
2016-08-30,6.95
2016-08-31,6.85
2016-09-01,7.45
2016-09-02,6.75
2016-09-06,6.55
2016-09-07,7.0
2016-09-08,6.7
2016-09-09,6.4
2016-09-12,6.7
2016-09-14,6.6
2016-09-15,6.6
2016-09-16,6.8
2016-09-19,6.55
2016-09-20,6.75
2016-09-21,6.6
2016-09-22,6.4
2016-09-23,6.4
2016-09-26,6.65
2016-09-27,6.4
2016-09-28,6.65
2016-09-29,6.4
2016-09-30,6.55
2016-10-03,6.6
2016-10-04,6.3
2016-10-05,6.7
2016-10-06,6.55
2016-10-07,6.7
2016-10-10,6.5
2016-10-13,6.85
2016-10-14,6.9
2016-10-17,6.55
2016-10-18,6.4
2016-10-19,6.5
2016-10-20,6.6
2016-10-21,6.55
2016-10-24,6.7
2016-10-25,8.0
2016-10-26,9.6
2016-10-27,8.85
2016-10-28,8.15
2016-10-30,8.35
2016-11-01,9.15
2016-11-02,9.0
2016-11-03,8.7
2016-11-04,8.95
2016-11-07,8.95
2016-11-08,8.45
2016-11-09,8.8
2016-11-10,9.0
2016-11-11,9.3
2016-11-15,9.0
2016-11-16,8.1
2016-11-17,8.25
2016-11-18,8.1
2016-11-21,8.3
2016-11-22,8.0
2016-11-23,7.7
2016-11-24,7.7
2016-11-25,8.25
2016-11-28,7.85
2016-11-29,7.85
2016-11-30,7.3
2016-12-01,7.5
2016-12-02,7.5
2016-12-05,7.7
2016-12-06,7.1
2016-12-07,7.25
2016-12-08,7.45
2016-12-09,8.9
2016-12-12,8.25
2016-12-13,8.2
2016-12-14,8.6
2016-12-15,10.3
2016-12-16,12.35
2016-12-19,13.55
2016-12-20,14.9
2016-12-21,16.35
