Date,COROMANDEL
2016-01-01,189.95
2016-01-04,188.9
2016-01-05,185.85
2016-01-06,185.75
2016-01-07,177.7
2016-01-08,181.45
2016-01-11,178.95
2016-01-12,175.95
2016-01-13,172.0
2016-01-14,171.55
2016-01-15,167.6
2016-01-18,163.9
2016-01-19,165.0
2016-01-20,166.6
2016-01-21,165.5
2016-01-22,165.95
2016-01-25,164.65
2016-01-27,171.3
2016-01-28,166.7
2016-01-29,169.15
2016-02-01,168.25
2016-02-02,167.4
2016-02-03,168.75
2016-02-04,167.3
2016-02-05,168.25
2016-02-08,169.65
2016-02-09,172.35
2016-02-10,164.85
2016-02-11,158.9
2016-02-12,163.0
2016-02-15,169.0
2016-02-16,169.05
2016-02-17,172.5
2016-02-18,167.75
2016-02-19,167.1
2016-02-22,165.6
2016-02-23,167.55
2016-02-24,168.9
2016-02-25,170.25
2016-02-26,170.05
2016-02-29,170.8
2016-03-01,171.95
2016-03-02,168.6
2016-03-03,169.85
2016-03-04,172.8
2016-03-08,174.2
2016-03-09,172.15
2016-03-10,172.85
2016-03-11,171.8
2016-03-14,172.15
2016-03-15,171.75
2016-03-16,172.35
2016-03-17,172.45
2016-03-18,174.15
2016-03-21,178.3
2016-03-22,184.2
2016-03-23,183.7
2016-03-28,185.5
2016-03-29,185.9
2016-03-30,186.6
2016-03-31,190.3
2016-04-01,192.45
2016-04-04,194.55
2016-04-05,192.65
2016-04-06,193.35
2016-04-07,190.55
2016-04-08,192.25
2016-04-11,197.65
2016-04-12,208.4
2016-04-13,219.75
2016-04-18,220.45
2016-04-20,223.1
2016-04-21,221.05
2016-04-22,219.8
2016-04-25,220.05
2016-04-26,222.55
2016-04-27,228.1
2016-04-28,221.9
2016-04-29,224.1
2016-05-02,228.2
2016-05-03,229.1
2016-05-04,221.25
2016-05-05,223.0
2016-05-06,222.8
2016-05-09,232.8
2016-05-10,225.6
2016-05-11,227.1
2016-05-12,227.9
2016-05-13,224.9
2016-05-16,225.95
2016-05-17,227.95
2016-05-18,225.25
2016-05-19,223.6
2016-05-20,222.0
2016-05-23,226.3
2016-05-24,225.05
2016-05-25,228.0
2016-05-26,232.55
2016-05-27,236.0
2016-05-30,235.5
2016-05-31,230.6
2016-06-01,231.8
2016-06-02,234.25
2016-06-03,234.85
2016-06-06,236.85
2016-06-07,240.85
2016-06-08,251.3
2016-06-09,244.9
2016-06-10,245.05
2016-06-13,257.7
2016-06-14,255.3
2016-06-15,250.0
2016-06-16,242.0
2016-06-17,236.3
2016-06-20,232.9
2016-06-21,243.9
2016-06-22,238.75
2016-06-23,238.4
2016-06-24,242.85
2016-06-27,256.45
2016-06-28,256.35
2016-06-29,260.35
2016-06-30,264.5
2016-07-01,267.15
2016-07-04,250.2
2016-07-05,220.75
2016-07-07,227.9
2016-07-08,238.25
2016-07-11,243.25
2016-07-12,248.4
2016-07-13,239.65
2016-07-14,244.25
2016-07-15,244.75
2016-07-18,237.4
2016-07-19,239.0
2016-07-20,236.85
2016-07-21,233.8
2016-07-22,232.25
2016-07-25,234.8
2016-07-26,231.25
2016-07-27,237.35
2016-07-28,245.05
2016-07-29,255.0
2016-08-01,258.4
2016-08-02,247.5
2016-08-03,244.1
2016-08-04,252.35
2016-08-05,256.05
2016-08-08,259.8
2016-08-09,258.05
2016-08-10,263.35
2016-08-11,259.45
2016-08-12,257.75
2016-08-16,263.75
2016-08-17,270.95
2016-08-18,272.45
2016-08-19,270.65
2016-08-22,275.4
2016-08-23,269.45
2016-08-24,270.2
2016-08-25,271.75
2016-08-26,267.35
2016-08-29,264.1
2016-08-30,270.4
2016-08-31,269.15
2016-09-01,264.3
2016-09-02,266.75
2016-09-06,272.05
2016-09-07,264.25
2016-09-08,266.95
2016-09-09,257.25
2016-09-12,251.3
2016-09-14,253.8
2016-09-15,252.95
2016-09-16,252.85
2016-09-19,253.95
2016-09-20,249.4
2016-09-21,250.65
2016-09-22,249.9
2016-09-23,246.05
2016-09-26,244.6
2016-09-27,244.75
2016-09-28,246.6
2016-09-29,239.2
2016-09-30,246.0
2016-10-03,247.45
2016-10-04,255.25
2016-10-05,254.9
2016-10-06,257.65
2016-10-07,269.85
2016-10-10,262.7
2016-10-13,267.7
2016-10-14,264.7
2016-10-17,257.7
2016-10-18,261.5
2016-10-19,270.45
2016-10-20,270.0
2016-10-21,276.6
2016-10-24,281.65
2016-10-25,279.35
2016-10-26,275.25
2016-10-27,282.05
2016-10-28,286.05
2016-10-30,287.55
2016-11-01,284.25
2016-11-02,273.25
2016-11-03,269.35
2016-11-04,257.55
2016-11-07,262.65
2016-11-08,265.8
2016-11-09,253.55
2016-11-10,257.4
2016-11-11,248.3
2016-11-15,237.15
2016-11-16,245.45
2016-11-17,240.6
2016-11-18,241.45
2016-11-21,230.5
2016-11-22,243.2
2016-11-23,252.4
2016-11-24,247.5
2016-11-25,247.95
2016-11-28,246.4
2016-11-29,257.0
2016-11-30,264.1
2016-12-01,266.85
2016-12-02,255.35
2016-12-05,251.3
2016-12-06,255.25
2016-12-07,259.35
2016-12-08,270.0
2016-12-09,284.0
2016-12-12,282.4
2016-12-13,278.8
2016-12-14,279.8
2016-12-15,274.95
2016-12-16,278.3
2016-12-19,279.15
2016-12-20,279.7
2016-12-21,281.7
2016-12-22,277.8
2016-12-23,275.5
2016-12-26,273.15
2016-12-27,270.75
2016-12-28,278.6
2016-12-29,286.85
2016-12-30,292.45
