Date,LINCPEN
2016-01-01,218.55
2016-01-04,216.6
2016-01-05,220.15
2016-01-06,238.15
2016-01-07,227.35
2016-01-08,235.0
2016-01-11,235.0
2016-01-12,226.25
2016-01-13,216.45
2016-01-14,214.8
2016-01-15,211.5
2016-01-18,201.45
2016-01-19,213.95
2016-01-20,205.05
2016-01-21,208.45
2016-01-22,211.2
2016-01-25,212.25
2016-01-27,210.65
2016-01-28,210.3
2016-01-29,210.75
2016-02-01,207.35
2016-02-02,206.7
2016-02-03,198.4
2016-02-04,191.75
2016-02-05,199.8
2016-02-08,190.85
2016-02-09,185.95
2016-02-10,185.6
2016-02-11,176.35
2016-02-12,172.7
2016-02-15,181.2
2016-02-16,173.65
2016-02-17,172.45
2016-02-18,173.75
2016-02-19,175.05
2016-02-22,175.15
2016-02-23,174.9
2016-02-24,174.8
2016-02-25,170.8
2016-02-26,173.45
2016-02-29,173.7
2016-03-01,176.9
2016-03-02,181.4
2016-03-03,188.95
2016-03-04,185.8
2016-03-08,182.95
2016-03-09,187.85
2016-03-10,182.2
2016-03-11,181.5
2016-03-14,186.55
2016-03-15,181.35
2016-03-16,182.4
2016-03-17,182.4
2016-03-18,182.95
2016-03-21,195.55
2016-03-22,194.6
2016-03-23,194.8
2016-03-28,187.9
2016-03-29,182.75
2016-03-30,187.1
2016-03-31,186.95
2016-04-01,190.0
2016-04-04,193.0
2016-04-05,193.4
2016-04-06,195.9
2016-04-07,192.45
2016-04-08,189.85
2016-04-11,189.0
2016-04-12,187.8
2016-04-13,191.7
2016-04-18,191.8
2016-04-20,188.45
2016-04-21,186.05
2016-04-22,186.95
2016-04-25,188.0
2016-04-26,189.95
2016-04-27,192.45
2016-04-28,195.0
2016-04-29,192.25
2016-05-02,193.6
2016-05-03,191.35
2016-05-04,189.5
2016-05-05,192.35
2016-05-06,189.7
2016-05-09,193.5
2016-05-10,193.0
2016-05-11,193.2
2016-05-12,192.65
2016-05-13,191.9
2016-05-16,191.05
2016-05-17,191.0
2016-05-18,190.5
2016-05-19,188.0
2016-05-20,187.55
2016-05-23,189.25
2016-05-24,189.25
2016-05-25,203.4
2016-05-26,207.1
2016-05-27,204.65
2016-05-30,205.4
2016-05-31,201.65
2016-06-01,209.55
2016-06-02,207.35
2016-06-03,205.35
2016-06-06,209.2
2016-06-07,212.05
2016-06-08,212.0
2016-06-09,206.75
2016-06-10,207.9
2016-06-13,203.9
2016-06-14,202.95
2016-06-15,211.7
2016-06-16,229.15
2016-06-17,234.0
2016-06-20,232.0
2016-06-21,232.1
2016-06-22,232.0
2016-06-23,234.95
2016-06-24,229.75
2016-06-27,250.1
2016-06-28,243.45
2016-06-29,245.6
2016-06-30,245.4
2016-07-01,244.95
2016-07-04,246.25
2016-07-05,239.85
2016-07-07,242.35
2016-07-08,245.9
2016-07-11,247.0
2016-07-12,248.45
2016-07-13,240.4
2016-07-14,254.2
2016-07-15,254.9
2016-07-18,259.85
2016-07-19,269.0
2016-07-20,279.05
2016-07-21,285.55
2016-07-22,278.55
2016-07-25,279.35
2016-07-26,276.25
2016-07-27,277.35
2016-07-28,276.15
2016-07-29,274.3
2016-08-01,273.85
2016-08-02,263.75
2016-08-03,263.1
2016-08-04,264.0
2016-08-05,264.1
2016-08-08,265.0
2016-08-09,261.25
2016-08-10,258.9
2016-08-11,259.0
2016-08-12,262.9
2016-08-16,258.0
2016-08-17,261.05
2016-08-18,258.05
2016-08-19,260.75
2016-08-22,260.0
2016-08-23,288.7
2016-08-24,288.25
2016-08-25,280.0
2016-08-26,276.8
2016-08-29,275.7
2016-08-30,277.6
2016-08-31,283.15
2016-09-01,280.5
2016-09-02,279.9
2016-09-06,278.35
2016-09-07,275.15
2016-09-08,279.85
2016-09-09,284.8
2016-09-12,280.75
2016-09-14,284.15
2016-09-15,282.0
2016-09-16,281.45
2016-09-19,279.4
2016-09-20,273.0
2016-09-21,274.25
2016-09-22,271.05
2016-09-23,271.25
2016-09-26,274.65
2016-09-27,270.7
2016-09-28,272.2
2016-09-29,260.2
2016-09-30,263.55
2016-10-03,271.3
2016-10-04,272.15
2016-10-05,279.25
2016-10-06,281.2
2016-10-07,267.85
2016-10-10,262.6
2016-10-13,257.7
2016-10-14,263.4
2016-10-17,261.3
2016-10-18,262.85
2016-10-19,259.75
2016-10-20,261.35
2016-10-21,259.95
2016-10-24,260.0
2016-10-25,259.8
2016-10-26,260.35
2016-10-27,260.4
2016-10-28,260.35
2016-10-30,260.7
2016-11-01,260.4
2016-11-02,259.1
2016-11-03,255.75
2016-11-04,254.05
2016-11-07,257.35
2016-11-08,254.85
2016-11-09,256.35
2016-11-10,251.35
2016-11-11,251.25
2016-11-15,240.0
2016-11-16,245.5
2016-11-17,237.3
2016-11-18,244.55
2016-11-21,222.2
2016-11-22,226.85
2016-11-23,230.25
2016-11-24,231.8
2016-11-25,233.9
2016-11-28,234.6
2016-11-29,235.0
2016-11-30,237.9
2016-12-01,235.55
2016-12-02,242.85
2016-12-05,243.75
2016-12-06,241.0
2016-12-07,237.55
2016-12-08,237.35
2016-12-09,236.3
2016-12-12,236.55
2016-12-13,234.3
2016-12-14,232.45
2016-12-15,233.5
2016-12-16,231.1
2016-12-19,231.35
2016-12-20,224.25
2016-12-21,229.05
2016-12-22,228.2
2016-12-23,230.25
2016-12-26,232.75
2016-12-27,235.7
2016-12-28,237.45
2016-12-29,235.35
2016-12-30,230.3
