Date,GENUSPOWER
2016-01-01,56.05
2016-01-04,55.4
2016-01-05,57.45
2016-01-06,54.45
2016-01-07,50.4
2016-01-08,55.65
2016-01-11,59.65
2016-01-12,58.2
2016-01-13,55.6
2016-01-14,56.5
2016-01-15,52.6
2016-01-18,49.9
2016-01-19,53.45
2016-01-20,52.25
2016-01-21,53.15
2016-01-22,55.65
2016-01-25,57.7
2016-01-27,56.4
2016-01-28,56.05
2016-01-29,57.2
2016-02-01,58.95
2016-02-02,55.15
2016-02-03,53.45
2016-02-04,53.25
2016-02-05,54.45
2016-02-08,54.85
2016-02-09,53.05
2016-02-10,52.8
2016-02-11,46.55
2016-02-12,47.45
2016-02-15,50.65
2016-02-16,49.8
2016-02-17,49.55
2016-02-18,50.2
2016-02-19,52.25
2016-02-22,52.35
2016-02-23,50.5
2016-02-24,49.45
2016-02-25,48.7
2016-02-26,47.1
2016-02-29,44.0
2016-03-01,46.65
2016-03-02,48.15
2016-03-03,47.95
2016-03-04,50.15
2016-03-08,49.05
2016-03-09,50.45
2016-03-10,50.35
2016-03-11,48.45
2016-03-14,49.2
2016-03-15,50.5
2016-03-16,49.45
2016-03-17,48.95
2016-03-18,48.3
2016-03-21,49.6
2016-03-22,53.35
2016-03-23,54.15
2016-03-28,50.3
2016-03-29,52.05
2016-03-30,53.3
2016-03-31,52.8
2016-04-01,52.85
2016-04-04,52.6
2016-04-05,52.25
2016-04-06,54.55
2016-04-07,52.75
2016-04-08,56.4
2016-04-11,55.5
2016-04-12,55.15
2016-04-13,54.05
2016-04-18,53.1
2016-04-20,54.0
2016-04-21,52.6
2016-04-22,57.4
2016-04-25,58.0
2016-04-26,58.35
2016-04-27,57.25
2016-04-28,55.3
2016-04-29,55.25
2016-05-02,56.35
2016-05-03,55.05
2016-05-04,54.7
2016-05-05,56.65
2016-05-06,55.85
2016-05-09,55.45
2016-05-10,55.15
2016-05-11,55.2
2016-05-12,58.15
2016-05-13,57.7
2016-05-16,59.25
2016-05-17,56.7
2016-05-18,56.0
2016-05-19,55.15
2016-05-20,54.0
2016-05-23,53.5
2016-05-24,52.95
2016-05-25,53.15
2016-05-26,47.35
2016-05-27,48.65
2016-05-30,48.05
2016-05-31,46.3
2016-06-01,46.4
2016-06-02,46.6
2016-06-03,46.55
2016-06-06,48.15
2016-06-07,47.25
2016-06-08,47.0
2016-06-09,47.7
2016-06-10,47.8
2016-06-13,47.15
2016-06-14,46.8
2016-06-15,49.75
2016-06-16,48.65
2016-06-17,47.8
2016-06-20,47.95
2016-06-21,47.05
2016-06-22,46.5
2016-06-23,46.3
2016-06-24,45.5
2016-06-27,46.25
2016-06-28,46.4
2016-06-29,48.55
2016-06-30,48.7
2016-07-01,47.8
2016-07-04,51.05
2016-07-05,49.8
2016-07-07,48.75
2016-07-08,47.95
2016-07-11,47.85
2016-07-12,47.55
2016-07-13,46.75
2016-07-14,47.25
2016-07-15,46.3
2016-07-18,45.35
2016-07-19,45.75
2016-07-20,47.0
2016-07-21,46.6
2016-07-22,48.25
2016-07-25,49.95
2016-07-26,48.25
2016-07-27,49.95
2016-07-28,48.5
2016-07-29,47.45
2016-08-01,46.9
2016-08-02,46.1
2016-08-03,45.15
2016-08-04,45.45
2016-08-05,46.95
2016-08-08,46.9
2016-08-09,46.5
2016-08-10,45.9
2016-08-11,45.85
2016-08-12,45.65
2016-08-16,44.0
2016-08-17,44.25
2016-08-18,45.15
2016-08-19,44.15
2016-08-22,47.45
2016-08-23,47.55
2016-08-24,48.1
2016-08-25,48.4
2016-08-26,46.6
2016-08-29,45.8
2016-08-30,46.0
2016-08-31,45.5
2016-09-01,45.35
2016-09-02,44.7
2016-09-06,44.75
2016-09-07,44.75
2016-09-08,46.95
2016-09-09,46.9
2016-09-12,45.1
2016-09-14,46.15
2016-09-15,45.55
2016-09-16,44.65
2016-09-19,45.0
2016-09-20,44.3
2016-09-21,44.0
2016-09-22,43.7
2016-09-23,42.95
2016-09-26,43.05
2016-09-27,43.0
2016-09-28,43.5
2016-09-29,40.25
2016-09-30,41.15
2016-10-03,42.15
2016-10-04,42.55
2016-10-05,42.6
2016-10-06,42.55
2016-10-07,42.15
2016-10-10,43.95
2016-10-13,43.8
2016-10-14,46.7
2016-10-17,44.7
2016-10-18,44.95
2016-10-19,45.7
2016-10-20,48.7
2016-10-21,50.4
2016-10-24,48.85
2016-10-25,47.4
2016-10-26,47.25
2016-10-27,46.4
2016-10-28,46.6
2016-10-30,46.95
2016-11-01,45.45
2016-11-02,44.05
2016-11-03,43.8
2016-11-04,42.65
2016-11-07,43.5
2016-11-08,42.95
2016-11-09,41.0
2016-11-10,42.8
2016-11-11,41.0
2016-11-15,38.6
2016-11-16,38.35
2016-11-17,38.95
2016-11-18,39.35
2016-11-21,35.4
2016-11-22,35.65
2016-11-23,37.6
2016-11-24,37.0
2016-11-25,38.95
2016-11-28,37.9
2016-11-29,38.8
2016-11-30,39.15
2016-12-01,38.15
2016-12-02,38.9
2016-12-05,39.25
2016-12-06,39.6
2016-12-07,39.3
2016-12-08,39.4
2016-12-09,39.4
2016-12-12,39.2
2016-12-13,38.85
2016-12-14,38.35
2016-12-15,38.0
2016-12-16,38.1
2016-12-19,37.5
2016-12-20,37.35
2016-12-21,40.65
2016-12-22,38.6
2016-12-23,39.0
2016-12-26,37.0
2016-12-27,39.1
2016-12-28,38.55
2016-12-29,38.4
2016-12-30,38.85
