Date,KMSUGAR
2016-01-05,5.55
2016-01-06,5.8
2016-01-07,6.05
2016-01-08,6.35
2016-01-11,6.65
2016-01-12,6.55
2016-01-13,6.25
2016-01-14,5.95
2016-01-15,5.7
2016-01-18,5.45
2016-01-19,5.7
2016-01-20,5.45
2016-01-21,5.2
2016-01-22,5.25
2016-01-25,5.1
2016-01-27,5.3
2016-01-28,5.55
2016-01-29,5.35
2016-02-01,5.6
2016-02-02,5.6
2016-02-03,5.4
2016-02-04,5.15
2016-02-05,5.1
2016-02-08,5.3
2016-02-09,5.05
2016-02-10,4.55
2016-02-11,4.1
2016-02-12,3.7
2016-02-15,3.85
2016-02-16,4.0
2016-02-17,4.2
2016-02-18,4.4
2016-02-19,4.6
2016-02-22,4.4
2016-02-23,4.2
2016-02-24,4.1
2016-02-25,4.1
2016-02-26,4.3
2016-02-29,4.5
2016-03-01,4.7
2016-03-02,4.9
2016-03-03,5.05
2016-03-04,5.3
2016-03-08,5.55
2016-03-09,5.8
2016-03-10,6.05
2016-03-11,5.95
2016-03-14,6.2
2016-03-15,6.5
2016-03-16,6.65
2016-03-17,6.35
2016-03-18,6.65
2016-03-21,6.95
2016-03-22,6.75
2016-03-23,7.05
2016-03-28,6.75
2016-03-29,6.95
2016-03-30,7.25
2016-03-31,7.0
2016-04-01,7.35
2016-04-04,7.15
2016-05-10,6.6
2016-05-11,6.85
2016-05-12,7.15
2016-05-13,7.5
2016-05-16,7.85
2016-05-17,8.0
2016-05-18,7.8
2016-05-19,7.9
2016-05-20,7.55
2016-05-23,7.7
2016-05-24,7.35
2016-05-25,7.15
2016-05-26,7.45
2016-05-27,7.3
2016-05-30,7.4
2016-05-31,7.05
2016-06-01,7.4
2016-06-02,7.75
2016-06-03,8.2
2016-06-06,9.0
2016-06-07,9.85
2016-06-08,10.0
2016-06-09,9.5
2016-06-10,9.75
2016-06-13,9.9
2016-06-14,9.55
2016-06-15,10.0
2016-06-16,10.0
2016-06-17,9.5
2016-06-20,9.6
2016-06-21,9.4
2016-06-22,8.95
2016-06-23,8.95
2016-06-24,8.6
2016-06-27,9.0
2016-06-28,9.45
2016-06-29,9.9
2016-06-30,10.3
2016-07-01,10.1
2016-07-04,11.0
2016-07-05,11.05
2016-07-07,12.0
2016-07-08,13.15
2016-07-11,13.8
2016-07-12,13.15
2016-07-13,12.5
2016-07-14,13.1
2016-07-15,12.8
2016-07-18,12.75
2016-07-19,12.65
2016-07-20,12.8
2016-07-21,12.85
2016-07-22,13.45
2016-07-25,14.05
2016-07-26,13.4
2016-07-27,13.15
2016-07-28,13.0
2016-07-29,13.65
2016-08-01,13.4
2016-08-02,13.1
2016-08-03,13.0
2016-08-04,13.6
2016-08-05,13.45
2016-08-08,13.1
2016-08-09,12.7
2016-08-10,12.25
2016-08-11,11.45
2016-08-12,11.1
2016-08-16,12.2
2016-08-17,12.1
2016-08-18,13.3
2016-08-19,13.75
2016-08-22,13.25
2016-08-23,13.7
2016-08-24,13.45
2016-08-25,13.6
2016-08-26,13.4
2016-08-29,13.3
2016-08-30,12.45
2016-08-31,13.15
2016-09-01,12.8
2016-09-02,13.0
2016-09-06,12.7
2016-09-07,12.6
2016-09-08,12.6
2016-09-09,13.1
2016-09-12,12.95
2016-09-14,13.0
2016-09-15,12.85
2016-09-16,13.15
2016-09-19,14.0
2016-09-20,13.75
2016-09-21,13.4
2016-09-22,13.6
2016-09-23,13.4
2016-09-26,12.95
2016-09-27,13.05
2016-09-28,13.0
2016-09-29,12.15
2016-09-30,12.9
2016-10-03,13.2
2016-10-04,13.05
2016-10-05,15.65
2016-10-06,17.5
2016-10-07,18.95
2016-10-10,19.85
2016-10-13,19.25
2016-10-14,20.4
2016-10-17,21.1
2016-10-18,22.75
2016-10-19,22.4
2016-10-20,23.8
2016-10-21,25.25
2016-10-24,25.75
2016-10-25,26.8
2016-10-26,28.1
2016-10-27,29.35
2016-10-28,27.95
2016-10-30,26.6
2016-11-01,25.3
2016-11-02,26.55
2016-11-03,27.85
2016-11-04,26.5
2016-11-07,25.2
2016-11-08,23.95
2016-11-09,22.8
2016-11-10,23.9
2016-11-11,22.75
2016-11-15,21.65
2016-11-16,20.6
2016-11-17,19.6
2016-11-18,18.75
2016-11-21,17.85
2016-11-22,17.0
2016-11-23,17.85
2016-11-24,17.65
2016-11-25,18.5
2016-11-28,19.4
2016-11-29,20.35
2016-11-30,21.35
2016-12-01,22.4
2016-12-02,21.3
2016-12-05,20.3
2016-12-06,21.1
2016-12-07,22.1
2016-12-08,23.2
2016-12-09,23.5
2016-12-12,22.7
2016-12-13,23.55
2016-12-14,23.4
2016-12-15,23.25
2016-12-16,23.4
2016-12-19,23.05
2016-12-20,22.55
2016-12-21,23.35
2016-12-22,23.95
2016-12-23,24.9
2016-12-26,24.8
2016-12-27,25.9
2016-12-28,26.95
2016-12-29,28.25
2016-12-30,29.4
