Date,BEPL
2016-01-01,25.6
2016-01-04,25.0
2016-01-05,24.6
2016-01-06,24.6
2016-01-07,23.2
2016-01-08,24.4
2016-01-11,24.6
2016-01-12,23.15
2016-01-13,22.2
2016-01-14,21.9
2016-01-15,20.75
2016-01-18,19.55
2016-01-19,20.35
2016-01-20,19.15
2016-01-21,18.9
2016-01-22,20.15
2016-01-25,20.95
2016-01-27,20.4
2016-01-28,20.25
2016-01-29,20.2
2016-02-01,21.45
2016-02-02,20.3
2016-02-03,19.65
2016-02-04,19.1
2016-02-05,19.35
2016-02-08,18.85
2016-02-09,17.95
2016-02-10,17.65
2016-02-11,16.15
2016-02-12,16.2
2016-02-15,16.75
2016-02-16,16.7
2016-02-17,17.15
2016-02-18,17.3
2016-02-19,17.25
2016-02-22,17.1
2016-02-23,16.95
2016-02-24,16.3
2016-02-25,16.25
2016-02-26,16.1
2016-02-29,16.0
2016-03-01,17.0
2016-03-02,17.65
2016-03-03,17.8
2016-03-04,19.1
2016-03-08,19.4
2016-03-09,19.15
2016-03-10,19.05
2016-03-11,19.1
2016-03-14,19.3
2016-03-15,18.15
2016-03-16,18.1
2016-03-17,18.2
2016-03-18,18.0
2016-03-21,17.4
2016-03-22,17.7
2016-03-23,18.2
2016-03-28,17.35
2016-03-29,17.35
2016-03-30,17.85
2016-03-31,17.9
2016-04-01,18.7
2016-04-04,18.9
2016-04-05,18.5
2016-04-06,19.35
2016-04-07,18.5
2016-04-08,19.0
2016-04-11,18.65
2016-04-12,19.2
2016-04-13,19.6
2016-04-18,19.7
2016-04-20,20.5
2016-04-21,19.45
2016-04-22,19.35
2016-04-25,19.3
2016-04-26,19.4
2016-04-27,19.1
2016-04-28,19.05
2016-04-29,18.9
2016-05-02,18.65
2016-05-03,18.7
2016-05-04,18.5
2016-05-05,18.5
2016-05-06,18.8
2016-05-09,18.75
2016-05-10,19.2
2016-05-11,19.85
2016-05-12,21.35
2016-05-13,21.05
2016-05-16,20.85
2016-05-17,20.55
2016-05-18,20.9
2016-05-19,20.6
2016-05-20,20.0
2016-05-23,20.45
2016-05-24,19.8
2016-05-25,20.05
2016-05-26,20.35
2016-05-27,20.45
2016-05-30,21.1
2016-05-31,19.95
2016-06-01,20.8
2016-06-02,21.15
2016-06-03,20.3
2016-06-06,19.95
2016-06-07,20.55
2016-06-08,20.3
2016-06-09,20.35
2016-06-10,20.25
2016-06-13,20.1
2016-06-14,20.2
2016-06-15,20.5
2016-06-16,20.25
2016-06-17,20.5
2016-06-20,20.45
2016-06-21,20.1
2016-06-22,19.7
2016-06-23,19.9
2016-06-24,19.05
2016-06-27,19.65
2016-06-28,19.45
2016-06-29,19.7
2016-06-30,19.85
2016-07-01,20.6
2016-07-04,20.9
2016-07-05,20.45
2016-07-07,21.65
2016-07-08,21.3
2016-07-11,21.2
2016-07-12,21.7
2016-07-13,22.05
2016-07-14,22.6
2016-07-15,21.95
2016-07-18,21.8
2016-07-19,21.45
2016-07-20,22.85
2016-07-21,22.05
2016-07-22,23.05
2016-07-25,22.95
2016-07-26,22.05
2016-07-27,21.65
2016-07-28,21.75
2016-07-29,21.5
2016-08-01,21.0
2016-08-02,20.55
2016-08-03,20.4
2016-08-04,20.3
2016-08-05,20.1
2016-08-08,20.4
2016-08-09,20.5
2016-08-10,20.5
2016-08-11,20.15
2016-08-12,20.2
2016-08-16,20.4
2016-08-17,21.5
2016-08-18,21.55
2016-08-19,21.5
2016-08-22,21.1
2016-08-23,20.5
2016-08-24,20.5
2016-08-25,20.7
2016-08-26,20.65
2016-08-29,20.25
2016-08-30,20.3
2016-08-31,20.55
2016-09-01,20.7
2016-09-02,20.7
2016-09-06,22.6
2016-09-07,22.05
2016-09-08,21.85
2016-09-09,21.25
2016-09-12,21.35
2016-09-14,21.45
2016-09-15,21.05
2016-09-16,20.9
2016-09-19,20.65
2016-09-20,20.5
2016-09-21,20.6
2016-09-22,21.3
2016-09-23,21.0
2016-09-26,20.95
2016-09-27,20.3
2016-09-28,20.5
2016-09-29,19.1
2016-09-30,20.2
2016-10-03,20.0
2016-10-04,20.15
2016-10-05,21.2
2016-10-06,21.6
2016-10-07,21.8
2016-10-10,21.4
2016-10-13,21.45
2016-10-14,24.75
2016-10-17,24.95
2016-10-18,24.75
2016-10-19,24.8
2016-10-20,25.25
2016-10-21,24.85
2016-10-24,24.6
2016-10-25,25.7
2016-10-26,26.65
2016-10-27,26.3
2016-10-28,28.25
2016-10-30,29.05
2016-11-01,28.4
2016-11-02,26.65
2016-11-03,26.0
2016-11-04,24.05
2016-11-07,25.1
2016-11-08,25.5
2016-11-09,24.05
2016-11-10,25.65
2016-11-11,23.85
2016-11-15,21.9
2016-11-16,23.5
2016-11-17,23.05
2016-11-18,22.9
2016-11-21,21.7
2016-11-22,22.2
2016-11-23,23.15
2016-11-24,23.0
2016-11-25,23.15
2016-11-28,22.85
2016-11-29,22.6
2016-11-30,23.05
2016-12-01,22.6
2016-12-02,22.15
2016-12-05,22.25
2016-12-06,22.9
2016-12-07,22.55
2016-12-08,22.9
2016-12-09,22.95
2016-12-12,23.2
2016-12-13,23.0
2016-12-14,22.45
2016-12-15,22.65
2016-12-16,22.4
2016-12-19,22.4
2016-12-20,22.15
2016-12-21,22.05
2016-12-22,21.8
2016-12-23,22.0
2016-12-26,21.55
2016-12-27,21.7
2016-12-28,22.15
2016-12-29,22.05
2016-12-30,22.35
