Date,CIGNITITEC
2016-01-01,454.4
2016-01-04,453.95
2016-01-05,458.1
2016-01-06,463.8
2016-01-07,452.0
2016-01-08,449.7
2016-01-11,448.5
2016-01-12,447.35
2016-01-13,439.0
2016-01-14,428.85
2016-01-15,406.55
2016-01-18,401.2
2016-01-19,420.1
2016-01-20,415.35
2016-01-21,409.1
2016-01-22,410.9
2016-01-25,404.15
2016-01-27,400.85
2016-01-28,397.1
2016-01-29,393.05
2016-02-01,397.5
2016-02-02,398.2
2016-02-03,388.1
2016-02-04,390.5
2016-02-05,405.75
2016-02-08,426.45
2016-02-09,422.35
2016-02-10,419.65
2016-02-11,398.25
2016-02-12,387.55
2016-02-15,397.55
2016-02-16,392.75
2016-02-17,389.4
2016-02-18,387.3
2016-02-19,384.65
2016-02-22,386.15
2016-02-23,378.5
2016-02-24,380.85
2016-02-25,379.75
2016-02-26,377.9
2016-02-29,386.6
2016-03-01,385.25
2016-03-02,381.65
2016-03-03,378.95
2016-03-04,379.0
2016-03-08,408.0
2016-03-09,416.8
2016-03-10,417.65
2016-03-11,413.15
2016-03-14,420.3
2016-03-15,420.5
2016-03-16,415.95
2016-03-17,412.3
2016-03-18,409.2
2016-03-21,412.45
2016-03-22,407.95
2016-03-23,401.2
2016-03-28,396.2
2016-03-29,401.65
2016-03-30,423.5
2016-03-31,419.3
2016-04-01,421.6
2016-04-04,413.3
2016-04-05,410.45
2016-04-06,412.15
2016-04-07,408.75
2016-04-08,421.65
2016-04-11,429.7
2016-04-12,438.0
2016-04-13,447.05
2016-04-18,449.3
2016-04-20,452.1
2016-04-21,454.35
2016-04-22,455.75
2016-04-25,457.4
2016-04-26,459.3
2016-04-27,464.55
2016-04-28,454.2
2016-04-29,452.95
2016-05-02,459.0
2016-05-03,456.2
2016-05-04,452.85
2016-05-05,448.8
2016-05-06,446.6
2016-05-09,447.3
2016-05-10,448.65
2016-05-11,457.7
2016-05-12,454.9
2016-05-13,451.95
2016-05-16,445.55
2016-05-17,448.6
2016-05-18,451.6
2016-05-19,448.3
2016-05-20,445.45
2016-05-23,446.85
2016-05-24,442.9
2016-05-25,444.0
2016-05-26,440.35
2016-05-27,459.55
2016-05-30,478.15
2016-05-31,466.15
2016-06-01,448.45
2016-06-02,444.0
2016-06-03,439.3
2016-06-06,440.05
2016-06-07,441.65
2016-06-08,440.95
2016-06-09,441.65
2016-06-10,439.25
2016-06-13,438.55
2016-06-14,439.15
2016-06-15,441.7
2016-06-16,441.15
2016-06-17,439.3
2016-06-20,436.85
2016-06-21,448.5
2016-06-22,441.65
2016-06-23,438.6
2016-06-24,435.65
2016-06-27,441.95
2016-06-28,438.05
2016-06-29,436.4
2016-06-30,437.95
2016-07-01,438.15
2016-07-04,441.25
2016-07-05,439.65
2016-07-07,445.7
2016-07-08,448.9
2016-07-11,457.25
2016-07-12,476.6
2016-07-13,483.8
2016-07-14,484.8
2016-07-15,479.25
2016-07-18,479.2
2016-07-19,477.2
2016-07-20,469.4
2016-07-21,466.75
2016-07-22,464.05
2016-07-25,458.85
2016-07-26,458.35
2016-07-27,453.0
2016-07-28,452.75
2016-07-29,447.7
2016-08-01,451.3
2016-08-02,442.4
2016-08-03,441.3
2016-08-04,445.75
2016-08-05,443.7
2016-08-08,444.7
2016-08-09,442.95
2016-08-10,442.25
2016-08-11,446.6
2016-08-12,453.15
2016-08-16,437.85
2016-08-17,434.05
2016-08-18,424.45
2016-08-19,421.2
2016-08-22,423.75
2016-08-23,425.0
2016-08-24,426.35
2016-08-25,435.2
2016-08-26,438.4
2016-08-29,434.6
2016-08-30,434.95
2016-08-31,428.65
2016-09-01,424.9
2016-09-02,428.7
2016-09-06,426.55
2016-09-07,427.05
2016-09-08,420.0
2016-09-09,416.5
2016-09-12,415.2
2016-09-14,413.3
2016-09-15,412.75
2016-09-16,414.15
2016-09-19,429.2
2016-09-20,437.35
2016-09-21,429.35
2016-09-22,426.95
2016-09-23,428.2
2016-09-26,426.2
2016-09-27,425.8
2016-09-28,425.3
2016-09-29,414.9
2016-09-30,414.55
2016-10-03,422.9
2016-10-04,419.25
2016-10-05,424.45
2016-10-06,424.35
2016-10-07,426.95
2016-10-10,425.5
2016-10-13,422.95
2016-10-14,426.1
2016-10-17,421.0
2016-10-18,419.8
2016-10-19,421.0
2016-10-20,417.7
2016-10-21,418.15
2016-10-24,422.05
2016-10-25,425.5
2016-10-26,421.3
2016-10-27,419.5
2016-10-28,423.75
2016-10-30,426.05
2016-11-01,419.65
2016-11-02,417.75
2016-11-03,412.9
2016-11-04,407.45
2016-11-07,407.75
2016-11-08,406.85
2016-11-09,404.45
2016-11-10,406.25
2016-11-11,393.65
2016-11-15,391.75
2016-11-16,384.15
2016-11-17,380.35
2016-11-18,388.15
2016-11-21,372.9
2016-11-22,382.95
2016-11-23,378.4
2016-11-24,390.9
2016-11-25,393.75
2016-11-28,389.5
2016-11-29,385.05
2016-11-30,381.25
2016-12-01,374.7
2016-12-02,371.9
2016-12-05,379.3
2016-12-06,377.6
2016-12-07,373.65
2016-12-08,373.65
2016-12-09,372.25
2016-12-12,369.0
2016-12-13,368.95
2016-12-14,365.3
2016-12-15,365.45
2016-12-16,363.05
2016-12-19,371.4
2016-12-20,369.85
2016-12-21,367.95
2016-12-22,365.0
2016-12-23,357.9
2016-12-26,347.05
2016-12-27,345.95
2016-12-28,367.1
2016-12-29,396.5
2016-12-30,402.45
