Date,ASHIMASYN
2016-01-01,20.15
2016-01-04,20.1
2016-01-05,20.9
2016-01-06,19.8
2016-01-07,18.75
2016-01-08,19.2
2016-01-11,18.8
2016-01-12,17.75
2016-01-13,17.05
2016-01-14,16.0
2016-01-15,15.05
2016-01-18,14.3
2016-01-19,14.1
2016-01-20,13.4
2016-01-21,13.15
2016-01-22,13.8
2016-01-25,14.45
2016-01-27,15.15
2016-01-28,15.65
2016-01-29,15.35
2016-02-01,14.7
2016-02-02,14.2
2016-02-03,13.5
2016-02-04,12.85
2016-02-05,13.05
2016-02-08,12.8
2016-02-09,12.35
2016-02-10,11.9
2016-02-11,10.75
2016-02-12,10.75
2016-02-15,11.8
2016-02-16,10.85
2016-02-17,11.05
2016-02-18,11.0
2016-02-19,10.55
2016-02-22,10.65
2016-02-23,10.4
2016-02-24,10.25
2016-02-25,10.35
2016-02-26,10.3
2016-02-29,10.9
2016-03-01,11.35
2016-03-02,12.4
2016-03-03,13.2
2016-03-04,12.6
2016-03-08,12.25
2016-03-09,12.65
2016-03-10,12.35
2016-03-11,11.85
2016-03-14,12.25
2016-03-15,11.9
2016-03-16,11.8
2016-03-17,11.9
2016-03-18,11.55
2016-03-21,11.15
2016-03-22,11.25
2016-03-23,11.2
2016-03-28,10.95
2016-03-29,10.6
2016-03-30,10.75
2016-03-31,10.7
2016-04-01,11.2
2016-04-04,11.75
2016-04-05,11.85
2016-04-06,12.05
2016-04-07,12.45
2016-04-08,12.0
2016-04-11,12.1
2016-04-12,11.85
2016-04-13,11.9
2016-04-18,12.45
2016-04-20,12.75
2016-04-21,12.45
2016-04-22,12.55
2016-04-25,12.5
2016-04-26,12.25
2016-04-27,11.7
2016-04-28,11.25
2016-04-29,11.05
2016-05-02,11.6
2016-05-03,12.15
2016-05-04,12.75
2016-05-05,13.25
2016-05-06,13.75
2016-05-09,13.8
2016-05-10,13.45
2016-05-11,12.9
2016-05-12,13.2
2016-05-13,13.3
2016-05-16,12.85
2016-05-17,11.75
2016-05-18,12.9
2016-05-19,12.9
2016-05-20,13.95
2016-05-23,14.85
2016-05-24,15.05
2016-05-25,14.4
2016-05-26,14.1
2016-05-27,14.3
2016-05-30,14.6
2016-05-31,14.45
2016-06-01,15.1
2016-06-02,15.45
2016-06-03,15.85
2016-06-06,15.5
2016-06-07,15.55
2016-06-08,15.5
2016-06-09,15.0
2016-06-10,14.95
2016-06-13,14.55
2016-06-14,15.05
2016-06-15,14.95
2016-06-16,14.5
2016-06-17,14.5
2016-06-20,14.75
2016-06-21,14.85
2016-06-22,14.55
2016-06-23,14.45
2016-06-24,14.4
2016-06-27,14.85
2016-06-28,14.9
2016-06-29,15.0
2016-06-30,15.5
2016-07-01,16.8
2016-07-04,16.8
2016-07-05,16.9
2016-07-07,18.25
2016-07-08,18.8
2016-07-11,19.4
2016-07-12,18.75
2016-07-13,18.2
2016-07-14,18.35
2016-07-15,17.6
2016-07-18,17.5
2016-07-19,17.0
2016-07-20,18.7
2016-07-21,18.2
2016-07-22,18.2
2016-07-25,18.95
2016-07-26,18.6
2016-07-27,18.3
2016-07-28,18.35
2016-07-29,18.6
2016-08-01,18.25
2016-08-02,17.75
2016-08-03,16.95
2016-08-04,17.7
2016-08-05,18.0
2016-08-08,18.45
2016-08-09,18.0
2016-08-10,17.6
2016-08-11,18.4
2016-08-12,17.85
2016-08-16,18.35
2016-08-17,18.3
2016-08-18,17.95
2016-08-19,17.65
2016-08-22,17.6
2016-08-23,17.35
2016-08-24,16.95
2016-08-25,16.8
2016-08-26,16.45
2016-08-29,16.0
2016-08-30,16.2
2016-08-31,15.95
2016-09-01,16.3
2016-09-02,16.25
2016-09-06,18.1
2016-09-07,18.1
2016-09-08,18.1
2016-09-09,17.25
2016-09-12,16.5
2016-09-14,16.65
2016-09-15,16.5
2016-09-16,16.55
2016-09-19,16.1
2016-09-20,15.8
2016-09-21,15.5
2016-09-22,16.05
2016-09-23,16.0
2016-09-26,15.4
2016-09-27,15.2
2016-09-28,15.35
2016-09-29,13.8
2016-09-30,14.55
2016-10-03,14.85
2016-10-04,14.7
2016-10-05,15.0
2016-10-06,14.7
2016-10-07,14.45
2016-10-10,14.95
2016-10-13,14.0
2016-10-14,13.5
2016-10-17,13.65
2016-10-18,14.9
2016-10-19,14.9
2016-10-20,16.85
2016-10-21,17.55
2016-10-24,18.1
2016-10-25,19.4
2016-10-26,19.45
2016-10-27,18.75
2016-10-28,19.0
2016-10-30,19.35
2016-11-01,19.35
2016-11-02,18.05
2016-11-03,15.15
2016-11-04,15.45
2016-11-07,16.6
2016-11-08,15.4
2016-11-09,15.25
2016-11-10,15.05
2016-11-11,14.65
2016-11-15,13.7
2016-11-16,13.5
2016-11-17,13.55
2016-11-18,13.8
2016-11-21,12.9
2016-11-22,13.2
2016-11-23,13.35
2016-11-24,13.65
2016-11-25,14.65
2016-11-28,14.65
2016-11-29,15.25
2016-11-30,15.2
2016-12-01,14.85
2016-12-02,14.8
2016-12-05,14.8
2016-12-06,14.85
2016-12-07,14.7
2016-12-08,15.15
2016-12-09,15.0
2016-12-12,15.05
2016-12-13,14.85
2016-12-14,14.75
2016-12-15,14.9
2016-12-16,14.75
2016-12-19,14.75
2016-12-20,14.75
2016-12-21,14.6
2016-12-22,14.0
2016-12-23,14.0
2016-12-26,13.6
2016-12-27,13.7
2016-12-28,13.8
2016-12-29,13.8
2016-12-30,14.05
