Date,AGCNET
2016-01-01,95.1
2016-01-04,92.5
2016-01-05,94.55
2016-01-06,94.65
2016-01-07,92.6
2016-01-08,92.3
2016-01-11,93.05
2016-01-12,92.0
2016-01-13,89.75
2016-01-14,89.6
2016-01-15,86.2
2016-01-18,78.05
2016-01-19,78.75
2016-01-20,77.95
2016-01-21,78.05
2016-01-22,78.85
2016-01-25,77.5
2016-01-27,78.5
2016-01-28,78.35
2016-01-29,79.3
2016-02-01,79.5
2016-02-02,79.5
2016-02-03,78.0
2016-02-04,75.7
2016-02-05,76.95
2016-02-08,75.75
2016-02-09,76.2
2016-02-10,72.35
2016-02-11,72.2
2016-02-12,68.25
2016-02-15,67.0
2016-02-16,63.4
2016-02-17,60.3
2016-02-18,59.85
2016-02-19,59.0
2016-02-22,59.05
2016-02-23,55.3
2016-02-24,58.0
2016-02-25,58.3
2016-02-26,60.15
2016-02-29,57.45
2016-03-01,68.05
2016-03-02,67.15
2016-03-03,66.5
2016-03-04,79.8
2016-03-08,80.05
2016-03-09,76.95
2016-03-10,75.2
2016-03-11,75.8
2016-03-14,71.0
2016-03-15,68.8
2016-03-16,68.8
2016-03-17,69.4
2016-03-18,66.8
2016-03-21,68.15
2016-03-22,67.8
2016-03-23,67.6
2016-03-28,66.25
2016-03-29,66.3
2016-03-30,67.55
2016-03-31,65.3
2016-04-01,65.85
2016-04-04,67.95
2016-04-05,67.05
2016-04-06,67.95
2016-04-07,67.9
2016-04-08,68.25
2016-04-11,69.0
2016-04-12,69.0
2016-04-13,69.55
2016-04-18,69.75
2016-04-20,70.4
2016-04-21,70.25
2016-04-22,69.3
2016-04-25,70.0
2016-04-26,68.55
2016-04-27,69.05
2016-04-28,69.9
2016-04-29,68.65
2016-05-02,68.1
2016-05-03,68.4
2016-05-04,67.2
2016-05-05,67.9
2016-05-06,69.15
2016-05-09,67.9
2016-05-10,69.6
2016-05-11,68.35
2016-05-12,68.45
2016-05-13,67.8
2016-05-16,68.95
2016-05-17,67.9
2016-05-18,68.2
2016-05-19,68.35
2016-05-20,66.35
2016-05-23,66.05
2016-05-24,63.0
2016-05-25,61.05
2016-05-26,61.45
2016-05-27,61.5
2016-05-30,60.7
2016-05-31,60.85
2016-06-01,61.55
2016-06-02,59.05
2016-06-03,60.55
2016-06-06,59.5
2016-06-07,59.45
2016-06-08,58.6
2016-06-09,59.2
2016-06-10,59.65
2016-06-13,59.0
2016-06-14,61.15
2016-06-15,60.3
2016-06-16,62.5
2016-06-17,62.05
2016-06-20,62.8
2016-06-21,63.45
2016-06-22,63.8
2016-06-23,60.85
2016-06-24,59.45
2016-06-27,59.1
2016-06-28,59.0
2016-06-29,60.95
2016-06-30,61.3
2016-07-01,62.1
2016-07-04,65.2
2016-07-05,64.0
2016-07-07,62.25
2016-07-08,62.25
2016-07-11,62.85
2016-07-12,61.95
2016-07-13,61.05
2016-07-14,63.8
2016-07-15,63.5
2016-07-18,62.15
2016-07-19,61.45
2016-07-20,62.05
2016-07-21,63.05
2016-07-22,61.2
2016-07-25,62.0
2016-07-26,63.8
2016-07-27,63.2
2016-07-28,61.1
2016-07-29,61.5
2016-08-01,61.4
2016-08-02,61.4
2016-08-03,61.55
2016-08-04,62.4
2016-08-05,61.5
2016-08-08,61.2
2016-08-09,61.6
2016-08-10,73.9
2016-08-11,83.75
2016-08-12,86.65
2016-08-16,80.05
2016-08-17,79.35
2016-08-18,78.85
2016-08-19,77.05
2016-08-22,75.65
2016-08-23,74.2
2016-08-24,74.9
2016-08-25,74.6
2016-08-26,76.0
2016-08-29,75.85
2016-08-30,80.9
2016-08-31,80.7
2016-09-01,81.2
2016-09-02,80.05
2016-09-06,79.7
2016-09-07,78.65
2016-09-08,94.35
2016-09-09,89.1
2016-09-12,84.95
2016-09-14,84.75
2016-09-15,84.1
2016-09-16,82.85
2016-09-19,83.5
2016-09-20,81.85
2016-09-21,84.9
2016-09-22,83.85
2016-09-23,84.3
2016-09-26,82.15
2016-09-27,82.65
2016-09-28,83.35
2016-09-29,77.9
2016-09-30,77.6
2016-10-03,79.2
2016-10-04,78.1
2016-10-05,81.85
2016-10-06,79.85
2016-10-07,79.85
2016-10-10,83.6
2016-10-13,79.4
2016-10-14,82.6
2016-10-17,83.65
2016-10-18,87.35
2016-10-19,88.3
2016-10-20,88.15
2016-10-21,86.7
2016-10-24,88.05
2016-10-25,84.35
2016-10-26,81.55
2016-10-27,82.0
2016-10-28,81.55
2016-10-30,81.75
2016-11-01,89.1
2016-11-02,86.75
2016-11-03,104.05
2016-11-04,99.3
2016-11-07,101.55
2016-11-08,100.2
2016-11-09,104.05
2016-11-10,95.1
2016-11-11,89.25
2016-11-15,81.5
2016-11-16,82.05
2016-11-17,77.7
2016-11-18,78.4
2016-11-21,74.6
2016-11-22,76.1
2016-11-23,81.6
2016-11-24,80.75
2016-11-25,81.35
2016-11-28,84.7
2016-11-29,86.5
2016-11-30,90.55
2016-12-01,92.0
2016-12-02,90.55
2016-12-05,92.55
2016-12-06,94.9
2016-12-07,95.95
2016-12-08,97.45
2016-12-09,95.95
2016-12-12,96.2
2016-12-13,94.55
2016-12-14,99.5
2016-12-15,98.7
2016-12-16,97.2
2016-12-19,96.8
2016-12-20,91.35
2016-12-21,93.3
2016-12-22,88.55
2016-12-23,90.45
2016-12-26,88.7
2016-12-27,88.0
2016-12-28,90.6
2016-12-29,90.0
2016-12-30,89.65
