Date,DUCON
2016-01-01,17.45
2016-01-04,17.05
2016-01-05,17.15
2016-01-06,17.05
2016-01-07,16.75
2016-01-08,17.0
2016-01-11,17.05
2016-01-12,17.0
2016-01-13,16.85
2016-01-14,16.3
2016-01-15,16.05
2016-01-18,14.45
2016-01-19,15.7
2016-01-20,15.8
2016-01-21,16.15
2016-01-22,15.8
2016-01-25,15.95
2016-01-27,17.5
2016-01-28,19.25
2016-01-29,18.25
2016-02-01,17.25
2016-02-02,16.45
2016-02-03,15.25
2016-02-04,15.6
2016-02-05,16.3
2016-02-08,17.45
2016-02-09,16.25
2016-02-10,16.0
2016-02-11,14.55
2016-02-12,15.85
2016-02-15,16.65
2016-02-16,15.85
2016-02-17,15.2
2016-02-18,15.4
2016-02-19,15.05
2016-02-22,14.85
2016-02-23,15.05
2016-02-24,14.8
2016-02-25,14.4
2016-02-26,13.7
2016-02-29,13.45
2016-03-01,13.75
2016-03-02,14.55
2016-03-03,15.45
2016-03-04,15.3
2016-03-08,15.15
2016-03-09,15.3
2016-03-10,15.2
2016-03-11,15.1
2016-03-14,17.0
2016-03-15,17.8
2016-03-16,17.95
2016-03-17,18.2
2016-03-18,19.1
2016-03-21,18.2
2016-03-22,17.4
2016-03-23,18.15
2016-03-28,17.8
2016-03-29,17.0
2016-03-30,16.9
2016-03-31,16.25
2016-04-01,16.65
2016-04-04,16.55
2016-04-05,16.3
2016-04-06,16.45
2016-04-07,17.05
2016-04-08,17.0
2016-04-11,16.65
2016-04-12,16.5
2016-04-13,16.3
2016-04-18,16.25
2016-04-20,15.95
2016-04-21,15.9
2016-04-22,15.8
2016-04-25,15.9
2016-04-26,15.75
2016-04-27,15.9
2016-04-28,15.55
2016-04-29,15.6
2016-05-02,15.55
2016-05-03,15.55
2016-05-04,15.65
2016-05-05,15.5
2016-05-06,15.55
2016-05-09,15.55
2016-05-10,15.55
2016-05-11,15.35
2016-05-12,15.05
2016-05-13,14.5
2016-05-16,14.85
2016-05-17,14.9
2016-05-18,14.75
2016-05-19,14.7
2016-05-20,15.15
2016-05-23,14.8
2016-05-24,15.1
2016-05-25,14.85
2016-05-26,14.85
2016-05-27,15.2
2016-05-30,16.25
2016-05-31,15.25
2016-06-01,14.9
2016-06-02,14.5
2016-06-03,13.45
2016-06-06,14.5
2016-06-07,14.95
2016-06-08,15.4
2016-06-09,15.7
2016-06-10,15.9
2016-06-13,15.25
2016-06-14,15.1
2016-06-15,14.95
2016-06-16,14.45
2016-06-17,14.55
2016-06-20,14.0
2016-06-21,14.0
2016-06-22,14.9
2016-06-23,14.8
2016-06-24,14.6
2016-06-27,14.45
2016-06-28,15.4
2016-06-29,15.2
2016-06-30,15.35
2016-07-01,15.05
2016-07-04,15.4
2016-07-05,15.0
2016-07-07,15.05
2016-07-08,15.2
2016-07-11,15.1
2016-07-12,15.0
2016-07-13,14.7
2016-07-14,14.85
2016-07-15,14.8
2016-07-18,14.9
2016-07-19,14.55
2016-07-20,14.3
2016-07-21,14.65
2016-07-22,14.3
2016-07-25,14.15
2016-07-26,13.35
2016-07-27,13.45
2016-07-28,13.4
2016-07-29,13.6
2016-08-01,13.7
2016-08-02,13.3
2016-08-03,13.75
2016-08-04,14.0
2016-08-05,13.8
2016-08-08,13.3
2016-08-09,13.7
2016-08-10,13.7
2016-08-11,13.9
2016-08-12,14.3
2016-08-16,14.45
2016-08-17,13.6
2016-08-18,13.2
2016-08-19,13.65
2016-08-22,13.9
2016-08-23,13.65
2016-08-24,13.5
2016-08-25,13.3
2016-08-26,13.25
2016-08-29,13.25
2016-08-30,13.2
2016-08-31,13.15
2016-09-01,13.5
2016-09-02,16.2
2016-09-06,19.4
2016-09-07,21.3
2016-09-08,23.4
2016-09-09,25.65
2016-09-12,26.85
2016-09-14,28.15
2016-09-15,28.95
2016-09-16,27.55
2016-09-19,26.2
2016-09-20,25.75
2016-09-21,27.0
2016-09-22,28.35
2016-09-23,28.1
2016-09-26,28.65
2016-09-27,30.05
2016-09-28,31.55
2016-09-29,31.6
2016-09-30,33.15
2016-10-03,34.8
2016-10-04,36.5
2016-10-05,38.3
2016-10-06,40.2
2016-10-07,42.2
2016-10-10,44.3
2016-10-13,46.5
2016-10-14,48.8
2016-10-17,51.2
2016-10-18,53.75
2016-10-19,56.4
2016-10-20,59.2
2016-10-21,56.65
2016-10-24,59.45
2016-10-25,62.4
2016-10-26,65.5
2016-10-27,68.75
2016-10-28,72.15
2016-10-30,75.75
2016-11-01,79.5
2016-11-02,83.45
2016-11-03,87.6
2016-11-04,83.25
2016-11-07,79.1
2016-12-06,63.8
2016-12-07,60.65
2016-12-08,63.65
2016-12-09,66.8
2016-12-12,63.5
2016-12-13,66.0
2016-12-14,63.5
2016-12-15,64.4
2016-12-16,61.3
2016-12-19,58.25
2016-12-20,55.35
2016-12-21,58.1
2016-12-22,60.8
2016-12-23,58.45
2016-12-26,55.55
2016-12-27,52.9
2016-12-28,54.9
2016-12-29,55.65
2016-12-30,56.0
