Date,GULPOLY
2016-01-01,460.8
2016-01-04,462.1
2016-01-05,484.4
2016-01-06,478.0
2016-01-07,464.7
2016-01-08,459.65
2016-01-11,458.25
2016-01-12,449.45
2016-01-13,435.85
2016-01-14,419.65
2016-01-15,420.55
2016-01-18,402.35
2016-01-19,408.1
2016-01-20,384.8
2016-01-21,388.9
2016-01-22,411.7
2016-01-25,431.05
2016-01-27,424.75
2016-01-28,427.55
2016-01-29,425.95
2016-02-01,421.85
2016-02-02,396.6
2016-02-03,390.55
2016-02-04,386.75
2016-02-05,377.6
2016-02-08,343.45
2016-02-09,342.65
2016-02-10,340.35
2016-02-11,303.2
2016-02-12,317.4
2016-02-15,317.6
2016-02-16,300.75
2016-02-17,305.8
2016-02-18,303.35
2016-02-19,309.7
2016-02-22,303.9
2016-02-23,294.3
2016-02-24,290.85
2016-02-25,295.3
2016-02-26,288.3
2016-02-29,282.8
2016-03-01,296.75
2016-03-02,304.95
2016-03-03,309.05
2016-03-04,314.05
2016-03-08,309.25
2016-03-09,302.55
2016-03-10,306.9
2016-03-11,301.7
2016-03-14,302.75
2016-03-15,303.15
2016-03-16,305.85
2016-03-17,305.95
2016-03-18,301.45
2016-03-21,308.8
2016-03-22,305.0
2016-03-23,304.45
2016-03-28,311.45
2016-03-29,309.1
2016-03-30,312.15
2016-03-31,317.0
2016-04-01,317.7
2016-04-04,316.8
2016-04-05,313.15
2016-04-06,315.3
2016-04-07,312.45
2016-04-08,316.75
2016-04-11,317.85
2016-04-12,334.6
2016-04-13,336.4
2016-04-18,345.0
2016-04-20,341.5
2016-04-21,335.45
2016-04-22,351.35
2016-04-25,360.75
2016-04-26,354.0
2016-04-27,353.9
2016-04-28,350.35
2016-04-29,354.95
2016-05-02,354.45
2016-05-03,352.15
2016-05-04,344.45
2016-05-05,339.85
2016-05-06,333.7
2016-05-09,332.05
2016-05-10,341.25
2016-05-11,341.15
2016-05-12,342.2
2016-05-13,349.8
2016-05-16,340.3
2016-05-17,342.0
2016-05-18,336.15
2016-05-19,336.75
2016-05-20,340.7
2016-05-23,335.65
2016-05-24,333.7
2016-05-25,327.35
2016-05-26,324.8
2016-05-27,333.2
2016-05-30,332.5
2016-05-31,329.95
2016-06-01,342.85
2016-06-02,337.7
2016-06-03,336.65
2016-06-06,327.0
2016-06-07,334.75
2016-06-08,333.45
2016-06-09,335.0
2016-06-10,333.55
2016-06-13,329.35
2016-06-14,328.6
2016-06-15,331.8
2016-06-16,326.15
2016-06-17,326.5
2016-06-20,347.05
2016-06-21,348.15
2016-06-22,344.55
2016-06-23,341.8
2016-06-24,333.75
2016-06-27,335.6
2016-06-28,344.1
2016-06-29,341.9
2016-06-30,343.35
2016-07-01,351.0
2016-07-04,344.9
2016-07-05,349.8
2016-07-07,346.55
2016-07-08,372.7
2016-07-11,381.35
2016-07-12,371.05
2016-07-13,371.85
2016-07-14,372.45
2016-07-15,369.95
2016-07-18,368.4
2016-07-19,367.75
2016-07-20,367.5
2016-07-21,367.1
2016-07-22,367.7
2016-07-25,365.9
2016-07-26,365.05
2016-07-27,359.75
2016-07-28,364.9
2016-07-29,362.75
2016-08-01,364.15
2016-08-02,363.9
2016-08-03,363.85
2016-08-04,359.2
2016-08-05,367.2
2016-08-08,361.0
2016-08-09,360.6
2016-08-10,356.85
2016-08-11,350.95
2016-08-12,353.1
2016-08-16,351.6
2016-08-17,354.0
2016-08-18,364.4
2016-08-19,353.75
2016-08-22,350.3
2016-08-23,352.15
2016-08-24,357.95
2016-08-25,363.75
2016-08-26,360.85
2016-08-29,361.6
2016-08-30,360.6
2016-08-31,360.35
2016-09-01,362.65
2016-09-02,360.35
2016-09-06,359.95
2016-09-07,359.55
2016-09-08,357.65
2016-09-09,357.05
2016-09-12,355.1
2016-09-14,358.35
2016-09-15,364.8
2016-09-16,364.75
2016-09-19,364.9
2016-09-20,370.65
2016-09-21,356.95
2016-09-22,361.05
2016-09-23,358.6
2016-09-26,359.45
2016-09-27,361.8
2016-09-28,365.65
2016-09-29,355.6
2016-09-30,358.5
2016-10-03,364.1
2016-10-04,363.85
2016-10-05,369.1
2016-10-06,365.15
2016-10-07,365.5
2016-10-10,365.95
2016-10-13,374.55
2016-10-14,377.85
2016-10-17,392.65
2016-10-18,410.4
2016-10-19,407.4
2016-10-20,414.5
2016-10-21,411.1
2016-10-24,420.35
2016-10-25,417.4
2016-10-26,415.05
2016-10-27,412.55
2016-10-28,405.25
2016-10-30,416.1
2016-11-01,410.45
2016-11-02,403.4
2016-11-03,414.85
2016-11-04,392.85
2016-11-07,403.6
2016-11-08,423.0
2016-11-09,405.05
2016-11-10,410.9
2016-11-11,389.4
2016-11-15,372.8
2016-11-16,379.7
2016-11-17,375.05
2016-11-18,371.45
2016-11-21,367.45
2016-11-22,372.05
2016-11-23,374.7
2016-11-24,385.65
2016-11-25,391.55
2016-11-28,385.05
2016-11-29,390.05
2016-11-30,387.75
2016-12-01,389.0
2016-12-02,383.2
2016-12-05,379.0
2016-12-06,379.1
2016-12-07,384.35
2016-12-08,393.7
2016-12-09,393.55
2016-12-12,389.3
2016-12-13,391.8
2016-12-14,389.2
2016-12-15,391.2
2016-12-16,391.7
2016-12-19,389.55
2016-12-20,390.15
2016-12-21,392.1
2016-12-22,389.65
2016-12-23,379.3
2016-12-26,371.25
2016-12-27,74.1
2016-12-28,73.55
2016-12-29,74.5
2016-12-30,74.2
