Date,Return
2013-01-01,0.0
2013-01-02,-0.3134796238244559
2013-01-03,-1.2499999999999956
2013-01-04,-0.3086419753086464
2013-01-07,2.4615384615384635
2013-01-08,-1.577287066246068
2013-01-09,0.6211180124223691
2013-01-10,1.8750000000000044
2013-01-11,3.1847133757961785
2013-01-14,-3.289473684210526
2013-01-15,1.5923566878980893
2013-01-16,2.265372168284787
2013-01-17,0.33112582781456246
2013-01-18,0.33222591362126713
2013-01-21,2.9999999999999956
2013-01-22,2.7491408934707926
2013-01-23,-1.0600706713780943
2013-01-24,1.398601398601406
2013-01-25,-2.8368794326241162
2013-01-28,2.0689655172413843
2013-01-29,1.0563380281690042
2013-01-30,-1.0676156583629792
2013-01-31,-2.1126760563380333
2013-02-01,1.3793103448275814
2013-02-04,3.146853146853154
2013-02-05,-1.4440433212996466
2013-02-06,0.3558718861210015
2013-02-07,1.7857142857142856
2013-02-08,-1.0909090909090935
2013-02-11,0.0
2013-02-12,-0.7194244604316521
2013-02-13,0.7142857142857117
2013-02-14,5.0359712230215905
2013-02-15,-1.5151515151515234
2013-02-18,1.4925373134328437
2013-02-19,-2.2727272727272783
2013-02-20,2.59259259259259
2013-02-21,0.7604562737642558
2013-02-22,0.38314176245211273
2013-02-25,1.1538461538461564
2013-02-26,2.7237354085603087
2013-02-27,1.2000000000000028
2013-02-28,-1.6194331983805754
2013-03-01,0.3984063745019977
2013-03-04,3.5999999999999943
2013-03-05,5.394190871369297
2013-03-06,-5.263157894736839
2013-03-07,-4.583333333333339
2013-03-08,1.5936254980079765
2013-03-11,1.6194331983805612
2013-03-12,-2.469135802469127
2013-03-13,1.2048192771084223
2013-03-14,0.8130081300813123
2013-03-15,0.8196721311475381
2013-03-18,2.066115702479339
2013-03-19,0.8438818565400814
2013-03-20,1.7021276595744619
2013-03-21,3.463203463203466
2013-03-22,3.139013452914795
2013-03-25,-0.9259259259259226
2013-03-26,1.8348623853211108
2013-03-28,-0.4672897196261749
2013-04-01,2.3255813953488373
2013-04-02,-4.2857142857142785
2013-04-03,-1.3698630136986336
2013-04-04,0.9009009009008978
2013-04-05,-1.818181818181812
2013-04-08,-4.464285714285714
2013-04-09,-2.991452991453004
2013-04-10,-1.2448132780082868
2013-04-11,0.8196721311475381
2013-04-12,1.2396694214876063
2013-04-15,1.673640167364011
2013-04-16,0.4255319148936231
2013-04-17,-3.8461538461538556
2013-04-18,-1.2345679012345707
2013-04-22,-3.2520325203251916
2013-04-23,1.5748031496062938
2013-04-25,1.2000000000000028
2013-04-26,-2.4291497975708563
2013-04-29,2.7667984189723294
2013-04-30,5.284552845528458
2013-05-02,1.7167381974249016
2013-05-03,-4.803493449781666
2013-05-06,-0.41666666666667257
2013-05-07,-3.73443983402489
2013-05-08,1.2000000000000028
2013-05-09,3.2388663967611366
2013-05-10,-2.510460251046031
2013-05-11,0.0
2013-05-13,2.0408163265306123
2013-05-14,0.0
2013-05-15,-0.41666666666667257
2013-05-16,-3.319502074688785
2013-05-17,0.0
2013-05-20,1.6064257028112392
2013-05-21,0.0
2013-05-22,2.0408163265306123
2013-05-23,0.8333333333333304
2013-05-24,-2.941176470588232
2013-05-27,0.816326530612242
2013-05-28,0.0
2013-05-29,-2.880658436213989
2013-05-30,2.4000000000000057
2013-05-31,2.0491803278688527
2013-06-03,-0.8368200836820203
2013-06-04,0.4149377593361055
2013-06-05,1.250000000000003
2013-06-06,0.4219409282700332
2013-06-07,0.847457627118656
2013-06-10,3.84615384615384
2013-06-11,2.2222222222222223
2013-06-12,1.3636363636363669
2013-06-13,-0.9216589861751119
2013-06-14,-4.109589041095901
2013-06-17,1.75438596491229
2013-06-18,1.7857142857142794
2013-06-19,-3.63636363636364
2013-06-20,2.631578947368427
2013-06-21,-0.45045045045045684
2013-06-24,1.345291479820631
2013-06-25,1.3636363636363669
2013-06-26,5.069124423963125
2013-06-27,1.4563106796116538
2013-06-28,2.463054187192118
2013-07-01,-4.545454545454538
2013-07-02,0.9661835748792237
2013-07-03,3.9024390243902474
2013-07-04,-2.5380710659898478
2013-07-05,3.960396039603964
2013-07-08,0.0
2013-07-09,1.0309278350515427
2013-07-10,-1.041666666666663
2013-07-11,-2.0618556701031037
2013-07-12,3.0303030303030374
2013-07-15,0.0
2013-07-16,2.604166666666667
2013-07-17,4.278074866310164
2013-07-18,5.027932960893847
2013-07-19,5.294117647058815
2013-07-22,-1.242236024844716
2013-07-23,0.0
2013-07-24,1.8404907975460165
2013-07-25,2.500000000000002
2013-07-26,1.2820512820512775
2013-07-29,5.844155844155846
2013-07-30,-3.4482758620689653
2013-07-31,0.0
2013-08-01,1.3333333333333286
2013-08-02,13.513513513513512
2013-08-05,3.1250000000000027
2013-08-06,-3.2258064516129057
2013-08-07,4.687500000000011
2013-08-08,1.6393442622950762
2013-08-12,0.8333333333333304
2013-08-13,-5.042016806722685
2013-08-14,-4.0
2013-08-16,-19.230769230769234
2013-08-19,-20.00000000000001
2013-08-20,5.376344086021505
2013-08-21,1.1363636363636525
2013-08-22,-1.1494252873563382
2013-08-23,-3.977272727272723
2013-08-26,1.6393442622950858
2013-08-27,1.6666666666666705
2013-08-28,3.9548022598870016
2013-08-29,-0.5882352941176554
2013-08-30,8.187134502923989
2013-09-02,5.732484076433112
2013-09-03,9.459459459459461
2013-09-04,-0.7462686567164152
2013-09-05,-4.444444444444442
2013-09-06,-4.964539007092206
2013-09-10,-4.7297297297297245
2013-09-11,-4.5161290322580605
2013-09-12,-4.938271604938276
2013-09-13,-4.70588235294118
2013-09-16,-4.494382022471914
