,Model,Actual,%diff
SMB %,-0.08207117456037097,0.12958197441295552,163.3353326588652
HML %,0.1060873129446113,-0.07351286963562752,244.31121172447985
WML %,0.06206549038255131,0.10002566898785428,37.95043711220998
Rm-Rf %,0.18851693868321578,-0.01940360246963564,1071.5563848425704
high-low,-0.2234318795747003,-0.11612385640426907,-92.40824968545071
