,Model,Actual,%diff
SMB %,0.1345540216344508,-0.008750001300813022,1637.7600186407797
HML %,-0.23011646297765745,-0.011918785284552855,-1830.7039894065051
WML %,-0.013333886453490344,0.02244276349593495,159.41285464201192
Rm-Rf %,0.06685531516797148,-0.000619441422764242,10892.838953138022
