,Model,Actual
SMB %,0.0444306227594212,-0.08308784112449796
HML %,-0.060485176827758245,0.05654712678714863
WML %,-0.03395354694305343,0.10983305887550196
Rm-Rf %,-0.00811678939121164,-0.023308300160642524
high-low,0.021246935187745272,-0.02135283163406517
