,Model,Actual,%diff
SMB %,0.026552234104319082,0.09834982148148144,73.00225490564954
HML %,0.07767892595540124,0.023263328765432106,-233.91148248236686
WML %,0.046915676118925095,0.012302707242798335,-281.34432684633896
Rm-Rf %,0.1661868585410059,0.10935189131687245,-51.97437972009186
