,Model,Actual,%diff
SMB %,0.05677425379462034,0.04472266611336035,-26.94738200694999
HML %,0.026130962436871134,0.06531492724696356,59.99235773766258
WML %,0.11541691069598713,0.10277658206477729,-12.298841211943579
Rm-Rf %,0.1795733087515198,0.10903453238866398,-64.69397796967078
