Date,PRATIBHA
2013-01-01,55.5
2013-01-02,54.3
2013-01-03,53.9
2013-01-04,56.05
2013-01-07,55.25
2013-01-08,54.55
2013-01-09,57.35
2013-01-10,55.0
2013-01-11,54.75
2013-01-14,54.7
2013-01-15,54.55
2013-01-16,52.65
2013-01-17,53.0
2013-01-18,52.45
2013-01-21,52.25
2013-01-22,51.35
2013-01-23,50.4
2013-01-24,48.1
2013-01-25,49.5
2013-01-28,50.65
2013-01-29,50.5
2013-01-30,50.0
2013-01-31,49.95
2013-02-01,49.25
2013-02-04,49.1
2013-02-05,48.1
2013-02-06,47.65
2013-02-07,46.6
2013-02-08,45.0
2013-02-11,44.2
2013-02-12,43.85
2013-02-13,43.7
2013-02-14,42.1
2013-02-15,42.1
2013-02-18,44.45
2013-02-19,44.85
2013-02-20,47.0
2013-02-21,45.35
2013-02-22,44.55
2013-02-25,44.05
2013-02-26,41.65
2013-02-27,41.7
2013-02-28,40.25
2013-03-01,40.9
2013-03-04,41.0
2013-03-05,42.25
2013-03-06,43.7
2013-03-07,43.6
2013-03-08,43.6
2013-03-11,43.25
2013-03-12,40.95
2013-03-13,40.7
2013-03-14,41.0
2013-03-15,46.65
2013-03-18,46.5
2013-03-19,42.65
2013-03-20,40.8
2013-03-21,39.8
2013-03-22,38.75
2013-03-25,38.75
2013-03-26,38.0
2013-03-28,39.55
2013-04-01,41.1
2013-04-02,41.65
2013-04-03,41.45
2013-04-04,39.65
2013-04-05,39.15
2013-04-08,40.25
2013-04-09,39.05
2013-04-10,39.4
2013-04-11,39.65
2013-04-12,38.95
2013-04-15,39.1
2013-04-16,39.05
2013-04-17,38.6
2013-04-18,39.3
2013-04-22,39.6
2013-04-23,39.8
2013-04-25,39.7
2013-04-26,38.95
2013-04-29,38.85
2013-04-30,38.6
2013-05-02,40.65
2013-05-03,40.8
2013-05-06,41.6
2013-05-07,41.45
2013-05-08,41.3
2013-05-09,39.85
2013-05-10,39.65
2013-05-11,40.0
2013-05-13,39.1
2013-05-14,38.7
2013-05-15,39.25
2013-05-16,40.4
2013-05-17,41.6
2013-05-20,42.5
2013-05-21,42.4
2013-05-22,41.2
2013-05-23,39.1
2013-05-24,38.65
2013-05-27,37.85
2013-05-28,37.8
2013-05-29,38.0
2013-05-30,38.1
2013-05-31,37.25
2013-06-03,36.4
2013-06-04,36.1
2013-06-05,36.85
2013-06-06,36.65
2013-06-07,36.35
2013-06-10,36.0
2013-06-11,34.75
2013-06-12,34.05
2013-06-13,33.25
2013-06-14,32.8
2013-06-17,32.8
2013-06-18,32.7
2013-06-19,32.2
2013-06-20,30.25
2013-06-21,29.05
2013-06-24,27.25
2013-06-25,25.85
2013-06-26,25.3
2013-06-27,25.9
2013-06-28,27.3
2013-07-01,27.95
2013-07-02,29.0
2013-07-03,27.65
2013-07-04,27.95
2013-07-05,27.7
2013-07-08,27.75
2013-07-09,27.4
2013-07-10,26.75
2013-07-11,27.0
2013-07-12,26.75
2013-07-15,26.95
2013-07-16,26.4
2013-07-17,26.0
2013-07-18,25.4
2013-07-19,25.3
2013-07-22,24.0
2013-07-23,24.2
2013-07-24,22.95
2013-07-25,21.7
2013-07-26,23.4
2013-07-29,22.9
2013-07-30,23.2
2013-07-31,23.25
2013-08-01,22.8
2013-08-02,22.1
2013-08-05,22.05
2013-08-06,22.25
2013-08-07,22.3
2013-08-08,22.9
2013-08-12,23.5
2013-08-13,23.65
2013-08-14,21.65
2013-08-16,20.8
2013-08-19,18.65
2013-08-20,17.6
2013-08-21,17.55
2013-08-22,17.1
2013-08-23,16.95
2013-08-26,19.1
2013-08-27,19.0
2013-08-28,18.6
2013-08-29,18.45
2013-08-30,18.3
2013-09-02,18.4
2013-09-03,18.65
2013-09-04,18.6
2013-09-05,18.85
2013-09-06,18.85
2013-09-10,20.2
2013-09-11,22.1
2013-09-12,21.45
2013-09-13,21.45
2013-09-16,21.3
2013-09-17,20.95
2013-09-18,21.0
2013-09-19,21.45
2013-09-20,20.85
2013-09-23,21.2
2013-09-24,21.55
2013-09-25,20.95
2013-09-26,20.8
2013-09-27,20.65
2013-09-30,20.15
2013-10-01,20.05
2013-10-03,20.5
2013-10-04,20.7
2013-10-07,20.35
2013-10-08,20.8
2013-10-09,21.25
2013-10-10,21.2
2013-10-11,21.3
2013-10-14,23.3
2013-10-15,22.4
2013-10-17,22.1
2013-10-18,22.45
2013-10-21,23.75
2013-10-22,24.35
2013-10-23,23.4
2013-10-24,22.85
2013-10-25,24.55
2013-10-28,22.95
2013-10-29,23.55
2013-10-30,23.65
2013-10-31,23.45
2013-11-01,23.85
2013-11-03,24.0
2013-11-05,23.95
2013-11-06,25.3
2013-11-07,24.45
2013-11-08,24.15
2013-11-11,23.8
2013-11-12,23.55
2013-11-13,22.5
2013-11-14,22.4
2013-11-18,22.6
2013-11-19,23.85
2013-11-20,23.55
2013-11-21,23.0
2013-11-22,23.3
2013-11-25,23.4
2013-11-26,22.9
2013-11-27,22.75
2013-11-28,23.0
2013-11-29,23.1
2013-12-02,23.4
2013-12-03,24.4
2013-12-04,24.9
2013-12-05,24.6
2013-12-06,24.45
2013-12-09,24.25
2013-12-10,23.75
2013-12-11,23.15
2013-12-12,23.15
2013-12-13,22.95
2013-12-16,22.75
2013-12-17,22.8
2013-12-18,23.0
2013-12-19,22.85
2013-12-20,23.2
2013-12-23,23.95
2013-12-24,24.05
2013-12-26,24.45
2013-12-27,24.45
2013-12-30,23.75
2013-12-31,24.15
