Date,ASTRAZEN
2013-01-01,1344.5
2013-01-02,1405.55
2013-01-03,1412.3
2013-01-04,1400.5
2013-01-07,1371.9
2013-01-08,1404.35
2013-01-09,1435.45
2013-01-10,1477.05
2013-01-11,1436.7
2013-01-14,1444.85
2013-01-15,1416.7
2013-01-16,1416.8
2013-01-17,1441.4
2013-01-18,1425.3
2013-01-21,1428.75
2013-01-22,1419.0
2013-01-23,1421.4
2013-01-24,1387.9
2013-01-25,1364.35
2013-01-28,1366.1
2013-01-29,1367.0
2013-01-30,1365.6
2013-01-31,1345.7
2013-02-01,1339.4
2013-02-04,1336.95
2013-02-05,1327.1
2013-02-06,1325.6
2013-02-07,1260.75
2013-02-08,1208.6
2013-02-11,1135.55
2013-02-12,1256.35
2013-02-13,1190.35
2013-02-14,1191.75
2013-02-15,1166.95
2013-02-18,1179.05
2013-02-19,1159.35
2013-02-20,1135.4
2013-02-21,1111.6
2013-02-22,1065.6
2013-02-25,1001.4
2013-02-26,987.05
2013-02-27,986.2
2013-02-28,941.8
2013-03-01,905.05
2013-03-04,862.05
2013-03-05,826.55
2013-03-06,774.4
2013-03-07,781.5
2013-03-08,753.25
2013-03-11,769.1
2013-03-12,762.2
2013-03-13,751.05
2013-03-14,736.85
2013-03-15,716.85
2013-03-18,690.35
2013-03-19,703.1
2013-03-20,682.7
2013-03-21,668.25
2013-03-22,639.05
2013-03-25,622.2
2013-03-26,629.15
2013-03-28,650.1
2013-04-01,706.1
2013-04-02,731.85
2013-04-03,694.1
2013-04-04,685.1
2013-04-05,684.8
2013-04-08,667.85
2013-04-09,659.25
2013-04-10,653.95
2013-04-11,666.05
2013-04-12,653.75
2013-04-15,657.85
2013-04-16,657.15
2013-04-17,688.85
2013-04-18,707.35
2013-04-22,698.95
2013-04-23,695.45
2013-04-25,689.15
2013-04-26,679.7
2013-04-29,683.95
2013-04-30,732.25
2013-05-02,746.4
2013-05-03,797.15
2013-05-06,841.15
2013-05-07,836.0
2013-05-08,843.4
2013-05-09,829.75
2013-05-10,831.7
2013-05-11,832.75
2013-05-13,818.25
2013-05-14,795.35
2013-05-15,818.1
2013-05-16,807.8
2013-05-17,800.9
2013-05-20,795.35
2013-05-21,793.0
2013-05-22,760.05
2013-05-23,714.55
2013-05-24,694.05
2013-05-27,805.3
2013-05-28,668.6
2013-05-29,797.3
2013-05-30,870.45
2013-05-31,835.8
2013-06-03,807.1
2013-06-04,801.8
2013-06-05,779.75
2013-06-06,788.55
2013-06-07,775.95
2013-06-10,760.95
2013-06-11,743.2
2013-06-12,723.4
2013-06-13,713.0
2013-06-14,717.2
2013-06-17,739.8
2013-06-18,740.35
2013-06-19,732.5
2013-06-20,714.15
2013-06-21,697.6
2013-06-24,676.75
2013-06-25,666.85
2013-06-26,663.1
2013-06-27,647.85
2013-06-28,655.45
2013-07-01,684.0
2013-07-02,690.0
2013-07-03,674.2
2013-07-04,674.5
2013-07-05,684.2
2013-07-08,679.1
2013-07-09,674.05
2013-07-10,680.65
2013-07-11,683.05
2013-07-12,673.5
2013-07-15,683.6
2013-07-16,669.2
2013-07-17,652.45
2013-07-18,660.9
2013-07-19,654.25
2013-07-22,663.65
2013-07-23,664.65
2013-07-24,648.55
2013-07-25,647.9
2013-07-26,644.5
2013-07-29,644.75
2013-07-30,646.0
2013-07-31,685.2
2013-08-01,671.2
2013-08-02,650.1
2013-08-05,659.45
2013-08-06,636.7
2013-08-07,655.35
2013-08-08,679.7
2013-08-12,703.8
2013-08-13,735.45
2013-08-14,878.45
2013-08-16,830.05
2013-08-19,795.8
2013-08-20,818.6
2013-08-21,792.05
2013-08-22,803.45
2013-08-23,797.55
2013-08-26,839.3
2013-08-27,808.4
2013-08-28,797.3
2013-08-29,802.75
2013-08-30,811.6
2013-09-02,817.4
2013-09-03,805.1
2013-09-04,818.8
2013-09-05,824.95
2013-09-06,820.75
2013-09-10,837.45
2013-09-11,861.3
2013-09-12,857.55
2013-09-13,847.7
2013-09-16,852.05
2013-09-17,842.1
2013-09-18,845.05
