Date,MOTHERSUMI
2013-01-01,198.4
2013-01-02,198.5
2013-01-03,200.0
2013-01-04,199.9
2013-01-07,199.55
2013-01-08,197.0
2013-01-09,199.05
2013-01-10,200.7
2013-01-11,198.2
2013-01-14,195.35
2013-01-15,195.15
2013-01-16,194.85
2013-01-17,195.2
2013-01-18,196.05
2013-01-21,200.15
2013-01-22,201.1
2013-01-23,200.05
2013-01-24,198.25
2013-01-25,197.7
2013-01-28,197.0
2013-01-29,199.15
2013-01-30,200.05
2013-01-31,197.5
2013-02-01,199.8
2013-02-04,196.5
2013-02-05,191.1
2013-02-06,190.3
2013-02-07,191.0
2013-02-08,190.9
2013-02-11,189.95
2013-02-12,190.5
2013-02-13,202.55
2013-02-14,201.0
2013-02-15,199.95
2013-02-18,200.15
2013-02-19,199.9
2013-02-20,201.05
2013-02-21,197.45
2013-02-22,194.05
2013-02-25,192.55
2013-02-26,190.75
2013-02-27,196.25
2013-02-28,196.9
2013-03-01,194.0
2013-03-04,194.05
2013-03-05,195.85
2013-03-06,195.1
2013-03-07,194.05
2013-03-08,193.15
2013-03-11,194.65
2013-03-12,200.2
2013-03-13,205.0
2013-03-14,205.0
2013-03-15,204.0
2013-03-18,205.75
2013-03-19,206.65
2013-03-20,205.55
2013-03-21,209.65
2013-03-22,205.7
2013-03-25,198.75
2013-03-26,196.25
2013-03-28,194.15
2013-04-01,185.6
2013-04-02,184.05
2013-04-03,182.35
2013-04-04,176.85
2013-04-05,184.7
2013-04-08,190.05
2013-04-09,180.05
2013-04-10,182.2
2013-04-11,185.4
2013-04-12,179.7
2013-04-15,175.5
2013-04-16,179.05
2013-04-17,185.95
2013-04-18,182.75
2013-04-22,191.4
2013-04-23,183.4
2013-04-25,181.15
2013-04-26,183.2
2013-04-29,189.85
2013-04-30,194.8
2013-05-02,196.65
2013-05-03,190.4
2013-05-06,198.3
2013-05-07,199.55
2013-05-08,202.15
2013-05-09,202.5
2013-05-10,210.95
2013-05-11,205.1
2013-05-13,198.2
2013-05-14,208.0
2013-05-15,212.45
2013-05-16,212.35
2013-05-17,204.6
2013-05-20,215.45
2013-05-21,217.85
2013-05-22,218.1
2013-05-23,213.95
2013-05-24,210.55
2013-05-27,215.6
2013-05-28,215.6
2013-05-29,216.55
2013-05-30,217.15
2013-05-31,214.65
2013-06-03,208.0
2013-06-04,207.75
2013-06-05,207.9
2013-06-06,206.9
2013-06-07,208.9
2013-06-10,210.8
2013-06-11,202.6
2013-06-12,204.95
2013-06-13,197.2
2013-06-14,196.85
2013-06-17,203.15
2013-06-18,204.25
2013-06-19,205.15
2013-06-20,204.65
2013-06-21,200.8
2013-06-24,200.0
2013-06-25,194.75
2013-06-26,200.05
2013-06-27,197.45
2013-06-28,198.25
2013-07-01,196.15
2013-07-02,195.55
2013-07-03,198.05
2013-07-04,209.1
2013-07-05,206.0
2013-07-08,208.25
2013-07-09,206.45
2013-07-10,208.05
2013-07-11,210.0
2013-07-12,209.1
2013-07-15,217.6
2013-07-16,213.9
2013-07-17,216.75
2013-07-18,217.9
2013-07-19,222.0
2013-07-22,222.55
2013-07-23,217.7
2013-07-24,210.1
2013-07-25,206.95
2013-07-26,205.1
2013-07-29,204.0
2013-07-30,199.05
2013-07-31,205.55
2013-08-01,204.95
2013-08-02,208.85
2013-08-05,209.05
2013-08-06,210.75
2013-08-07,207.45
2013-08-08,216.1
2013-08-12,225.3
2013-08-13,228.2
2013-08-14,235.55
2013-08-16,229.75
2013-08-19,229.15
2013-08-20,214.6
2013-08-21,206.5
2013-08-22,199.9
2013-08-23,205.75
2013-08-26,207.55
2013-08-27,199.4
2013-08-28,188.85
2013-08-29,196.65
2013-08-30,194.25
2013-09-02,196.2
2013-09-03,193.8
2013-09-04,192.8
2013-09-05,200.05
2013-09-06,199.2
2013-09-10,203.8
2013-09-11,210.0
2013-09-12,215.85
2013-09-13,214.55
2013-09-16,215.05
2013-09-17,219.7
2013-09-18,223.45
2013-09-19,220.75
2013-09-20,220.55
2013-09-23,228.9
2013-09-24,225.6
2013-09-25,228.9
2013-09-26,226.75
2013-09-27,229.35
2013-09-30,229.95
2013-10-01,229.1
2013-10-03,226.85
2013-10-04,239.95
2013-10-07,240.7
2013-10-08,246.85
2013-10-09,247.85
2013-10-10,247.45
2013-10-11,249.25
2013-10-14,259.35
2013-10-15,255.55
2013-10-17,253.15
2013-10-18,249.85
2013-10-21,259.0
2013-10-22,255.4
2013-10-23,262.55
2013-10-24,263.1
2013-10-25,257.0
2013-10-28,256.85
2013-10-29,259.95
2013-10-30,257.55
2013-10-31,269.85
2013-11-01,264.9
2013-11-03,264.95
2013-11-05,273.75
2013-11-06,284.65
2013-11-07,280.9
2013-11-08,275.55
2013-11-11,276.2
2013-11-12,265.5
2013-11-13,259.05
2013-11-14,258.25
2013-11-18,262.8
2013-11-19,263.7
2013-11-20,262.9
2013-11-21,256.85
2013-11-22,255.45
2013-11-25,261.35
2013-11-26,271.0
2013-11-27,289.1
2013-11-28,285.75
2013-11-29,283.1
2013-12-02,284.1
2013-12-03,280.9
2013-12-04,278.0
2013-12-05,280.9
2013-12-06,280.9
2013-12-09,281.35
2013-12-10,271.85
2013-12-11,278.65
2013-12-12,285.0
2013-12-13,285.1
2013-12-16,288.15
2013-12-17,286.65
2013-12-18,290.85
2013-12-19,291.75
2013-12-20,200.45
2013-12-23,191.65
2013-12-24,190.7
2013-12-26,190.25
2013-12-27,186.35
2013-12-30,184.35
2013-12-31,182.5
