Date,MUNJALSHOW
2013-01-01,66.85
2013-01-02,66.5
2013-01-03,66.8
2013-01-04,66.75
2013-01-07,68.3
2013-01-08,68.95
2013-01-09,68.4
2013-01-10,68.35
2013-01-11,68.4
2013-01-14,67.55
2013-01-15,66.2
2013-01-16,65.45
2013-01-17,66.8
2013-01-18,65.7
2013-01-21,65.3
2013-01-22,63.8
2013-01-23,64.2
2013-01-24,63.45
2013-01-25,63.4
2013-01-28,63.05
2013-01-29,63.0
2013-01-30,63.0
2013-01-31,62.55
2013-02-01,62.4
2013-02-04,65.5
2013-02-05,67.2
2013-02-06,66.85
2013-02-07,66.15
2013-02-08,65.55
2013-02-11,65.7
2013-02-12,63.95
2013-02-13,64.85
2013-02-14,63.9
2013-02-15,63.6
2013-02-18,65.7
2013-02-19,66.4
2013-02-20,67.45
2013-02-21,64.8
2013-02-22,66.7
2013-02-25,65.75
2013-02-26,63.95
2013-02-27,64.55
2013-02-28,63.75
2013-03-01,63.35
2013-03-04,62.65
2013-03-05,62.95
2013-03-06,63.05
2013-03-07,63.4
2013-03-08,64.15
2013-03-11,63.2
2013-03-12,62.3
2013-03-13,61.55
2013-03-14,61.15
2013-03-15,61.0
2013-03-18,60.3
2013-03-19,60.2
2013-03-20,59.8
2013-03-21,58.55
2013-03-22,57.15
2013-03-25,57.5
2013-03-26,56.9
2013-03-28,57.25
2013-04-01,58.2
2013-04-02,59.35
2013-04-03,60.05
2013-04-04,58.1
2013-04-05,57.35
2013-04-08,57.2
2013-04-09,57.1
2013-04-10,57.45
2013-04-11,59.0
2013-04-12,58.45
2013-04-15,59.55
2013-04-16,59.1
2013-04-17,59.15
2013-04-18,58.6
2013-04-22,58.4
2013-04-23,58.7
2013-04-25,58.35
2013-04-26,58.45
2013-04-29,59.25
2013-04-30,60.85
2013-05-02,60.3
2013-05-03,58.55
2013-05-06,60.15
2013-05-07,62.2
2013-05-08,62.55
2013-05-09,60.25
2013-05-10,59.85
2013-05-11,60.0
2013-05-13,59.5
2013-05-14,59.5
2013-05-15,60.85
2013-05-16,60.0
2013-05-17,60.3
2013-05-20,60.4
2013-05-21,60.05
2013-05-22,60.4
2013-05-23,60.4
2013-05-24,62.8
2013-05-27,62.0
2013-05-28,62.8
2013-05-29,64.0
2013-05-30,63.5
2013-05-31,63.75
2013-06-03,63.95
2013-06-04,63.25
2013-06-05,63.5
2013-06-06,65.4
2013-06-07,64.85
2013-06-10,62.25
2013-06-11,62.0
2013-06-12,61.75
2013-06-13,61.75
2013-06-14,62.0
2013-06-17,61.75
2013-06-18,61.7
2013-06-19,62.35
2013-06-20,61.95
2013-06-21,62.2
2013-06-24,60.7
2013-06-25,60.45
2013-06-26,59.1
2013-06-27,59.5
2013-06-28,59.9
2013-07-01,61.25
2013-07-02,61.1
2013-07-03,60.9
2013-07-04,59.95
2013-07-05,60.95
2013-07-08,60.4
2013-07-09,61.15
2013-07-10,60.75
2013-07-11,61.4
2013-07-12,61.7
2013-07-15,61.7
2013-07-16,62.9
2013-07-17,62.05
2013-07-18,58.75
2013-07-19,57.95
2013-07-22,56.7
2013-07-23,56.4
2013-07-24,55.8
2013-07-25,56.9
2013-07-26,56.0
2013-07-29,55.5
2013-07-30,54.1
2013-07-31,55.35
2013-08-01,56.1
2013-08-02,57.5
2013-08-05,57.7
2013-08-06,55.9
2013-08-07,56.1
2013-08-08,56.0
2013-08-12,56.05
2013-08-13,57.85
2013-08-14,58.45
2013-08-16,55.95
2013-08-19,55.7
2013-08-20,55.0
2013-08-21,54.85
2013-08-22,55.2
2013-08-23,55.6
2013-08-26,55.45
2013-08-27,54.6
2013-08-28,54.7
2013-08-29,55.05
2013-08-30,55.95
2013-09-02,55.8
2013-09-03,57.25
2013-09-04,57.95
2013-09-05,60.5
2013-09-06,61.1
2013-09-10,59.2
2013-09-11,58.65
2013-09-12,57.35
2013-09-13,58.7
2013-09-16,59.25
2013-09-17,60.0
2013-09-18,59.8
2013-09-19,59.15
2013-09-20,59.9
2013-09-23,59.4
2013-09-24,59.75
2013-09-25,59.5
2013-09-26,59.0
2013-09-27,60.1
2013-09-30,59.15
2013-10-01,60.0
2013-10-03,59.85
2013-10-04,60.0
2013-10-07,62.25
2013-10-08,62.55
2013-10-09,62.8
2013-10-10,65.3
2013-10-11,65.45
2013-10-14,65.0
2013-10-15,63.85
2013-10-17,63.9
2013-10-18,65.2
2013-10-21,64.5
2013-10-22,65.3
2013-10-23,64.15
2013-10-24,65.2
2013-10-25,65.0
2013-10-28,65.5
2013-10-29,66.15
2013-10-30,65.9
2013-10-31,61.9
2013-11-01,62.5
2013-11-03,64.6
2013-11-05,64.15
2013-11-06,64.65
2013-11-07,63.8
2013-11-08,64.15
2013-11-11,64.6
2013-11-12,63.15
2013-11-13,62.9
2013-11-14,63.7
2013-11-18,64.55
2013-11-19,64.9
2013-11-20,65.45
2013-11-21,66.15
2013-11-22,71.9
2013-11-25,67.4
2013-11-26,67.3
2013-11-27,69.5
2013-11-28,69.05
2013-11-29,69.5
2013-12-02,69.15
2013-12-03,72.1
2013-12-04,71.45
2013-12-05,70.7
2013-12-06,70.3
2013-12-09,69.75
2013-12-10,68.75
2013-12-11,69.35
2013-12-12,68.8
2013-12-13,67.3
2013-12-16,67.1
2013-12-17,66.95
2013-12-18,66.8
2013-12-19,71.35
2013-12-20,69.05
2013-12-23,68.9
2013-12-24,69.55
2013-12-26,70.0
2013-12-27,69.75
2013-12-30,69.8
2013-12-31,70.2
