Date,DHARSUGAR
2013-01-01,41.55
2013-01-02,43.0
2013-01-03,41.2
2013-01-04,42.3
2013-01-07,40.95
2013-01-08,41.65
2013-01-09,41.55
2013-01-10,40.95
2013-01-11,40.1
2013-01-14,40.2
2013-01-15,40.35
2013-01-16,41.1
2013-01-17,41.25
2013-01-18,40.7
2013-01-21,41.3
2013-01-22,40.85
2013-01-23,40.3
2013-01-24,39.9
2013-01-25,38.55
2013-01-28,36.8
2013-01-29,37.65
2013-01-30,37.15
2013-01-31,37.05
2013-02-01,37.65
2013-02-04,36.4
2013-02-05,34.55
2013-02-06,35.9
2013-02-07,36.35
2013-02-08,35.2
2013-02-11,34.9
2013-02-12,33.6
2013-02-13,34.2
2013-02-14,33.1
2013-02-15,33.05
2013-02-18,34.15
2013-02-19,34.8
2013-02-20,35.15
2013-02-21,34.9
2013-02-22,34.95
2013-02-25,32.95
2013-02-26,30.0
2013-02-27,30.95
2013-02-28,31.55
2013-03-01,31.6
2013-03-04,30.5
2013-03-05,31.0
2013-03-06,32.85
2013-03-07,31.6
2013-03-08,34.7
2013-03-11,33.95
2013-03-12,33.0
2013-03-13,33.3
2013-03-14,32.85
2013-03-15,32.85
2013-03-18,31.75
2013-03-19,30.5
2013-03-20,28.5
2013-03-21,29.35
2013-03-22,28.8
2013-03-25,28.0
2013-03-26,28.0
2013-03-28,27.5
2013-04-01,29.9
2013-04-02,29.0
2013-04-03,29.8
2013-04-04,29.85
2013-04-05,31.75
2013-04-08,31.2
2013-04-09,28.95
2013-04-10,27.95
2013-04-11,28.95
2013-04-12,29.2
2013-04-15,29.0
2013-04-16,27.9
2013-04-17,27.25
2013-04-18,28.0
2013-04-22,27.95
2013-04-23,28.0
2013-04-25,27.95
2013-04-26,27.9
2013-04-29,27.4
2013-04-30,28.0
2013-05-02,27.35
2013-05-03,28.0
2013-05-06,27.6
2013-05-07,28.15
2013-05-08,27.55
2013-05-09,27.7
2013-05-10,27.2
2013-05-11,26.75
2013-05-13,27.3
2013-05-14,27.45
2013-05-15,27.65
2013-05-16,27.8
2013-05-17,27.9
2013-05-20,28.0
2013-05-21,27.55
2013-05-22,27.7
2013-05-23,27.0
2013-05-24,27.0
2013-05-27,26.45
2013-05-28,27.0
2013-05-29,26.0
2013-05-30,26.0
2013-05-31,25.95
2013-06-03,25.8
2013-06-04,26.65
2013-06-05,25.55
2013-06-06,26.0
2013-06-07,25.65
2013-06-10,23.55
2013-06-11,23.9
2013-06-12,23.7
2013-06-13,21.75
2013-06-14,22.0
2013-06-17,22.0
2013-06-18,21.75
2013-06-19,21.9
2013-06-20,21.35
2013-06-21,22.2
2013-06-24,20.9
2013-06-25,20.75
2013-06-26,20.95
2013-06-27,21.1
2013-06-28,21.55
2013-07-01,21.5
2013-07-02,21.95
2013-07-03,22.1
2013-07-04,22.0
2013-07-05,23.0
2013-07-08,22.6
2013-07-09,22.75
2013-07-10,22.5
2013-07-11,22.6
2013-07-12,23.15
2013-07-15,23.6
2013-07-16,22.55
2013-07-17,22.3
2013-07-18,22.75
2013-07-19,22.55
2013-07-22,22.85
2013-07-23,22.7
2013-07-24,21.4
2013-07-25,20.5
2013-07-26,21.0
2013-07-29,20.9
2013-07-30,18.35
2013-07-31,19.8
2013-08-01,19.5
2013-08-02,19.85
2013-08-05,19.2
2013-08-06,18.9
2013-08-07,18.9
2013-08-08,19.1
2013-08-12,19.05
2013-08-13,19.5
2013-08-14,19.0
2013-08-16,18.9
2013-08-19,18.55
2013-08-20,19.05
2013-08-21,18.85
2013-08-22,17.9
2013-08-23,18.35
2013-08-26,18.35
2013-08-27,18.55
2013-08-28,19.2
2013-08-29,19.25
2013-08-30,19.4
2013-09-02,20.55
2013-09-03,20.45
2013-09-04,21.0
2013-09-05,21.5
2013-09-06,21.45
2013-09-10,21.9
2013-09-11,22.45
2013-09-12,22.15
2013-09-13,22.3
2013-09-16,21.7
2013-09-17,22.4
2013-09-18,22.05
2013-09-19,21.85
2013-09-20,21.5
2013-09-23,21.25
2013-09-24,20.75
2013-09-25,20.65
2013-09-26,21.4
2013-09-27,21.25
2013-09-30,21.0
2013-10-01,21.4
2013-10-03,21.75
2013-10-04,21.1
2013-10-07,21.2
2013-10-08,21.9
2013-10-09,22.1
2013-10-10,22.15
2013-10-11,21.9
2013-10-14,21.9
2013-10-15,21.8
2013-10-17,21.9
2013-10-18,20.25
2013-10-21,21.95
2013-10-22,25.1
2013-10-23,23.55
2013-10-24,23.45
2013-10-25,22.65
2013-10-28,22.55
2013-10-29,22.0
2013-10-30,22.0
2013-10-31,21.9
2013-11-01,21.5
2013-11-03,21.95
2013-11-05,21.7
2013-11-06,22.0
2013-11-07,21.5
2013-11-08,21.7
2013-11-11,21.2
2013-11-12,21.1
2013-11-13,21.35
2013-11-14,20.85
2013-11-18,20.1
2013-11-19,19.8
2013-11-20,22.05
2013-11-21,20.65
2013-11-22,20.5
2013-11-25,20.5
2013-11-26,20.4
2013-11-27,20.5
2013-11-28,20.3
2013-11-29,20.25
2013-12-02,20.8
2013-12-03,20.0
2013-12-04,19.75
2013-12-05,20.35
2013-12-06,21.4
2013-12-09,20.75
2013-12-10,20.4
2013-12-11,20.45
2013-12-12,20.05
2013-12-13,19.9
2013-12-16,19.6
2013-12-17,19.75
2013-12-18,19.7
2013-12-19,19.95
2013-12-20,19.9
2013-12-23,19.8
2013-12-24,19.9
2013-12-26,19.55
2013-12-27,19.55
2013-12-30,19.85
2013-12-31,19.75
