Date,GODFRYPHLP
2013-01-01,3447.0
2013-01-02,3412.4
2013-01-03,3395.75
2013-01-04,3398.95
2013-01-07,3426.35
2013-01-08,3401.95
2013-01-09,3399.9
2013-01-10,3439.7
2013-01-11,3410.0
2013-01-14,3400.0
2013-01-15,3400.0
2013-01-16,3344.95
2013-01-17,3325.15
2013-01-18,3398.9
2013-01-21,3350.05
2013-01-22,3345.55
2013-01-23,3311.75
2013-01-24,3346.75
2013-01-25,3307.3
2013-01-28,3359.7
2013-01-29,3374.35
2013-01-30,3375.4
2013-01-31,3370.4
2013-02-01,3329.8
2013-02-04,3286.45
2013-02-05,3264.0
2013-02-06,3202.0
2013-02-07,3242.95
2013-02-08,3249.6
2013-02-11,3239.0
2013-02-12,3202.55
2013-02-13,3204.8
2013-02-14,3165.0
2013-02-15,3112.45
2013-02-18,3149.5
2013-02-19,3109.7
2013-02-20,3079.5
2013-02-21,3031.1
2013-02-22,3014.55
2013-02-25,3047.95
2013-02-26,3006.5
2013-02-27,3029.9
2013-02-28,3015.8
2013-03-01,3033.85
2013-03-04,2949.2
2013-03-05,2994.45
2013-03-06,3010.1
2013-03-07,2996.25
2013-03-08,2988.5
2013-03-11,2985.1
2013-03-12,2998.6
2013-03-13,2978.5
2013-03-14,2986.3
2013-03-15,3024.6
2013-03-18,2980.1
2013-03-19,2973.75
2013-03-20,2910.95
2013-03-21,2824.0
2013-03-22,2783.5
2013-03-25,2774.2
2013-03-26,2771.6
2013-03-28,2727.55
2013-04-01,2711.2
2013-04-02,2669.25
2013-04-03,2624.0
2013-04-04,2626.3
2013-04-05,2599.35
2013-04-08,2718.0
2013-04-09,2636.25
2013-04-10,2641.65
2013-04-11,2620.9
2013-04-12,2555.8
2013-04-15,2504.1
2013-04-16,2500.15
2013-04-17,2497.95
2013-04-18,2483.95
2013-04-22,2445.45
2013-04-23,2449.5
2013-04-25,2406.45
2013-04-26,2391.45
2013-04-29,2401.8
2013-04-30,2424.0
2013-05-02,2411.25
2013-05-03,2398.85
2013-05-06,2393.5
2013-05-07,2423.85
2013-05-08,2908.6
2013-05-09,3093.0
2013-05-10,3296.9
2013-05-11,3313.8
2013-05-13,3294.25
2013-05-14,3393.15
2013-05-15,3438.4
2013-05-16,3420.4
2013-05-17,3409.55
2013-05-20,3409.85
2013-05-21,3407.1
2013-05-22,3388.7
2013-05-23,3240.5
2013-05-24,3206.1
2013-05-27,3238.5
2013-05-28,3274.85
2013-05-29,3323.5
2013-05-30,3219.1
2013-05-31,3146.25
2013-06-03,2986.5
2013-06-04,2797.4
2013-06-05,2900.9
2013-06-06,2856.65
2013-06-07,2809.55
2013-06-10,2713.3
2013-06-11,2682.5
2013-06-12,2682.75
2013-06-13,2672.45
2013-06-14,2702.3
2013-06-17,2728.65
2013-06-18,2715.45
2013-06-19,2904.6
2013-06-20,2803.4
2013-06-21,2787.35
2013-06-24,2939.15
2013-06-25,2967.1
2013-06-26,2906.35
2013-06-27,2877.1
2013-06-28,2902.3
2013-07-01,2904.95
2013-07-02,2870.7
2013-07-03,2792.1
2013-07-04,2815.3
2013-07-05,2781.95
2013-07-08,2858.4
2013-07-09,2803.9
2013-07-10,2778.8
2013-07-11,2731.8
2013-07-12,2738.9
2013-07-15,2732.35
2013-07-16,2738.25
2013-07-17,2735.9
2013-07-18,2726.25
2013-07-19,2598.85
2013-07-22,2621.15
2013-07-23,2656.6
2013-07-24,2637.35
2013-07-25,2599.95
2013-07-26,2624.6
2013-07-29,2792.05
2013-07-30,2842.8
2013-07-31,2977.6
2013-08-01,2868.8
2013-08-02,2837.35
2013-08-05,2889.0
2013-08-06,2772.05
2013-08-07,2651.15
2013-08-08,2681.4
2013-08-12,2690.0
2013-08-13,2699.35
2013-08-14,2692.35
2013-08-16,2614.45
2013-08-19,2666.85
2013-08-20,2704.5
2013-08-21,2686.8
2013-08-22,2734.95
2013-08-23,2723.5
2013-08-26,2698.15
2013-08-27,2685.3
2013-08-28,2626.9
2013-08-29,2636.0
2013-08-30,2693.75
2013-09-02,2767.35
2013-09-03,2761.05
2013-09-04,2773.4
2013-09-05,2725.0
2013-09-06,2745.35
2013-09-10,2691.65
2013-09-11,2700.15
2013-09-12,2690.0
2013-09-13,2651.6
2013-09-16,2634.7
2013-09-17,2685.9
2013-09-18,2680.8
2013-09-19,2619.9
2013-09-20,2605.65
2013-09-23,2609.3
2013-09-24,2634.75
2013-09-25,2625.5
2013-09-26,2615.8
2013-09-27,2586.65
2013-09-30,2552.55
2013-10-01,2541.5
2013-10-03,2620.95
2013-10-04,2587.8
2013-10-07,2577.3
2013-10-08,2592.25
2013-10-09,2655.1
2013-10-10,2659.4
2013-10-11,2694.0
2013-10-14,2691.85
2013-10-15,2675.2
2013-10-17,2668.85
2013-10-18,2677.3
2013-10-21,2648.25
2013-10-22,2635.65
2013-10-23,2686.95
2013-10-24,2701.55
2013-10-25,2701.8
2013-10-28,2654.35
2013-10-29,2650.05
2013-10-30,2611.6
2013-10-31,2625.8
2013-11-01,2754.7
2013-11-03,2801.05
2013-11-05,2698.7
2013-11-06,2702.6
2013-11-07,2743.8
2013-11-08,2697.45
2013-11-11,2590.85
2013-11-12,2616.85
2013-11-13,2616.45
2013-11-14,2591.25
2013-11-18,2521.15
2013-11-19,2569.0
2013-11-20,2580.3
2013-11-21,2534.1
2013-11-22,2529.0
2013-11-25,2532.25
2013-11-26,2590.2
2013-11-27,2687.05
2013-11-28,2663.1
2013-11-29,2617.95
2013-12-02,2692.3
2013-12-03,2762.1
2013-12-04,2750.0
2013-12-05,2821.75
2013-12-06,2850.75
2013-12-09,2833.75
2013-12-10,2825.0
2013-12-11,2737.35
2013-12-12,2717.2
2013-12-13,2675.3
2013-12-16,2638.9
2013-12-17,2523.3
2013-12-18,2528.25
2013-12-19,2529.5
2013-12-20,2543.4
2013-12-23,2536.15
2013-12-24,2531.2
2013-12-26,2576.05
2013-12-27,2531.45
2013-12-30,2616.3
2013-12-31,2604.0
