Date,IVC
2013-01-01,23.9
2013-01-02,23.75
2013-01-03,23.85
2013-01-04,23.85
2013-01-07,23.7
2013-01-08,23.55
2013-01-09,23.6
2013-01-10,23.55
2013-01-11,23.7
2013-01-14,23.6
2013-01-15,23.6
2013-01-16,23.5
2013-01-17,23.3
2013-01-18,23.6
2013-01-21,23.55
2013-01-22,23.25
2013-01-23,23.5
2013-01-24,23.15
2013-01-25,23.2
2013-01-28,22.95
2013-01-29,23.0
2013-01-30,22.9
2013-01-31,22.95
2013-02-01,22.75
2013-02-04,22.65
2013-02-05,22.35
2013-02-06,22.3
2013-02-07,22.25
2013-02-08,22.35
2013-02-11,22.5
2013-02-12,22.3
2013-02-13,22.2
2013-02-14,21.85
2013-02-15,21.65
2013-02-18,21.5
2013-02-19,21.7
2013-02-20,21.95
2013-02-21,21.75
2013-02-22,22.4
2013-02-25,21.8
2013-02-26,20.95
2013-02-27,21.45
2013-02-28,21.85
2013-03-01,22.25
2013-03-04,22.15
2013-03-05,21.6
2013-03-06,21.65
2013-03-07,21.45
2013-03-08,21.05
2013-03-11,21.5
2013-03-12,21.35
2013-03-13,21.25
2013-03-14,21.45
2013-03-15,21.4
2013-03-18,21.1
2013-03-19,21.0
2013-03-20,20.4
2013-03-21,20.15
2013-03-22,19.9
2013-03-25,19.4
2013-03-26,19.95
2013-03-28,20.0
2013-04-01,19.95
2013-04-02,19.95
2013-04-03,20.3
2013-04-04,19.95
2013-04-05,19.95
2013-04-08,19.9
2013-04-09,19.75
2013-04-10,19.75
2013-04-11,19.85
2013-04-12,19.95
2013-04-15,21.4
2013-04-16,21.15
2013-04-17,20.9
2013-04-18,21.0
2013-04-22,21.55
2013-04-23,21.7
2013-04-25,21.45
2013-04-26,21.0
2013-04-29,21.15
2013-04-30,21.35
2013-05-02,21.95
2013-05-03,21.65
2013-05-06,21.75
2013-05-07,21.85
2013-05-08,21.65
2013-05-09,21.6
2013-05-10,21.4
2013-05-11,21.5
2013-05-13,21.4
2013-05-14,21.3
2013-05-15,21.35
2013-05-16,21.1
2013-05-17,21.5
2013-05-20,21.5
2013-05-21,21.2
2013-05-22,21.1
2013-05-23,20.85
2013-05-24,20.95
2013-05-27,21.65
2013-05-28,21.2
2013-05-29,21.5
2013-05-30,21.45
2013-05-31,21.25
2013-06-03,21.25
2013-06-04,21.45
2013-06-05,21.5
2013-06-06,21.6
2013-06-07,21.55
2013-06-10,21.45
2013-06-11,21.55
2013-06-12,21.55
2013-06-13,21.3
2013-06-14,21.45
2013-06-17,21.25
2013-06-18,21.25
2013-06-19,21.2
2013-06-20,21.05
2013-06-21,21.0
2013-06-24,20.95
2013-06-25,20.8
2013-06-26,21.0
2013-06-27,20.95
2013-06-28,21.1
2013-07-01,21.25
2013-07-02,21.1
2013-07-03,21.35
2013-07-04,21.35
2013-07-05,21.6
2013-07-08,19.85
2013-07-09,19.55
2013-07-10,19.75
2013-07-11,19.9
2013-07-12,19.8
2013-07-15,19.3
2013-07-16,19.45
2013-07-17,19.1
2013-07-18,19.35
2013-07-19,19.1
2013-07-22,19.05
2013-07-23,18.7
2013-07-24,18.0
2013-07-25,17.9
2013-07-26,17.55
2013-07-29,17.35
2013-07-30,16.75
2013-07-31,16.7
2013-08-01,17.2
2013-08-02,16.35
2013-08-05,16.15
2013-08-06,15.45
2013-08-07,15.1
2013-08-08,16.45
2013-08-12,16.9
2013-08-13,16.95
2013-08-14,16.65
2013-08-16,16.45
2013-08-19,15.65
2013-08-20,15.8
2013-08-21,15.85
2013-08-22,16.0
2013-08-23,16.0
2013-08-26,15.9
2013-08-27,15.6
2013-08-28,15.05
2013-08-29,15.0
2013-08-30,15.0
2013-09-02,15.0
2013-09-03,14.85
2013-09-04,14.25
2013-09-05,14.9
2013-09-06,14.3
2013-09-10,14.85
2013-09-11,14.9
2013-09-12,14.85
2013-09-13,14.95
2013-09-16,14.85
2013-09-17,14.9
2013-09-18,16.6
2013-09-19,16.5
2013-09-20,16.0
2013-09-23,15.35
2013-09-24,15.1
2013-09-25,15.4
2013-09-26,15.35
2013-09-27,15.3
2013-09-30,14.9
2013-10-01,14.95
2013-10-03,15.45
2013-10-04,15.1
2013-10-07,15.35
2013-10-08,15.4
2013-10-09,15.45
2013-10-10,15.45
2013-10-11,15.35
2013-10-14,16.3
2013-10-15,17.95
2013-10-17,16.9
2013-10-18,16.8
2013-10-21,17.2
2013-10-22,18.45
2013-10-23,17.95
2013-10-24,17.75
2013-10-25,18.65
2013-10-28,18.35
2013-10-29,18.05
2013-10-30,18.1
2013-10-31,18.8
2013-11-01,19.3
2013-11-03,19.45
2013-11-05,20.35
2013-11-06,20.4
2013-11-07,20.0
2013-11-08,19.75
2013-11-11,19.45
2013-11-12,19.45
2013-11-13,19.3
2013-11-14,18.9
2013-11-18,19.1
2013-11-19,19.2
2013-11-20,19.4
2013-11-21,19.25
2013-11-22,19.2
2013-11-25,19.3
2013-11-26,19.0
2013-11-27,18.75
2013-11-28,18.85
2013-11-29,19.6
2013-12-02,19.75
2013-12-03,19.55
2013-12-04,19.7
2013-12-05,19.75
2013-12-06,19.55
2013-12-09,19.45
2013-12-10,19.0
2013-12-11,18.95
2013-12-12,18.55
2013-12-13,18.35
2013-12-16,18.6
2013-12-17,18.5
2013-12-18,18.65
2013-12-19,18.85
2013-12-20,19.45
2013-12-23,19.8
2013-12-24,19.75
2013-12-26,13.3
2013-12-27,12.85
2013-12-30,12.85
2013-12-31,12.8
