Date,JISLJALEQS
2013-01-01,75.85
2013-01-02,76.0
2013-01-03,76.65
2013-01-04,79.0
2013-01-07,81.3
2013-01-08,83.25
2013-01-09,84.4
2013-01-10,83.75
2013-01-11,83.5
2013-01-14,85.3
2013-01-15,84.6
2013-01-16,82.85
2013-01-17,82.55
2013-01-18,81.4
2013-01-21,82.5
2013-01-22,81.85
2013-01-23,80.65
2013-01-24,74.6
2013-01-25,77.15
2013-01-28,74.2
2013-01-29,71.25
2013-01-30,72.15
2013-01-31,74.6
2013-02-01,73.15
2013-02-04,71.55
2013-02-05,67.85
2013-02-06,66.7
2013-02-07,66.95
2013-02-08,64.9
2013-02-11,62.6
2013-02-12,62.05
2013-02-13,61.85
2013-02-14,62.95
2013-02-15,64.3
2013-02-18,65.35
2013-02-19,65.3
2013-02-20,66.0
2013-02-21,63.7
2013-02-22,63.8
2013-02-25,63.35
2013-02-26,62.1
2013-02-27,60.75
2013-02-28,59.9
2013-03-01,63.2
2013-03-04,60.35
2013-03-05,63.95
2013-03-06,66.0
2013-03-07,66.0
2013-03-08,67.65
2013-03-11,70.6
2013-03-12,67.95
2013-03-13,66.5
2013-03-14,68.35
2013-03-15,67.75
2013-03-18,66.7
2013-03-19,64.75
2013-03-20,62.65
2013-03-21,62.35
2013-03-22,62.35
2013-03-25,61.5
2013-03-26,61.55
2013-03-28,61.35
2013-04-01,61.95
2013-04-02,63.35
2013-04-03,60.4
2013-04-04,56.3
2013-04-05,57.9
2013-04-08,57.15
2013-04-09,55.85
2013-04-10,56.75
2013-04-11,58.8
2013-04-12,58.4
2013-04-15,58.3
2013-04-16,58.7
2013-04-17,60.65
2013-04-18,60.3
2013-04-22,61.2
2013-04-23,59.65
2013-04-25,59.65
2013-04-26,59.7
2013-04-29,62.9
2013-04-30,63.25
2013-05-02,63.9
2013-05-03,65.95
2013-05-06,68.6
2013-05-07,70.2
2013-05-08,69.4
2013-05-09,67.65
2013-05-10,67.5
2013-05-11,68.6
2013-05-13,66.4
2013-05-14,65.4
2013-05-15,67.5
2013-05-16,69.7
2013-05-17,68.15
2013-05-20,66.3
2013-05-21,66.7
2013-05-22,68.35
2013-05-23,66.1
2013-05-24,67.5
2013-05-27,68.7
2013-05-28,67.65
2013-05-29,68.6
2013-05-30,70.05
2013-05-31,69.2
2013-06-03,72.75
2013-06-04,70.6
2013-06-05,66.35
2013-06-06,65.4
2013-06-07,62.15
2013-06-10,56.45
2013-06-11,55.5
2013-06-12,57.4
2013-06-13,55.6
2013-06-14,56.7
2013-06-17,55.05
2013-06-18,54.5
2013-06-19,56.3
2013-06-20,54.95
2013-06-21,54.35
2013-06-24,52.6
2013-06-25,51.35
2013-06-26,51.0
2013-06-27,52.5
2013-06-28,52.0
2013-07-01,52.8
2013-07-02,50.3
2013-07-03,49.0
2013-07-04,49.05
2013-07-05,49.1
2013-07-08,49.65
2013-07-09,51.0
2013-07-10,50.2
2013-07-11,52.05
2013-07-12,51.5
2013-07-15,52.85
2013-07-16,52.6
2013-07-17,51.65
2013-07-18,53.95
2013-07-19,55.3
2013-07-22,55.25
2013-07-23,55.5
2013-07-24,53.55
2013-07-25,51.85
2013-07-26,53.35
2013-07-29,53.95
2013-07-30,52.8
2013-07-31,50.35
2013-08-01,48.9
2013-08-02,47.95
2013-08-05,50.35
2013-08-06,47.8
2013-08-07,48.95
2013-08-08,48.75
2013-08-12,49.65
2013-08-13,50.8
2013-08-14,54.3
2013-08-16,50.05
2013-08-19,50.6
2013-08-20,52.55
2013-08-21,50.45
2013-08-22,52.85
2013-08-23,56.05
2013-08-26,55.75
2013-08-27,52.5
2013-08-28,51.2
2013-08-29,53.05
2013-08-30,50.3
2013-09-02,52.65
2013-09-03,50.6
2013-09-04,50.85
2013-09-05,52.8
2013-09-06,52.85
2013-09-10,54.5
2013-09-11,55.25
2013-09-12,54.0
2013-09-13,55.6
2013-09-16,54.9
2013-09-17,55.85
2013-09-18,55.45
2013-09-19,58.65
2013-09-20,60.2
2013-09-23,58.6
2013-09-24,59.9
2013-09-25,58.95
2013-09-26,59.7
2013-09-27,60.45
2013-09-30,57.95
2013-10-01,61.6
2013-10-03,62.8
2013-10-04,63.4
2013-10-07,64.25
2013-10-08,64.15
2013-10-09,63.5
2013-10-10,62.2
2013-10-11,61.3
2013-10-14,59.8
2013-10-15,58.65
2013-10-17,59.25
2013-10-18,63.05
2013-10-21,62.35
2013-10-22,63.8
2013-10-23,61.85
2013-10-24,60.75
2013-10-25,59.85
2013-10-28,59.25
2013-10-29,61.8
2013-10-30,63.5
2013-10-31,66.9
2013-11-01,68.45
2013-11-03,68.3
2013-11-05,69.4
2013-11-06,68.5
2013-11-07,66.0
2013-11-08,65.35
2013-11-11,62.5
2013-11-12,62.8
2013-11-13,63.8
2013-11-14,65.3
2013-11-18,65.05
2013-11-19,66.7
2013-11-20,67.3
2013-11-21,64.7
2013-11-22,66.25
2013-11-25,68.85
2013-11-26,68.2
2013-11-27,69.9
2013-11-28,68.8
2013-11-29,70.95
2013-12-02,70.75
2013-12-03,69.55
2013-12-04,68.55
2013-12-05,69.6
2013-12-06,71.7
2013-12-09,72.4
2013-12-10,70.35
2013-12-11,70.2
2013-12-12,68.7
2013-12-13,66.7
2013-12-16,66.1
2013-12-17,66.6
2013-12-18,68.95
2013-12-19,67.3
2013-12-20,67.6
2013-12-23,68.7
2013-12-24,70.5
2013-12-26,73.85
2013-12-27,71.8
2013-12-30,70.95
2013-12-31,72.6
