Date,SYMPHONY
2013-01-01,317.85
2013-01-02,320.4
2013-01-03,324.0
2013-01-04,323.25
2013-01-07,339.05
2013-01-08,345.55
2013-01-09,342.35
2013-01-10,354.65
2013-01-11,357.8
2013-01-14,353.1
2013-01-15,348.4
2013-01-16,344.1
2013-01-17,352.9
2013-01-18,362.55
2013-01-21,372.35
2013-01-22,371.15
2013-01-23,371.05
2013-01-24,363.8
2013-01-25,365.55
2013-01-28,365.0
2013-01-29,379.0
2013-01-30,370.05
2013-01-31,371.55
2013-02-01,370.1
2013-02-04,353.35
2013-02-05,353.55
2013-02-06,370.55
2013-02-07,370.3
2013-02-08,370.0
2013-02-11,370.7
2013-02-12,369.9
2013-02-13,370.5
2013-02-14,370.0
2013-02-15,370.0
2013-02-18,359.25
2013-02-19,357.2
2013-02-20,355.4
2013-02-21,354.7
2013-02-22,371.55
2013-02-25,362.55
2013-02-26,363.65
2013-02-27,370.35
2013-02-28,370.0
2013-03-01,370.05
2013-03-04,370.0
2013-03-05,366.9
2013-03-06,369.8
2013-03-07,362.65
2013-03-08,378.8
2013-03-11,399.95
2013-03-12,395.0
2013-03-13,393.8
2013-03-14,391.4
2013-03-15,381.1
2013-03-18,375.3
2013-03-19,369.0
2013-03-20,356.1
2013-03-21,356.95
2013-03-22,356.35
2013-03-25,361.2
2013-03-26,360.3
2013-03-28,358.1
2013-04-01,372.0
2013-04-02,378.05
2013-04-03,373.5
2013-04-04,369.45
2013-04-05,365.65
2013-04-08,368.05
2013-04-09,365.0
2013-04-10,355.45
2013-04-11,361.35
2013-04-12,349.65
2013-04-15,344.0
2013-04-16,341.1
2013-04-17,347.8
2013-04-18,349.25
2013-04-22,353.25
2013-04-23,354.1
2013-04-25,357.95
2013-04-26,362.9
2013-04-29,360.9
2013-04-30,374.55
2013-05-02,362.4
2013-05-03,354.25
2013-05-06,348.5
2013-05-07,346.65
2013-05-08,347.75
2013-05-09,344.4
2013-05-10,336.1
2013-05-11,336.3
2013-05-13,331.45
2013-05-14,342.6
2013-05-15,344.0
2013-05-16,338.25
2013-05-17,339.1
2013-05-20,332.9
2013-05-21,334.95
2013-05-22,333.45
2013-05-23,324.7
2013-05-24,324.95
2013-05-27,340.25
2013-05-28,346.75
2013-05-29,344.65
2013-05-30,344.65
2013-05-31,342.45
2013-06-03,339.85
2013-06-04,336.7
2013-06-05,336.05
2013-06-06,334.65
2013-06-07,335.05
2013-06-10,336.3
2013-06-11,333.75
2013-06-12,320.35
2013-06-13,313.55
2013-06-14,320.8
2013-06-17,314.85
2013-06-18,317.85
2013-06-19,321.75
2013-06-20,315.55
2013-06-21,311.5
2013-06-24,307.2
2013-06-25,313.45
2013-06-26,312.85
2013-06-27,309.0
2013-06-28,315.3
2013-07-01,312.85
2013-07-02,311.5
2013-07-03,314.55
2013-07-04,312.1
2013-07-05,314.5
2013-07-08,311.4
2013-07-09,312.6
2013-07-10,319.7
2013-07-11,317.25
2013-07-12,337.9
2013-07-15,342.0
2013-07-16,340.0
2013-07-17,332.3
2013-07-18,333.55
2013-07-19,328.25
2013-07-22,320.45
2013-07-23,318.0
2013-07-24,335.9
2013-07-25,321.8
2013-07-26,316.9
2013-07-29,307.65
2013-07-30,285.75
2013-07-31,278.0
2013-08-01,276.45
2013-08-02,277.55
2013-08-05,277.35
2013-08-06,312.6
2013-08-07,304.95
2013-08-08,307.8
2013-08-12,319.9
2013-08-13,313.85
2013-08-14,312.15
2013-08-16,312.2
2013-08-19,298.8
2013-08-20,289.35
2013-08-21,285.3
2013-08-22,292.7
2013-08-23,291.65
2013-08-26,294.85
2013-08-27,285.55
2013-08-28,274.9
2013-08-29,279.8
2013-08-30,299.5
2013-09-02,302.2
2013-09-03,294.25
2013-09-04,300.5
2013-09-05,298.25
2013-09-06,310.15
2013-09-10,304.3
2013-09-11,303.05
2013-09-12,312.4
2013-09-13,306.65
2013-09-16,301.05
2013-09-17,304.85
2013-09-18,300.05
2013-09-19,300.8
2013-09-20,295.95
2013-09-23,297.95
2013-09-24,299.9
2013-09-25,295.3
2013-09-26,295.9
2013-09-27,314.65
2013-09-30,305.15
2013-10-01,303.25
2013-10-03,299.9
2013-10-04,300.2
2013-10-07,299.95
2013-10-08,306.7
2013-10-09,322.75
2013-10-10,328.95
2013-10-11,349.35
2013-10-14,339.35
2013-10-15,361.9
2013-10-17,359.15
2013-10-18,349.4
2013-10-21,355.4
2013-10-22,350.15
2013-10-23,345.85
2013-10-24,345.35
2013-10-25,339.3
2013-10-28,338.95
2013-10-29,347.1
2013-10-30,369.15
2013-10-31,371.65
2013-11-01,374.7
2013-11-03,373.35
2013-11-05,382.6
2013-11-06,381.55
2013-11-07,382.95
2013-11-08,377.95
2013-11-11,369.45
2013-11-12,377.0
2013-11-13,401.6
2013-11-14,401.15
2013-11-18,399.05
2013-11-19,390.25
2013-11-20,401.25
2013-11-21,394.1
2013-11-22,400.65
2013-11-25,401.85
2013-11-26,393.55
2013-11-27,402.15
2013-11-28,403.4
2013-11-29,404.9
2013-12-02,406.25
2013-12-03,414.6
2013-12-04,408.95
2013-12-05,402.85
2013-12-06,410.1
2013-12-09,412.8
2013-12-10,428.0
2013-12-11,431.9
2013-12-12,430.95
2013-12-13,427.95
2013-12-16,427.65
2013-12-17,420.75
2013-12-18,421.3
2013-12-19,414.85
2013-12-20,424.15
2013-12-23,417.95
2013-12-24,420.0
2013-12-26,429.15
2013-12-27,424.2
2013-12-30,423.1
2013-12-31,424.55
