Date,ALCHEM
2013-01-01,72.3
2013-01-02,70.8
2013-01-03,70.75
2013-01-04,69.05
2013-01-07,70.5
2013-01-08,69.8
2013-01-09,69.05
2013-01-10,68.95
2013-01-11,67.0
2013-01-14,67.8
2013-01-15,68.65
2013-01-16,66.8
2013-01-17,66.25
2013-01-18,65.4
2013-01-21,65.6
2013-01-22,64.75
2013-01-23,64.35
2013-01-24,60.0
2013-01-25,59.55
2013-01-28,60.95
2013-01-29,60.45
2013-01-30,60.75
2013-01-31,60.1
2013-02-01,59.25
2013-02-04,59.2
2013-02-05,57.95
2013-02-06,57.2
2013-02-07,56.75
2013-02-08,55.95
2013-02-11,53.55
2013-02-12,56.95
2013-02-13,55.05
2013-02-14,53.55
2013-02-15,53.4
2013-02-18,54.0
2013-02-19,56.05
2013-02-20,56.15
2013-02-21,54.4
2013-02-22,55.5
2013-02-25,54.55
2013-02-26,52.45
2013-02-27,53.45
2013-02-28,52.35
2013-03-01,51.75
2013-03-04,49.85
2013-03-05,51.35
2013-03-06,52.35
2013-03-07,53.9
2013-03-08,53.5
2013-03-11,53.5
2013-03-12,53.35
2013-03-13,52.25
2013-03-14,52.45
2013-03-15,51.7
2013-03-18,51.5
2013-03-19,50.05
2013-03-20,45.6
2013-03-21,45.6
2013-03-22,44.95
2013-03-25,44.05
2013-03-26,44.5
2013-03-28,44.35
2013-04-01,46.65
2013-04-02,48.85
2013-04-03,48.0
2013-04-04,46.65
2013-04-05,48.6
2013-04-08,49.45
2013-04-09,47.85
2013-04-10,47.3
2013-04-11,48.25
2013-04-12,47.5
2013-04-15,47.5
2013-04-16,47.5
2013-04-17,48.3
2013-04-18,48.4
2013-04-22,48.85
2013-04-23,47.8
2013-04-25,48.35
2013-04-26,47.4
2013-04-29,47.25
2013-04-30,46.75
2013-05-02,46.25
2013-05-03,46.45
2013-05-06,45.95
2013-05-07,46.5
2013-05-08,46.7
2013-05-09,46.15
2013-05-10,46.95
2013-05-11,47.35
2013-05-13,46.5
2013-05-14,47.7
2013-05-15,45.85
2013-05-16,46.3
2013-05-17,46.2
2013-05-20,45.3
2013-05-21,45.4
2013-05-22,45.0
2013-05-23,43.5
2013-05-24,43.0
2013-05-27,43.1
2013-05-28,42.9
2013-05-29,42.8
2013-05-30,41.95
2013-05-31,41.5
2013-06-03,39.95
2013-06-04,38.9
2013-06-05,38.75
2013-06-06,38.15
2013-06-07,38.0
2013-06-10,36.8
2013-06-11,36.2
2013-06-12,36.0
2013-06-13,34.45
2013-06-14,35.45
2013-06-17,34.05
2013-06-18,34.95
2013-06-19,33.95
2013-06-20,33.7
2013-06-21,33.45
2013-06-24,30.45
2013-06-25,30.45
2013-06-26,30.25
2013-06-27,30.05
2013-06-28,30.2
2013-07-01,29.8
2013-07-02,28.9
2013-07-03,27.7
2013-07-04,28.5
2013-07-05,28.5
2013-07-08,28.25
2013-07-09,28.0
2013-07-10,27.0
2013-07-11,27.7
2013-07-12,27.0
2013-07-15,27.6
2013-07-16,27.4
2013-07-17,27.2
2013-07-18,26.75
2013-07-19,26.05
2013-07-22,25.25
2013-07-23,26.75
2013-07-24,25.9
2013-07-25,25.6
2013-07-26,25.05
2013-07-29,24.05
2013-07-30,23.35
2013-07-31,24.2
2013-08-01,22.75
2013-08-02,22.55
2013-08-05,23.45
2013-08-06,23.6
2013-08-07,24.2
2013-08-08,27.95
2013-08-12,29.7
2013-08-13,30.2
2013-08-14,29.7
2013-08-16,29.45
2013-08-19,28.45
2013-08-20,32.2
2013-08-21,33.9
2013-08-22,35.6
2013-08-23,37.85
2013-08-26,37.45
2013-08-27,35.85
2013-08-28,36.7
2013-08-29,36.05
2013-08-30,37.0
2013-09-02,38.1
2013-09-03,36.55
2013-09-04,35.25
2013-09-05,36.7
2013-09-06,36.9
2013-09-10,38.5
2013-09-11,38.4
2013-09-12,38.0
2013-09-13,37.75
2013-09-16,37.8
2013-09-17,38.05
2013-09-18,37.9
2013-09-19,38.75
2013-09-20,37.05
2013-09-23,36.35
2013-09-24,34.85
2013-09-25,34.9
2013-09-26,35.55
2013-09-27,34.4
2013-09-30,34.75
2013-10-01,34.1
2013-10-03,34.9
2013-10-04,35.0
2013-10-07,34.45
2013-10-08,33.95
2013-10-09,35.9
2013-10-10,36.65
2013-10-11,37.5
2013-10-14,39.3
2013-10-15,43.0
2013-10-17,42.0
2013-10-18,43.85
2013-10-21,42.65
2013-10-22,42.0
2013-10-23,41.05
2013-10-24,41.55
2013-10-25,41.25
2013-10-28,42.25
2013-10-29,44.1
2013-10-30,45.05
2013-10-31,46.6
2013-11-01,47.4
2013-11-03,48.05
2013-11-05,46.15
2013-11-06,47.2
2013-11-07,47.65
2013-11-08,47.1
2013-11-11,47.75
2013-11-12,46.4
2013-11-13,46.05
2013-11-14,47.8
2013-11-18,48.65
2013-11-19,48.95
2013-11-20,49.3
2013-11-21,47.1
2013-11-22,47.7
2013-11-25,47.8
2013-11-26,45.9
2013-11-27,45.6
2013-11-28,45.3
2013-11-29,44.35
2013-12-02,44.75
2013-12-03,46.6
2013-12-04,45.65
2013-12-05,46.35
2013-12-06,46.0
2013-12-09,44.55
2013-12-10,44.55
2013-12-11,45.5
2013-12-12,44.55
2013-12-13,45.0
2013-12-16,44.8
2013-12-17,43.6
2013-12-18,45.0
2013-12-19,45.7
2013-12-20,44.7
2013-12-23,45.8
2013-12-24,46.55
2013-12-26,46.6
2013-12-27,46.2
2013-12-30,47.5
2013-12-31,45.65
