Date,RAIN
2013-01-01,39.45
2013-01-02,39.45
2013-01-03,39.4
2013-01-04,39.0
2013-01-07,38.4
2013-01-08,38.65
2013-01-09,38.2
2013-01-10,37.95
2013-01-11,37.4
2013-01-14,36.8
2013-01-15,36.45
2013-01-16,35.35
2013-01-17,36.0
2013-01-18,34.6
2013-01-21,34.7
2013-01-22,33.9
2013-01-23,34.15
2013-01-24,34.15
2013-01-25,34.2
2013-01-28,33.65
2013-01-29,33.85
2013-01-30,33.15
2013-01-31,33.85
2013-02-01,34.15
2013-02-04,34.1
2013-02-05,34.15
2013-02-06,35.65
2013-02-07,35.75
2013-02-08,35.65
2013-02-11,35.75
2013-02-12,35.7
2013-02-13,35.75
2013-02-14,35.65
2013-02-15,35.5
2013-02-18,36.0
2013-02-19,36.2
2013-02-20,36.15
2013-02-21,36.0
2013-02-22,35.95
2013-02-25,35.1
2013-02-26,34.6
2013-02-27,35.3
2013-02-28,35.35
2013-03-01,35.2
2013-03-04,35.95
2013-03-05,37.1
2013-03-06,37.95
2013-03-07,38.85
2013-03-08,39.65
2013-03-11,40.7
2013-03-12,41.8
2013-03-13,42.8
2013-03-14,44.0
2013-03-15,43.7
2013-03-18,44.05
2013-03-19,44.3
2013-03-20,43.9
2013-03-21,43.8
2013-03-22,42.3
2013-03-25,42.0
2013-03-26,45.05
2013-03-28,47.5
2013-04-01,47.8
2013-04-02,48.05
2013-04-03,48.55
2013-04-04,49.0
2013-04-05,49.4
2013-04-08,50.0
2013-04-09,45.0
2013-04-10,47.7
2013-04-11,46.9
2013-04-12,47.9
2013-04-15,46.9
2013-04-16,45.55
2013-04-17,45.5
2013-04-18,44.5
2013-04-22,46.7
2013-04-23,45.55
2013-04-25,45.25
2013-04-26,44.6
2013-04-29,44.75
2013-04-30,44.8
2013-05-02,43.85
2013-05-03,45.05
2013-05-06,45.0
2013-05-07,45.45
2013-05-08,45.55
2013-05-09,45.85
2013-05-10,47.65
2013-05-11,47.65
2013-05-13,48.15
2013-05-14,44.6
2013-05-15,44.35
2013-05-16,43.2
2013-05-17,42.45
2013-05-20,41.1
2013-05-21,40.35
2013-05-22,39.75
2013-05-23,39.75
2013-05-24,40.05
2013-05-27,41.05
2013-05-28,42.0
2013-05-29,41.05
2013-05-30,40.05
2013-05-31,38.5
2013-06-03,38.95
2013-06-04,39.55
2013-06-05,39.6
2013-06-06,39.55
2013-06-07,39.35
2013-06-10,38.8
2013-06-11,38.8
2013-06-12,38.0
2013-06-13,39.0
2013-06-14,37.95
2013-06-17,39.0
2013-06-18,38.25
2013-06-19,39.8
2013-06-20,38.55
2013-06-21,38.15
2013-06-24,37.7
2013-06-25,38.55
2013-06-26,38.9
2013-06-27,39.05
2013-06-28,40.0
2013-07-01,39.85
2013-07-02,39.3
2013-07-03,38.55
2013-07-04,37.8
2013-07-05,36.8
2013-07-08,36.8
2013-07-09,36.3
2013-07-10,35.85
2013-07-11,35.6
2013-07-12,35.6
2013-07-15,34.85
2013-07-16,34.85
2013-07-17,34.05
2013-07-18,33.75
2013-07-19,32.3
2013-07-22,31.9
2013-07-23,31.6
2013-07-24,30.5
2013-07-25,31.1
2013-07-26,33.1
2013-07-29,34.15
2013-07-30,35.1
2013-07-31,34.85
2013-08-01,34.0
2013-08-02,33.0
2013-08-05,32.9
2013-08-06,32.1
2013-08-07,34.8
2013-08-08,35.05
2013-08-12,35.0
2013-08-13,34.1
2013-08-14,33.05
2013-08-16,34.0
2013-08-19,35.0
2013-08-20,34.0
2013-08-21,35.3
2013-08-22,35.0
2013-08-23,34.65
2013-08-26,34.6
2013-08-27,34.0
2013-08-28,34.65
2013-08-29,35.5
2013-08-30,35.6
2013-09-02,36.0
2013-09-03,36.0
2013-09-04,36.7
2013-09-05,37.0
2013-09-06,37.0
2013-09-10,37.6
2013-09-11,36.5
2013-09-12,36.5
2013-09-13,36.65
2013-09-16,36.5
2013-09-17,37.0
2013-09-18,37.0
2013-09-19,39.0
2013-09-20,39.05
2013-09-23,39.0
2013-09-24,39.1
2013-09-25,37.95
2013-09-26,37.05
2013-09-27,36.8
2013-09-30,37.1
2013-10-01,36.9
2013-10-03,37.95
2013-10-04,39.3
2013-10-07,37.5
2013-10-08,39.45
2013-10-09,37.65
2013-10-10,36.85
2013-10-11,35.7
2013-10-14,34.85
2013-10-15,35.55
2013-10-17,36.0
2013-10-18,37.0
2013-10-21,37.05
2013-10-22,36.25
2013-10-23,35.5
2013-10-24,36.1
2013-10-25,35.45
2013-10-28,34.95
2013-10-29,34.6
2013-10-30,34.2
2013-10-31,35.85
2013-11-01,35.05
2013-11-03,35.55
2013-11-05,35.5
2013-11-06,35.7
2013-11-07,35.2
2013-11-08,36.75
2013-11-11,36.8
2013-11-12,35.85
2013-11-13,36.4
2013-11-14,36.4
2013-11-18,35.55
2013-11-19,35.5
2013-11-20,35.55
2013-11-21,36.55
2013-11-22,37.0
2013-11-25,36.1
2013-11-26,35.05
2013-11-27,34.45
2013-11-28,34.5
2013-11-29,35.05
2013-12-02,35.5
2013-12-03,35.3
2013-12-04,35.4
2013-12-05,35.3
2013-12-06,35.35
2013-12-09,35.5
2013-12-10,35.55
2013-12-11,35.4
2013-12-12,35.4
2013-12-13,35.3
2013-12-16,35.95
2013-12-17,35.95
2013-12-18,36.05
2013-12-19,36.0
2013-12-20,36.05
2013-12-23,37.05
2013-12-24,36.15
2013-12-26,36.05
2013-12-27,36.0
2013-12-30,36.05
2013-12-31,36.05
