Date,JKIL
2013-01-01,230.4
2013-01-02,230.0
2013-01-03,229.75
2013-01-04,234.8
2013-01-07,233.95
2013-01-08,234.0
2013-01-09,230.9
2013-01-10,231.2
2013-01-11,229.05
2013-01-14,229.85
2013-01-15,234.4
2013-01-16,234.9
2013-01-17,229.9
2013-01-18,231.2
2013-01-21,232.5
2013-01-22,230.1
2013-01-23,229.65
2013-01-24,230.05
2013-01-25,230.45
2013-01-28,233.3
2013-01-29,229.35
2013-01-30,229.5
2013-01-31,228.9
2013-02-01,226.85
2013-02-04,229.7
2013-02-05,226.85
2013-02-06,226.55
2013-02-07,225.65
2013-02-08,226.7
2013-02-11,225.6
2013-02-12,225.05
2013-02-13,225.1
2013-02-14,225.3
2013-02-15,224.75
2013-02-18,223.5
2013-02-19,223.3
2013-02-20,222.35
2013-02-21,220.3
2013-02-22,219.85
2013-02-25,214.35
2013-02-26,212.45
2013-02-27,210.0
2013-02-28,200.85
2013-03-01,201.45
2013-03-04,200.0
2013-03-05,200.2
2013-03-06,200.55
2013-03-07,201.05
2013-03-08,201.9
2013-03-11,203.65
2013-03-12,202.2
2013-03-13,200.05
2013-03-14,200.45
2013-03-15,200.05
2013-03-18,198.65
2013-03-19,201.35
2013-03-20,199.5
2013-03-21,197.85
2013-03-22,195.1
2013-03-25,196.1
2013-03-26,195.2
2013-03-28,194.0
2013-04-01,199.2
2013-04-02,198.4
2013-04-03,200.3
2013-04-04,200.15
2013-04-05,195.0
2013-04-08,199.25
2013-04-09,195.9
2013-04-10,198.5
2013-04-11,196.65
2013-04-12,193.1
2013-04-15,195.0
2013-04-16,195.75
2013-04-17,194.55
2013-04-18,195.55
2013-04-22,195.0
2013-04-23,194.75
2013-04-25,192.7
2013-04-26,194.85
2013-04-29,191.6
2013-04-30,192.2
2013-05-02,193.15
2013-05-03,193.0
2013-05-06,192.6
2013-05-07,188.05
2013-05-08,190.5
2013-05-09,191.8
2013-05-10,191.55
2013-05-11,192.7
2013-05-13,190.85
2013-05-14,189.85
2013-05-15,190.35
2013-05-16,191.5
2013-05-17,189.8
2013-05-20,188.8
2013-05-21,186.05
2013-05-22,186.1
2013-05-23,179.6
2013-05-24,176.45
2013-05-27,175.0
2013-05-28,174.5
2013-05-29,175.55
2013-05-30,175.25
2013-05-31,178.7
2013-06-03,178.9
2013-06-04,175.35
2013-06-05,175.15
2013-06-06,174.5
2013-06-07,173.45
2013-06-10,171.1
2013-06-11,168.8
2013-06-12,175.3
2013-06-13,172.3
2013-06-14,170.25
2013-06-17,173.25
2013-06-18,172.25
2013-06-19,171.2
2013-06-20,170.5
2013-06-21,169.9
2013-06-24,169.4
2013-06-25,166.0
2013-06-26,164.45
2013-06-27,165.05
2013-06-28,161.9
2013-07-01,161.55
2013-07-02,169.6
2013-07-03,166.2
2013-07-04,170.95
2013-07-05,166.8
2013-07-08,165.4
2013-07-09,172.65
2013-07-10,169.45
2013-07-11,171.4
2013-07-12,162.9
2013-07-15,164.0
2013-07-16,160.95
2013-07-17,161.0
2013-07-18,159.5
2013-07-19,161.05
2013-07-22,159.95
2013-07-23,158.05
2013-07-24,156.8
2013-07-25,158.5
2013-07-26,156.2
2013-07-29,155.0
2013-07-30,151.2
2013-07-31,157.1
2013-08-01,151.3
2013-08-02,154.15
2013-08-05,151.3
2013-08-06,147.85
2013-08-07,148.0
2013-08-08,148.7
2013-08-12,148.1
2013-08-13,146.5
2013-08-14,147.05
2013-08-16,146.5
2013-08-19,144.65
2013-08-20,142.8
2013-08-21,142.05
2013-08-22,140.2
2013-08-23,137.75
2013-08-26,150.2
2013-08-27,151.55
2013-08-28,153.4
2013-08-29,154.15
2013-08-30,156.1
2013-09-02,157.55
2013-09-03,154.6
2013-09-04,155.7
2013-09-05,155.45
2013-09-06,160.65
2013-09-10,154.45
2013-09-11,157.5
2013-09-12,155.2
2013-09-13,154.0
2013-09-16,152.15
2013-09-17,156.3
2013-09-18,152.65
2013-09-19,154.3
2013-09-20,149.95
2013-09-23,150.0
2013-09-24,149.0
2013-09-25,148.0
2013-09-26,150.25
2013-09-27,147.35
2013-09-30,150.25
2013-10-01,148.25
2013-10-03,147.85
2013-10-04,147.95
2013-10-07,145.8
2013-10-08,145.35
2013-10-09,146.95
2013-10-10,144.0
2013-10-11,146.6
2013-10-14,143.1
2013-10-15,141.45
2013-10-17,139.35
2013-10-18,138.5
2013-10-21,137.45
2013-10-22,135.2
2013-10-23,134.45
2013-10-24,135.55
2013-10-25,135.15
2013-10-28,132.3
2013-10-29,133.4
2013-10-30,133.8
2013-10-31,132.7
2013-11-01,134.9
2013-11-03,138.8
2013-11-05,147.95
2013-11-06,156.55
2013-11-07,162.1
2013-11-08,166.45
2013-11-11,172.1
2013-11-12,168.55
2013-11-13,170.65
2013-11-14,171.9
2013-11-18,168.8
2013-11-19,169.95
2013-11-20,169.05
2013-11-21,170.35
2013-11-22,167.85
2013-11-25,171.1
2013-11-26,174.9
2013-11-27,177.8
2013-11-28,180.5
2013-11-29,180.8
2013-12-02,181.95
2013-12-03,182.05
2013-12-04,181.0
2013-12-05,185.0
2013-12-06,190.8
2013-12-09,188.1
2013-12-10,192.5
2013-12-11,191.0
2013-12-12,188.4
2013-12-13,188.3
2013-12-16,186.8
2013-12-17,184.95
2013-12-18,185.0
2013-12-19,186.05
2013-12-20,186.7
2013-12-23,185.9
2013-12-24,183.6
2013-12-26,184.4
2013-12-27,182.7
2013-12-30,181.8
2013-12-31,176.3
