Date,SUNFLAG
2013-01-01,24.0
2013-01-02,24.55
2013-01-03,26.85
2013-01-04,26.55
2013-01-07,26.95
2013-01-08,25.95
2013-01-09,24.25
2013-01-10,23.2
2013-01-11,22.8
2013-01-14,22.8
2013-01-15,22.75
2013-01-16,22.5
2013-01-17,22.6
2013-01-18,22.65
2013-01-21,22.4
2013-01-22,22.5
2013-01-23,22.5
2013-01-24,22.7
2013-01-25,22.85
2013-01-28,23.0
2013-01-29,22.45
2013-01-30,22.7
2013-01-31,22.65
2013-02-01,22.55
2013-02-04,22.55
2013-02-05,22.6
2013-02-06,22.55
2013-02-07,22.5
2013-02-08,22.5
2013-02-11,23.15
2013-02-12,22.4
2013-02-13,22.3
2013-02-14,22.15
2013-02-15,21.6
2013-02-18,21.45
2013-02-19,21.65
2013-02-20,21.75
2013-02-21,21.25
2013-02-22,21.4
2013-02-25,21.95
2013-02-26,21.55
2013-02-27,21.4
2013-02-28,21.0
2013-03-01,21.2
2013-03-04,21.4
2013-03-05,21.45
2013-03-06,20.7
2013-03-07,20.6
2013-03-08,20.75
2013-03-11,20.1
2013-03-12,20.1
2013-03-13,20.05
2013-03-14,20.1
2013-03-15,19.3
2013-03-18,19.35
2013-03-19,19.4
2013-03-20,19.75
2013-03-21,19.75
2013-03-22,19.65
2013-03-25,19.8
2013-03-26,19.6
2013-03-28,20.0
2013-04-01,19.45
2013-04-02,20.0
2013-04-03,19.85
2013-04-04,19.6
2013-04-05,20.15
2013-04-08,20.1
2013-04-09,20.8
2013-04-10,20.15
2013-04-11,20.15
2013-04-12,20.45
2013-04-15,21.05
2013-04-16,21.4
2013-04-17,21.9
2013-04-18,21.95
2013-04-22,20.7
2013-04-23,20.4
2013-04-25,20.45
2013-04-26,20.65
2013-04-29,20.15
2013-04-30,20.5
2013-05-02,20.4
2013-05-03,20.4
2013-05-06,20.5
2013-05-07,20.5
2013-05-08,20.45
2013-05-09,20.45
2013-05-10,20.9
2013-05-11,20.65
2013-05-13,20.85
2013-05-14,20.9
2013-05-15,20.8
2013-05-16,21.0
2013-05-17,20.85
2013-05-20,20.95
2013-05-21,20.75
2013-05-22,21.0
2013-05-23,20.05
2013-05-24,20.95
2013-05-27,20.6
2013-05-28,20.6
2013-05-29,20.5
2013-05-30,20.15
2013-05-31,20.7
2013-06-03,20.45
2013-06-04,21.15
2013-06-05,21.85
2013-06-06,22.85
2013-06-07,22.25
2013-06-10,22.1
2013-06-11,21.85
2013-06-12,22.05
2013-06-13,21.45
2013-06-14,22.4
2013-06-17,22.65
2013-06-18,22.1
2013-06-19,22.75
2013-06-20,22.05
2013-06-21,22.2
2013-06-24,21.0
2013-06-25,20.15
2013-06-26,19.9
2013-06-27,20.15
2013-06-28,20.4
2013-07-01,20.05
2013-07-02,19.75
2013-07-03,19.35
2013-07-04,19.2
2013-07-05,19.05
2013-07-08,19.2
2013-07-09,18.75
2013-07-10,18.95
2013-07-11,18.55
2013-07-12,18.9
2013-07-15,18.75
2013-07-16,19.1
2013-07-17,19.0
2013-07-18,19.05
2013-07-19,19.15
2013-07-22,18.35
2013-07-23,18.6
2013-07-24,18.7
2013-07-25,18.5
2013-07-26,18.0
2013-07-29,17.1
2013-07-30,15.55
2013-07-31,16.0
2013-08-01,15.7
2013-08-02,15.15
2013-08-05,15.5
2013-08-06,14.65
2013-08-07,14.95
2013-08-08,14.65
2013-08-12,15.2
2013-08-13,15.95
2013-08-14,15.4
2013-08-16,15.55
2013-08-19,17.8
2013-08-20,16.75
2013-08-21,15.5
2013-08-22,16.05
2013-08-23,16.05
2013-08-26,16.45
2013-08-27,15.95
2013-08-28,15.95
2013-08-29,16.35
2013-08-30,16.1
2013-09-02,16.55
2013-09-03,16.65
2013-09-04,17.0
2013-09-05,17.4
2013-09-06,16.6
2013-09-10,17.1
2013-09-11,17.45
2013-09-12,17.55
2013-09-13,17.9
2013-09-16,17.8
2013-09-17,18.25
2013-09-18,17.95
2013-09-19,18.45
2013-09-20,18.2
2013-09-23,18.0
2013-09-24,17.95
2013-09-25,18.0
2013-09-26,17.9
2013-09-27,17.5
2013-09-30,16.75
2013-10-01,16.65
2013-10-03,17.05
2013-10-04,16.8
2013-10-07,16.8
2013-10-08,16.7
2013-10-09,17.0
2013-10-10,17.15
2013-10-11,17.05
2013-10-14,16.8
2013-10-15,16.75
2013-10-17,16.9
2013-10-18,16.8
2013-10-21,16.9
2013-10-22,16.85
2013-10-23,16.8
2013-10-24,16.9
2013-10-25,16.3
2013-10-28,16.35
2013-10-29,16.15
2013-10-30,16.25
2013-10-31,16.5
2013-11-01,16.6
2013-11-03,16.55
2013-11-05,17.35
2013-11-06,17.25
2013-11-07,17.7
2013-11-08,17.35
2013-11-11,17.3
2013-11-12,16.35
2013-11-13,16.45
2013-11-14,16.3
2013-11-18,16.25
2013-11-19,16.1
2013-11-20,16.25
2013-11-21,16.15
2013-11-22,16.25
2013-11-25,15.8
2013-11-26,15.45
2013-11-27,15.2
2013-11-28,14.75
2013-11-29,14.3
2013-12-02,14.0
2013-12-03,14.85
2013-12-04,15.25
2013-12-05,15.6
2013-12-06,15.5
2013-12-09,15.3
2013-12-10,15.3
2013-12-11,15.0
2013-12-12,15.15
2013-12-13,15.0
2013-12-16,15.5
2013-12-17,15.15
2013-12-18,14.9
2013-12-19,14.85
2013-12-20,15.15
2013-12-23,15.2
2013-12-24,15.3
2013-12-26,15.4
2013-12-27,15.4
2013-12-30,15.35
2013-12-31,15.7
