Date,EMCO
2013-01-01,31.7
2013-01-02,33.75
2013-01-03,32.85
2013-01-04,32.35
2013-01-07,32.35
2013-01-08,31.4
2013-01-09,31.0
2013-01-10,30.6
2013-01-11,30.1
2013-01-14,30.35
2013-01-15,30.5
2013-01-16,29.75
2013-01-17,29.5
2013-01-18,29.1
2013-01-21,29.0
2013-01-22,29.35
2013-01-23,29.05
2013-01-24,27.15
2013-01-25,27.65
2013-01-28,27.6
2013-01-29,27.15
2013-01-30,26.7
2013-01-31,26.7
2013-02-01,26.6
2013-02-04,26.35
2013-02-05,26.0
2013-02-06,26.0
2013-02-07,25.8
2013-02-08,25.25
2013-02-11,24.85
2013-02-12,25.25
2013-02-13,25.2
2013-02-14,25.4
2013-02-15,26.5
2013-02-18,26.25
2013-02-19,25.9
2013-02-20,26.0
2013-02-21,25.15
2013-02-22,24.85
2013-02-25,23.8
2013-02-26,23.15
2013-02-27,23.2
2013-02-28,22.5
2013-03-01,21.9
2013-03-04,21.75
2013-03-05,22.4
2013-03-06,23.25
2013-03-07,23.1
2013-03-08,23.3
2013-03-11,23.25
2013-03-12,22.9
2013-03-13,22.7
2013-03-14,22.3
2013-03-15,22.4
2013-03-18,21.5
2013-03-19,21.2
2013-03-20,20.2
2013-03-21,19.7
2013-03-22,18.3
2013-03-25,17.85
2013-03-26,17.45
2013-03-28,18.9
2013-04-01,19.75
2013-04-02,20.8
2013-04-03,20.55
2013-04-04,19.65
2013-04-05,19.9
2013-04-08,19.6
2013-04-09,19.3
2013-04-10,19.05
2013-04-11,19.4
2013-04-12,22.95
2013-04-15,23.1
2013-04-16,21.75
2013-04-17,21.5
2013-04-18,21.25
2013-04-22,20.95
2013-04-23,20.85
2013-04-25,20.6
2013-04-26,20.1
2013-04-29,19.8
2013-04-30,20.35
2013-05-02,20.35
2013-05-03,19.95
2013-05-06,20.15
2013-05-07,20.65
2013-05-08,20.55
2013-05-09,20.2
2013-05-10,20.0
2013-05-11,20.0
2013-05-13,19.7
2013-05-14,19.35
2013-05-15,19.5
2013-05-16,19.45
2013-05-17,19.55
2013-05-20,20.05
2013-05-21,20.65
2013-05-22,20.1
2013-05-23,19.7
2013-05-24,21.35
2013-05-27,19.7
2013-05-28,19.85
2013-05-29,19.5
2013-05-30,19.1
2013-05-31,19.05
2013-06-03,18.3
2013-06-04,18.25
2013-06-05,18.4
2013-06-06,18.05
2013-06-07,18.0
2013-06-10,18.05
2013-06-11,18.1
2013-06-12,18.05
2013-06-13,18.0
2013-06-14,18.15
2013-06-17,18.05
2013-06-18,18.25
2013-06-19,18.35
2013-06-20,18.05
2013-06-21,17.35
2013-06-24,16.15
2013-06-25,15.55
2013-06-26,15.1
2013-06-27,15.45
2013-06-28,15.6
2013-07-01,16.35
2013-07-02,17.65
2013-07-03,17.3
2013-07-04,17.25
2013-07-05,17.0
2013-07-08,16.4
2013-07-09,16.25
2013-07-10,16.25
2013-07-11,16.3
2013-07-12,16.25
2013-07-15,16.35
2013-07-16,16.3
2013-07-17,16.05
2013-07-18,16.25
2013-07-19,16.0
2013-07-22,16.2
2013-07-23,16.1
2013-07-24,15.45
2013-07-25,14.6
2013-07-26,13.95
2013-07-29,12.65
2013-07-30,11.35
2013-07-31,11.9
2013-08-01,11.5
2013-08-02,12.35
2013-08-05,14.35
2013-08-06,12.5
2013-08-07,12.9
2013-08-08,12.8
2013-08-12,13.55
2013-08-13,13.1
2013-08-14,13.4
2013-08-16,12.75
2013-08-19,11.9
2013-08-20,11.95
2013-08-21,11.25
2013-08-22,11.3
2013-08-23,11.9
2013-08-26,11.9
2013-08-27,11.55
2013-08-28,11.45
2013-08-29,11.35
2013-08-30,11.35
2013-09-02,12.0
2013-09-03,11.9
2013-09-04,11.9
2013-09-05,12.4
2013-09-06,12.65
2013-09-10,12.9
2013-09-11,12.95
2013-09-12,13.4
2013-09-13,13.7
2013-09-16,13.8
2013-09-17,13.75
2013-09-18,13.5
2013-09-19,13.5
2013-09-20,13.3
2013-09-23,12.65
2013-09-24,12.65
2013-09-25,12.55
2013-09-26,12.5
2013-09-27,12.4
2013-09-30,12.25
2013-10-01,12.15
2013-10-03,12.4
2013-10-04,12.45
2013-10-07,12.0
2013-10-08,12.2
2013-10-09,12.0
2013-10-10,12.3
2013-10-11,14.75
2013-10-14,14.3
2013-10-15,14.8
2013-10-17,14.05
2013-10-18,14.15
2013-10-21,16.0
2013-10-22,16.35
2013-10-23,16.8
2013-10-24,16.5
2013-10-25,16.1
2013-10-28,15.8
2013-10-29,15.95
2013-10-30,16.0
2013-10-31,15.8
2013-11-01,16.05
2013-11-03,16.2
2013-11-05,16.55
2013-11-06,16.05
2013-11-07,15.9
2013-11-08,15.75
2013-11-11,14.65
2013-11-12,14.55
2013-11-13,14.3
2013-11-14,14.75
2013-11-18,14.85
2013-11-19,14.8
2013-11-20,14.8
2013-11-21,14.9
2013-11-22,14.55
2013-11-25,14.65
2013-11-26,14.6
2013-11-27,14.45
2013-11-28,16.15
2013-11-29,16.3
2013-12-02,17.25
2013-12-03,17.0
2013-12-04,18.0
2013-12-05,19.55
2013-12-06,19.4
2013-12-09,18.35
2013-12-10,17.6
2013-12-11,18.65
2013-12-12,19.0
2013-12-13,19.5
2013-12-16,19.2
2013-12-17,19.55
2013-12-18,19.7
2013-12-19,19.9
2013-12-20,20.15
2013-12-23,23.15
2013-12-24,24.25
2013-12-26,27.25
2013-12-27,25.55
2013-12-30,25.1
2013-12-31,25.7
