Date,ARCHIES
2013-01-01,27.25
2013-01-02,27.1
2013-01-03,27.2
2013-01-04,27.0
2013-01-07,26.85
2013-01-08,26.85
2013-01-09,26.75
2013-01-10,26.55
2013-01-11,26.15
2013-01-14,25.7
2013-01-15,25.4
2013-01-16,24.7
2013-01-17,23.65
2013-01-18,24.2
2013-01-21,24.4
2013-01-22,24.1
2013-01-23,22.65
2013-01-24,22.05
2013-01-25,22.0
2013-01-28,22.75
2013-01-29,22.9
2013-01-30,22.8
2013-01-31,23.45
2013-02-01,23.35
2013-02-04,23.05
2013-02-05,22.5
2013-02-06,22.35
2013-02-07,22.55
2013-02-08,23.2
2013-02-11,23.25
2013-02-12,23.5
2013-02-13,22.95
2013-02-14,20.45
2013-02-15,20.15
2013-02-18,20.6
2013-02-19,20.5
2013-02-20,20.3
2013-02-21,20.0
2013-02-22,19.8
2013-02-25,19.3
2013-02-26,18.6
2013-02-27,18.65
2013-02-28,17.7
2013-03-01,17.8
2013-03-04,17.2
2013-03-05,17.2
2013-03-06,17.65
2013-03-07,19.35
2013-03-08,18.75
2013-03-11,18.4
2013-03-12,18.25
2013-03-13,17.7
2013-03-14,17.7
2013-03-15,17.5
2013-03-18,17.25
2013-03-19,17.25
2013-03-20,17.3
2013-03-21,16.45
2013-03-22,15.2
2013-03-25,14.55
2013-03-26,14.45
2013-03-28,14.9
2013-04-01,17.85
2013-04-02,18.55
2013-04-03,17.65
2013-04-04,17.0
2013-04-05,16.9
2013-04-08,16.4
2013-04-09,16.45
2013-04-10,16.8
2013-04-11,16.9
2013-04-12,16.8
2013-04-15,16.75
2013-04-16,16.8
2013-04-17,16.9
2013-04-18,16.85
2013-04-22,18.65
2013-04-23,17.55
2013-04-25,17.45
2013-04-26,17.2
2013-04-29,17.0
2013-04-30,16.85
2013-05-02,16.9
2013-05-03,16.8
2013-05-06,17.05
2013-05-07,17.3
2013-05-08,17.4
2013-05-09,17.8
2013-05-10,18.25
2013-05-11,18.25
2013-05-13,17.6
2013-05-14,17.25
2013-05-15,17.55
2013-05-16,17.8
2013-05-17,17.4
2013-05-20,17.55
2013-05-21,17.7
2013-05-22,17.0
2013-05-23,16.75
2013-05-24,16.55
2013-05-27,16.7
2013-05-28,16.0
2013-05-29,16.0
2013-05-30,15.95
2013-05-31,15.15
2013-06-03,14.95
2013-06-04,14.85
2013-06-05,14.8
2013-06-06,14.9
2013-06-07,15.15
2013-06-10,14.85
2013-06-11,14.55
2013-06-12,14.35
2013-06-13,14.0
2013-06-14,14.5
2013-06-17,14.55
2013-06-18,14.3
2013-06-19,14.15
2013-06-20,13.95
2013-06-21,15.3
2013-06-24,15.0
2013-06-25,14.7
2013-06-26,14.35
2013-06-27,13.9
2013-06-28,14.15
2013-07-01,15.0
2013-07-02,17.15
2013-07-03,16.8
2013-07-04,16.95
2013-07-05,16.4
2013-07-08,16.4
2013-07-09,16.65
2013-07-10,16.45
2013-07-11,16.25
2013-07-12,16.25
2013-07-15,16.35
2013-07-16,16.35
2013-07-17,15.6
2013-07-18,15.55
2013-07-19,15.6
2013-07-22,15.45
2013-07-23,15.3
2013-07-24,14.9
2013-07-25,14.65
2013-07-26,14.1
2013-07-29,14.2
2013-07-30,13.85
2013-07-31,13.25
2013-08-01,15.15
2013-08-02,16.75
2013-08-05,15.6
2013-08-06,15.0
2013-08-07,14.85
2013-08-08,14.85
2013-08-12,14.75
2013-08-13,14.7
2013-08-14,14.4
2013-08-16,13.9
2013-08-19,13.75
2013-08-20,13.95
2013-08-21,13.6
2013-08-22,13.45
2013-08-23,13.8
2013-08-26,14.0
2013-08-27,13.4
2013-08-28,13.5
2013-08-29,13.55
2013-08-30,13.7
2013-09-02,13.9
2013-09-03,13.45
2013-09-04,13.8
2013-09-05,14.05
2013-09-06,14.3
2013-09-10,14.65
2013-09-11,14.4
2013-09-12,14.5
2013-09-13,14.5
2013-09-16,13.95
2013-09-17,13.9
2013-09-18,14.0
2013-09-19,14.05
2013-09-20,13.6
2013-09-23,13.75
2013-09-24,13.7
2013-09-25,13.6
2013-09-26,14.6
2013-09-27,14.4
2013-09-30,14.0
2013-10-01,14.1
2013-10-03,14.85
2013-10-04,14.8
2013-10-07,15.25
2013-10-08,16.85
2013-10-09,17.1
2013-10-10,16.7
2013-10-11,16.7
2013-10-14,16.65
2013-10-15,16.1
2013-10-17,15.8
2013-10-18,15.75
2013-10-21,16.25
2013-10-22,17.75
2013-10-23,20.5
2013-10-24,21.4
2013-10-25,19.85
2013-10-28,18.8
2013-10-29,18.35
2013-10-30,19.05
2013-10-31,18.8
2013-11-01,18.55
2013-11-03,18.6
2013-11-05,19.55
2013-11-06,19.25
2013-11-07,18.7
2013-11-08,18.15
2013-11-11,18.15
2013-11-12,18.05
2013-11-13,17.05
2013-11-14,17.15
2013-11-18,17.55
2013-11-19,18.45
2013-11-20,18.25
2013-11-21,17.35
2013-11-22,17.3
2013-11-25,18.95
2013-11-26,18.25
2013-11-27,18.0
2013-11-28,18.1
2013-11-29,17.95
2013-12-02,18.2
2013-12-03,18.0
2013-12-04,18.55
2013-12-05,18.5
2013-12-06,18.25
2013-12-09,18.15
2013-12-10,17.6
2013-12-11,17.9
2013-12-12,18.4
2013-12-13,17.95
2013-12-16,17.75
2013-12-17,17.7
2013-12-18,17.95
2013-12-19,17.95
2013-12-20,17.95
2013-12-23,18.3
2013-12-24,19.3
2013-12-26,19.25
2013-12-27,19.15
2013-12-30,19.2
2013-12-31,19.2
