Date,MAHSEAMLES
2013-01-01,274.6
2013-01-02,274.85
2013-01-03,274.8
2013-01-04,274.65
2013-01-07,274.45
2013-01-08,273.95
2013-01-09,274.55
2013-01-10,269.55
2013-01-11,270.05
2013-01-14,260.7
2013-01-15,264.75
2013-01-16,262.45
2013-01-17,262.35
2013-01-18,259.85
2013-01-21,257.9
2013-01-22,254.2
2013-01-23,252.85
2013-01-24,247.35
2013-01-25,239.2
2013-01-28,239.4
2013-01-29,239.0
2013-01-30,238.6
2013-01-31,238.95
2013-02-01,238.6
2013-02-04,238.0
2013-02-05,239.25
2013-02-06,237.65
2013-02-07,235.4
2013-02-08,233.25
2013-02-11,234.6
2013-02-12,236.05
2013-02-13,234.2
2013-02-14,234.75
2013-02-15,236.6
2013-02-18,232.45
2013-02-19,230.6
2013-02-20,221.9
2013-02-21,209.2
2013-02-22,210.75
2013-02-25,205.8
2013-02-26,210.4
2013-02-27,205.15
2013-02-28,213.45
2013-03-01,219.05
2013-03-04,220.05
2013-03-05,219.65
2013-03-06,222.95
2013-03-07,220.1
2013-03-08,220.6
2013-03-11,220.05
2013-03-12,220.7
2013-03-13,220.8
2013-03-14,221.35
2013-03-15,210.55
2013-03-18,220.55
2013-03-19,215.45
2013-03-20,214.25
2013-03-21,211.5
2013-03-22,212.0
2013-03-25,214.25
2013-03-26,218.6
2013-03-28,221.95
2013-04-01,217.7
2013-04-02,208.6
2013-04-03,204.05
2013-04-04,206.15
2013-04-05,204.75
2013-04-08,214.6
2013-04-09,231.2
2013-04-10,225.15
2013-04-11,216.95
2013-04-12,211.3
2013-04-15,213.75
2013-04-16,214.2
2013-04-17,212.7
2013-04-18,213.65
2013-04-22,213.9
2013-04-23,212.75
2013-04-25,215.75
2013-04-26,218.95
2013-04-29,223.55
2013-04-30,216.9
2013-05-02,218.1
2013-05-03,218.3
2013-05-06,222.35
2013-05-07,219.95
2013-05-08,223.15
2013-05-09,226.75
2013-05-10,225.55
2013-05-11,225.25
2013-05-13,220.15
2013-05-14,223.55
2013-05-15,228.1
2013-05-16,232.2
2013-05-17,230.0
2013-05-20,232.7
2013-05-21,230.15
2013-05-22,233.45
2013-05-23,231.5
2013-05-24,231.5
2013-05-27,230.8
2013-05-28,229.25
2013-05-29,230.7
2013-05-30,227.3
2013-05-31,229.8
2013-06-03,230.95
2013-06-04,230.45
2013-06-05,229.7
2013-06-06,228.55
2013-06-07,228.35
2013-06-10,227.7
2013-06-11,227.3
2013-06-12,227.0
2013-06-13,226.95
2013-06-14,226.0
2013-06-17,226.0
2013-06-18,225.15
2013-06-19,225.8
2013-06-20,222.4
2013-06-21,215.05
2013-06-24,214.75
2013-06-25,210.4
2013-06-26,209.35
2013-06-27,205.1
2013-06-28,206.95
2013-07-01,203.95
2013-07-02,202.05
2013-07-03,199.8
2013-07-04,196.15
2013-07-05,202.45
2013-07-08,196.25
2013-07-09,200.8
2013-07-10,199.7
2013-07-11,198.75
2013-07-12,197.3
2013-07-15,198.6
2013-07-16,199.6
2013-07-17,201.65
2013-07-18,202.95
2013-07-19,199.0
2013-07-22,199.0
2013-07-23,201.95
2013-07-24,199.95
2013-07-25,200.0
2013-07-26,198.95
2013-07-29,197.9
2013-07-30,197.8
2013-07-31,196.15
2013-08-01,195.3
2013-08-02,194.05
2013-08-05,193.85
2013-08-06,189.0
2013-08-07,189.0
2013-08-08,188.5
2013-08-12,189.1
2013-08-13,188.3
2013-08-14,189.4
2013-08-16,188.7
2013-08-19,187.3
2013-08-20,188.45
2013-08-21,188.95
2013-08-22,188.2
2013-08-23,188.25
2013-08-26,188.5
2013-08-27,188.7
2013-08-28,188.0
2013-08-29,187.55
2013-08-30,190.05
2013-09-02,189.5
2013-09-03,188.05
2013-09-04,180.0
2013-09-05,180.55
2013-09-06,183.05
2013-09-10,182.1
2013-09-11,180.1
2013-09-12,182.0
2013-09-13,182.5
2013-09-16,182.5
2013-09-17,182.5
2013-09-18,182.5
2013-09-19,182.55
2013-09-20,183.45
2013-09-23,182.0
2013-09-24,182.0
2013-09-25,181.0
2013-09-26,182.0
2013-09-27,181.65
2013-09-30,184.0
2013-10-01,182.0
2013-10-03,181.95
2013-10-04,180.45
2013-10-07,179.8
2013-10-08,177.85
2013-10-09,178.9
2013-10-10,177.95
2013-10-11,176.7
2013-10-14,175.05
2013-10-15,173.5
2013-10-17,170.2
2013-10-18,167.95
2013-10-21,168.25
2013-10-22,169.0
2013-10-23,165.0
2013-10-24,163.6
2013-10-25,161.65
2013-10-28,159.25
2013-10-29,158.95
2013-10-30,159.45
2013-10-31,158.7
2013-11-01,162.0
2013-11-03,170.8
2013-11-05,169.2
2013-11-06,178.05
2013-11-07,177.05
2013-11-08,180.4
2013-11-11,176.25
2013-11-12,171.7
2013-11-13,164.2
2013-11-14,158.95
2013-11-18,158.45
2013-11-19,155.4
2013-11-20,155.3
2013-11-21,156.25
2013-11-22,155.0
2013-11-25,155.25
2013-11-26,155.55
2013-11-27,155.55
2013-11-28,162.0
2013-11-29,167.4
2013-12-02,176.8
2013-12-03,179.65
2013-12-04,172.65
2013-12-05,171.65
2013-12-06,170.0
2013-12-09,171.25
2013-12-10,166.7
2013-12-11,168.0
2013-12-12,168.05
2013-12-13,167.75
2013-12-16,166.45
2013-12-17,165.6
2013-12-18,167.0
2013-12-19,167.8
2013-12-20,166.65
2013-12-23,165.8
2013-12-24,165.55
2013-12-26,164.45
2013-12-27,163.75
2013-12-30,163.1
2013-12-31,164.6
