Date,INDHOTEL
2013-01-01,64.5
2013-01-02,64.25
2013-01-03,66.8
2013-01-04,66.1
2013-01-07,67.4
2013-01-08,66.75
2013-01-09,66.15
2013-01-10,64.8
2013-01-11,63.65
2013-01-14,64.85
2013-01-15,65.5
2013-01-16,63.95
2013-01-17,64.45
2013-01-18,64.6
2013-01-21,64.0
2013-01-22,64.3
2013-01-23,63.65
2013-01-24,62.5
2013-01-25,63.35
2013-01-28,62.65
2013-01-29,62.1
2013-01-30,61.5
2013-01-31,61.8
2013-02-01,61.8
2013-02-04,61.1
2013-02-05,61.25
2013-02-06,61.75
2013-02-07,61.5
2013-02-08,61.95
2013-02-11,61.65
2013-02-12,62.75
2013-02-13,61.8
2013-02-14,60.55
2013-02-15,59.75
2013-02-18,59.7
2013-02-19,60.4
2013-02-20,61.0
2013-02-21,59.7
2013-02-22,58.75
2013-02-25,57.85
2013-02-26,56.85
2013-02-27,57.9
2013-02-28,54.0
2013-03-01,56.25
2013-03-04,55.1
2013-03-05,56.65
2013-03-06,57.3
2013-03-07,57.55
2013-03-08,57.5
2013-03-11,58.1
2013-03-12,58.0
2013-03-13,58.1
2013-03-14,58.7
2013-03-15,55.65
2013-03-18,55.85
2013-03-19,55.3
2013-03-20,54.55
2013-03-21,54.6
2013-03-22,53.55
2013-03-25,54.0
2013-03-26,54.0
2013-03-28,53.55
2013-04-01,55.2
2013-04-02,56.35
2013-04-03,55.75
2013-04-04,55.25
2013-04-05,54.95
2013-04-08,55.15
2013-04-09,54.1
2013-04-10,55.45
2013-04-11,55.1
2013-04-12,56.05
2013-04-15,56.5
2013-04-16,56.8
2013-04-17,56.35
2013-04-18,57.0
2013-04-22,57.9
2013-04-23,58.05
2013-04-25,56.45
2013-04-26,56.15
2013-04-29,58.4
2013-04-30,56.9
2013-05-02,57.3
2013-05-03,56.8
2013-05-06,56.7
2013-05-07,58.65
2013-05-08,59.05
2013-05-09,58.55
2013-05-10,58.35
2013-05-11,58.6
2013-05-13,57.0
2013-05-14,56.65
2013-05-15,57.4
2013-05-16,57.6
2013-05-17,57.0
2013-05-20,56.55
2013-05-21,55.65
2013-05-22,54.9
2013-05-23,54.3
2013-05-24,53.55
2013-05-27,53.2
2013-05-28,53.5
2013-05-29,52.8
2013-05-30,52.75
2013-05-31,51.3
2013-06-03,51.65
2013-06-04,51.75
2013-06-05,51.4
2013-06-06,51.35
2013-06-07,50.25
2013-06-10,47.65
2013-06-11,46.95
2013-06-12,46.35
2013-06-13,46.7
2013-06-14,47.8
2013-06-17,47.8
2013-06-18,48.35
2013-06-19,50.2
2013-06-20,49.4
2013-06-21,51.65
2013-06-24,49.1
2013-06-25,48.0
2013-06-26,48.6
2013-06-27,47.5
2013-06-28,48.0
2013-07-01,49.2
2013-07-02,48.9
2013-07-03,48.25
2013-07-04,48.7
2013-07-05,49.05
2013-07-08,50.15
2013-07-09,50.25
2013-07-10,49.8
2013-07-11,50.45
2013-07-12,51.2
2013-07-15,51.8
2013-07-16,52.25
2013-07-17,50.15
2013-07-18,50.8
2013-07-19,49.05
2013-07-22,48.2
2013-07-23,48.45
2013-07-24,47.3
2013-07-25,48.05
2013-07-26,47.95
2013-07-29,47.45
2013-07-30,45.0
2013-07-31,44.25
2013-08-01,42.55
2013-08-02,40.35
2013-08-05,39.8
2013-08-06,38.5
2013-08-07,39.85
2013-08-08,42.3
2013-08-12,42.8
2013-08-13,42.8
2013-08-14,44.15
2013-08-16,42.15
2013-08-19,41.55
2013-08-20,42.85
2013-08-21,40.9
2013-08-22,41.65
2013-08-23,41.8
2013-08-26,42.35
2013-08-27,41.55
2013-08-28,43.3
2013-08-29,45.05
2013-08-30,45.0
2013-09-02,44.4
2013-09-03,44.7
2013-09-04,44.75
2013-09-05,46.5
2013-09-06,46.1
2013-09-10,46.85
2013-09-11,47.15
2013-09-12,47.3
2013-09-13,48.15
2013-09-16,48.3
2013-09-17,47.2
2013-09-18,46.4
2013-09-19,46.75
2013-09-20,46.35
2013-09-23,45.9
2013-09-24,45.35
2013-09-25,46.25
2013-09-26,48.95
2013-09-27,47.7
2013-09-30,47.95
2013-10-01,47.3
2013-10-03,48.15
2013-10-04,49.05
2013-10-07,48.8
2013-10-08,48.4
2013-10-09,48.2
2013-10-10,48.05
2013-10-11,48.3
2013-10-14,48.35
2013-10-15,48.7
2013-10-17,50.3
2013-10-18,49.65
2013-10-21,50.0
2013-10-22,49.5
2013-10-23,49.85
2013-10-24,48.8
2013-10-25,48.25
2013-10-28,48.25
2013-10-29,48.35
2013-10-30,49.95
2013-10-31,49.15
2013-11-01,51.05
2013-11-03,52.0
2013-11-05,52.5
2013-11-06,53.5
2013-11-07,52.1
2013-11-08,50.8
2013-11-11,48.85
2013-11-12,47.7
2013-11-13,47.1
2013-11-14,47.2
2013-11-18,47.7
2013-11-19,47.5
2013-11-20,47.15
2013-11-21,46.95
2013-11-22,46.55
2013-11-25,47.2
2013-11-26,49.6
2013-11-27,47.7
2013-11-28,48.35
2013-11-29,48.0
2013-12-02,48.9
2013-12-03,49.55
2013-12-04,49.7
2013-12-05,49.15
2013-12-06,50.2
2013-12-09,52.55
2013-12-10,54.95
2013-12-11,53.75
2013-12-12,53.8
2013-12-13,53.7
2013-12-16,57.4
2013-12-17,60.65
2013-12-18,58.85
2013-12-19,58.25
2013-12-20,58.05
2013-12-23,58.55
2013-12-24,59.6
2013-12-26,59.8
2013-12-27,62.15
2013-12-30,59.95
2013-12-31,61.75
