Date,GVKPIL
2013-01-01,14.15
2013-01-02,14.2
2013-01-03,14.15
2013-01-04,14.4
2013-01-07,14.25
2013-01-08,14.35
2013-01-09,15.3
2013-01-10,15.2
2013-01-11,14.8
2013-01-14,15.1
2013-01-15,14.95
2013-01-16,14.4
2013-01-17,14.4
2013-01-18,13.9
2013-01-21,13.95
2013-01-22,13.85
2013-01-23,13.6
2013-01-24,12.8
2013-01-25,13.25
2013-01-28,13.4
2013-01-29,13.15
2013-01-30,13.15
2013-01-31,12.85
2013-02-01,13.45
2013-02-04,12.95
2013-02-05,13.05
2013-02-06,13.15
2013-02-07,12.85
2013-02-08,12.7
2013-02-11,12.7
2013-02-12,12.35
2013-02-13,12.35
2013-02-14,11.9
2013-02-15,11.95
2013-02-18,12.45
2013-02-19,12.7
2013-02-20,12.55
2013-02-21,12.0
2013-02-22,12.1
2013-02-25,11.75
2013-02-26,11.7
2013-02-27,11.85
2013-02-28,10.7
2013-03-01,10.8
2013-03-04,10.3
2013-03-05,10.7
2013-03-06,11.05
2013-03-07,11.05
2013-03-08,11.15
2013-03-11,11.25
2013-03-12,11.05
2013-03-13,11.2
2013-03-14,11.5
2013-03-15,11.2
2013-03-18,11.25
2013-03-19,10.65
2013-03-20,9.95
2013-03-21,9.85
2013-03-22,9.4
2013-03-25,9.4
2013-03-26,9.15
2013-03-28,9.15
2013-04-01,9.7
2013-04-02,9.85
2013-04-03,9.85
2013-04-04,9.5
2013-04-05,9.45
2013-04-08,9.45
2013-04-09,9.3
2013-04-10,9.3
2013-04-11,9.15
2013-04-12,9.15
2013-04-15,9.3
2013-04-16,9.6
2013-04-17,9.5
2013-04-18,9.65
2013-04-22,9.8
2013-04-23,9.7
2013-04-25,9.7
2013-04-26,9.4
2013-04-29,9.7
2013-04-30,9.5
2013-05-02,9.5
2013-05-03,9.35
2013-05-06,9.4
2013-05-07,9.45
2013-05-08,9.45
2013-05-09,9.3
2013-05-10,9.4
2013-05-11,9.4
2013-05-13,9.3
2013-05-14,9.3
2013-05-15,9.35
2013-05-16,9.25
2013-05-17,9.25
2013-05-20,9.25
2013-05-21,9.05
2013-05-22,8.85
2013-05-23,8.6
2013-05-24,8.7
2013-05-27,8.7
2013-05-28,8.75
2013-05-29,8.45
2013-05-30,8.3
2013-05-31,8.1
2013-06-03,8.05
2013-06-04,8.15
2013-06-05,8.2
2013-06-06,8.15
2013-06-07,8.1
2013-06-10,7.95
2013-06-11,7.6
2013-06-12,7.35
2013-06-13,7.35
2013-06-14,7.9
2013-06-17,8.05
2013-06-18,8.35
2013-06-19,8.3
2013-06-20,7.95
2013-06-21,7.8
2013-06-24,7.3
2013-06-25,7.15
2013-06-26,7.05
2013-06-27,7.15
2013-06-28,7.3
2013-07-01,7.75
2013-07-02,7.85
2013-07-03,7.35
2013-07-04,7.4
2013-07-05,7.4
2013-07-08,7.2
2013-07-09,7.3
2013-07-10,7.3
2013-07-11,7.3
2013-07-12,7.2
2013-07-15,7.35
2013-07-16,7.15
2013-07-17,7.1
2013-07-18,7.1
2013-07-19,7.2
2013-07-22,7.05
2013-07-23,7.05
2013-07-24,6.85
2013-07-25,6.95
2013-07-26,6.7
2013-07-29,6.3
2013-07-30,6.15
2013-07-31,5.85
2013-08-01,5.85
2013-08-02,5.65
2013-08-05,5.65
2013-08-06,5.6
2013-08-07,6.25
2013-08-08,6.4
2013-08-12,7.25
2013-08-13,7.7
2013-08-14,7.35
2013-08-16,7.1
2013-08-19,7.2
2013-08-20,7.25
2013-08-21,6.85
2013-08-22,7.1
2013-08-23,7.15
2013-08-26,6.95
2013-08-27,6.7
2013-08-28,6.55
2013-08-29,7.05
2013-08-30,6.85
2013-09-02,6.75
2013-09-03,6.6
2013-09-04,6.5
2013-09-05,6.7
2013-09-06,6.8
2013-09-10,6.9
2013-09-11,7.4
2013-09-12,7.0
2013-09-13,7.25
2013-09-16,6.9
2013-09-17,6.95
2013-09-18,6.85
2013-09-19,6.95
2013-09-20,6.4
2013-09-23,6.45
2013-09-24,6.4
2013-09-25,6.6
2013-09-26,6.6
2013-09-27,6.6
2013-09-30,6.25
2013-10-01,6.35
2013-10-03,6.5
2013-10-04,6.35
2013-10-07,6.2
2013-10-08,7.3
2013-10-09,7.1
2013-10-10,7.0
2013-10-11,7.0
2013-10-14,7.1
2013-10-15,6.9
2013-10-17,6.75
2013-10-18,7.05
2013-10-21,7.2
2013-10-22,7.65
2013-10-23,7.45
2013-10-24,8.1
2013-10-25,8.0
2013-10-28,7.55
2013-10-29,7.65
2013-10-30,7.5
2013-10-31,7.2
2013-11-01,8.15
2013-11-03,8.35
2013-11-05,8.4
2013-11-06,8.4
2013-11-07,7.9
2013-11-08,7.85
2013-11-11,7.6
2013-11-12,7.3
2013-11-13,7.5
2013-11-14,7.7
2013-11-18,7.95
2013-11-19,7.85
2013-11-20,7.7
2013-11-21,7.35
2013-11-22,7.35
2013-11-25,7.55
2013-11-26,7.4
2013-11-27,7.25
2013-11-28,7.3
2013-11-29,7.35
2013-12-02,7.45
2013-12-03,7.35
2013-12-04,7.6
2013-12-05,8.0
2013-12-06,8.2
2013-12-09,8.3
2013-12-10,9.1
2013-12-11,8.65
2013-12-12,8.25
2013-12-13,8.25
2013-12-16,8.4
2013-12-17,8.45
2013-12-18,8.5
2013-12-19,8.5
2013-12-20,8.9
2013-12-23,8.9
2013-12-24,8.9
2013-12-26,9.45
2013-12-27,9.45
2013-12-30,9.3
2013-12-31,9.45
