Date,BHARTIARTL
2013-01-01,322.1
2013-01-02,321.05
2013-01-03,328.0
2013-01-04,327.0
2013-01-07,326.8
2013-01-08,330.3
2013-01-09,333.75
2013-01-10,330.05
2013-01-11,325.2
2013-01-14,328.7
2013-01-15,345.2
2013-01-16,342.9
2013-01-17,353.5
2013-01-18,348.85
2013-01-21,355.55
2013-01-22,351.65
2013-01-23,367.35
2013-01-24,361.9
2013-01-25,360.5
2013-01-28,357.35
2013-01-29,349.5
2013-01-30,344.6
2013-01-31,339.6
2013-02-01,329.4
2013-02-04,331.05
2013-02-05,324.75
2013-02-06,326.6
2013-02-07,320.1
2013-02-08,321.8
2013-02-11,316.2
2013-02-12,322.3
2013-02-13,325.95
2013-02-14,311.7
2013-02-15,316.65
2013-02-18,313.7
2013-02-19,307.55
2013-02-20,304.0
2013-02-21,296.2
2013-02-22,309.65
2013-02-25,307.0
2013-02-26,311.8
2013-02-27,321.75
2013-02-28,322.9
2013-03-01,311.1
2013-03-04,316.05
2013-03-05,322.1
2013-03-06,320.45
2013-03-07,320.25
2013-03-08,322.9
2013-03-11,321.35
2013-03-12,314.55
2013-03-13,317.3
2013-03-14,314.6
2013-03-15,310.3
2013-03-18,307.5
2013-03-19,293.4
2013-03-20,280.05
2013-03-21,297.9
2013-03-22,294.05
2013-03-25,288.6
2013-03-26,296.9
2013-03-28,291.75
2013-04-01,293.65
2013-04-02,291.8
2013-04-03,280.8
2013-04-04,273.6
2013-04-05,270.25
2013-04-08,280.6
2013-04-09,277.0
2013-04-10,281.65
2013-04-11,275.2
2013-04-12,273.5
2013-04-15,279.65
2013-04-16,285.0
2013-04-17,286.05
2013-04-18,299.65
2013-04-22,300.75
2013-04-23,299.45
2013-04-25,303.85
2013-04-26,318.45
2013-04-29,318.2
2013-04-30,318.75
2013-05-02,316.75
2013-05-03,317.7
2013-05-06,320.5
2013-05-07,331.2
2013-05-08,324.2
2013-05-09,325.0
2013-05-10,324.25
2013-05-11,325.45
2013-05-13,311.75
2013-05-14,317.25
2013-05-15,322.65
2013-05-16,321.5
2013-05-17,315.55
2013-05-20,307.8
2013-05-21,304.45
2013-05-22,312.05
2013-05-23,300.25
2013-05-24,298.5
2013-05-27,309.15
2013-05-28,314.8
2013-05-29,315.0
2013-05-30,315.4
2013-05-31,301.95
2013-06-03,303.4
2013-06-04,304.2
2013-06-05,302.45
2013-06-06,295.1
2013-06-07,288.3
2013-06-10,283.75
2013-06-11,278.7
2013-06-12,277.75
2013-06-13,287.7
2013-06-14,289.45
2013-06-17,296.0
2013-06-18,291.95
2013-06-19,299.55
2013-06-20,288.8
2013-06-21,291.95
2013-06-24,283.45
2013-06-25,295.3
2013-06-26,277.7
2013-06-27,280.75
2013-06-28,291.75
2013-07-01,296.15
2013-07-02,302.85
2013-07-03,294.55
2013-07-04,301.15
2013-07-05,295.85
2013-07-08,293.6
2013-07-09,291.65
2013-07-10,290.1
2013-07-11,300.05
2013-07-12,305.5
2013-07-15,314.45
2013-07-16,321.1
2013-07-17,316.05
2013-07-18,323.65
2013-07-19,329.85
2013-07-22,336.1
2013-07-23,330.1
2013-07-24,337.4
2013-07-25,337.1
2013-07-26,337.2
2013-07-29,334.0
2013-07-30,321.1
2013-07-31,344.5
2013-08-01,343.25
2013-08-02,345.25
2013-08-05,336.35
2013-08-06,322.9
2013-08-07,326.25
2013-08-08,337.3
2013-08-12,341.8
2013-08-13,346.4
2013-08-14,343.3
2013-08-16,335.65
2013-08-19,317.6
2013-08-20,318.45
2013-08-21,298.75
2013-08-22,313.0
2013-08-23,308.95
2013-08-26,307.05
2013-08-27,293.9
2013-08-28,287.8
2013-08-29,299.35
2013-08-30,299.1
2013-09-02,300.3
2013-09-03,285.0
2013-09-04,297.2
2013-09-05,296.2
2013-09-06,313.75
2013-09-10,338.35
2013-09-11,335.1
2013-09-12,328.6
2013-09-13,325.75
2013-09-16,335.75
2013-09-17,337.3
2013-09-18,337.6
2013-09-19,354.3
2013-09-20,344.2
2013-09-23,335.15
2013-09-24,330.3
2013-09-25,336.0
2013-09-26,334.75
2013-09-27,325.3
2013-09-30,318.65
2013-10-01,322.6
2013-10-03,324.3
2013-10-04,328.35
2013-10-07,323.25
2013-10-08,332.1
2013-10-09,334.15
2013-10-10,332.9
2013-10-11,334.55
2013-10-14,333.1
2013-10-15,339.1
2013-10-17,348.65
2013-10-18,356.75
2013-10-21,352.95
2013-10-22,352.15
2013-10-23,347.85
2013-10-24,349.65
2013-10-25,343.5
2013-10-28,339.4
2013-10-29,341.2
2013-10-30,360.0
2013-10-31,367.1
2013-11-01,367.2
2013-11-03,365.3
2013-11-05,359.6
2013-11-06,355.6
2013-11-07,348.25
2013-11-08,344.0
2013-11-11,341.0
2013-11-12,337.75
2013-11-13,332.5
2013-11-14,339.9
2013-11-18,345.25
2013-11-19,351.6
2013-11-20,344.4
2013-11-21,338.65
2013-11-22,335.9
2013-11-25,336.15
2013-11-26,327.05
2013-11-27,321.9
2013-11-28,323.6
2013-11-29,327.0
2013-12-02,332.6
2013-12-03,331.0
2013-12-04,332.25
2013-12-05,335.35
2013-12-06,332.4
2013-12-09,336.35
2013-12-10,335.25
2013-12-11,328.1
2013-12-12,323.6
2013-12-13,320.85
2013-12-16,313.35
2013-12-17,327.35
2013-12-18,327.75
2013-12-19,323.55
2013-12-20,327.9
2013-12-23,328.25
2013-12-24,325.65
2013-12-26,329.55
2013-12-27,329.2
2013-12-30,329.65
2013-12-31,330.25
