Date,BRFL
2013-01-01,244.9
2013-01-02,245.85
2013-01-03,247.15
2013-01-04,248.6
2013-01-07,247.7
2013-01-08,253.55
2013-01-09,250.3
2013-01-10,251.0
2013-01-11,245.85
2013-01-14,257.9
2013-01-15,260.05
2013-01-16,261.45
2013-01-17,261.35
2013-01-18,261.7
2013-01-21,261.55
2013-01-22,262.1
2013-01-23,262.8
2013-01-24,258.05
2013-01-25,254.35
2013-01-28,255.75
2013-01-29,255.5
2013-01-30,256.0
2013-01-31,254.75
2013-02-01,254.85
2013-02-04,252.05
2013-02-05,251.65
2013-02-06,252.8
2013-02-07,248.7
2013-02-08,245.85
2013-02-11,245.5
2013-02-12,245.1
2013-02-13,245.65
2013-02-14,245.75
2013-02-15,242.85
2013-02-18,240.0
2013-02-19,240.8
2013-02-20,241.3
2013-02-21,239.4
2013-02-22,239.25
2013-02-25,239.85
2013-02-26,238.0
2013-02-27,240.25
2013-02-28,237.35
2013-03-01,238.95
2013-03-04,236.95
2013-03-05,239.5
2013-03-06,240.45
2013-03-07,252.6
2013-03-08,260.15
2013-03-11,259.0
2013-03-12,254.5
2013-03-13,256.75
2013-03-14,257.05
2013-03-15,255.9
2013-03-18,252.15
2013-03-19,249.85
2013-03-20,252.0
2013-03-21,249.75
2013-03-22,249.9
2013-03-25,248.9
2013-03-26,247.35
2013-03-28,247.05
2013-04-01,244.7
2013-04-02,244.0
2013-04-03,244.5
2013-04-04,243.7
2013-04-05,243.4
2013-04-08,244.95
2013-04-09,243.1
2013-04-10,242.9
2013-04-11,242.0
2013-04-12,244.0
2013-04-15,244.45
2013-04-16,243.85
2013-04-17,244.7
2013-04-18,247.45
2013-04-22,246.4
2013-04-23,243.7
2013-04-25,240.3
2013-04-26,242.65
2013-04-29,244.2
2013-04-30,237.45
2013-05-02,237.0
2013-05-03,236.35
2013-05-06,239.35
2013-05-07,238.1
2013-05-08,240.05
2013-05-09,238.85
2013-05-10,239.9
2013-05-11,241.4
2013-05-13,238.3
2013-05-14,241.3
2013-05-15,240.8
2013-05-16,239.0
2013-05-17,239.85
2013-05-20,238.9
2013-05-21,237.5
2013-05-22,235.6
2013-05-23,241.1
2013-05-24,237.55
2013-05-27,234.4
2013-05-28,234.7
2013-05-29,229.8
2013-05-30,229.65
2013-05-31,229.3
2013-06-03,228.75
2013-06-04,230.05
2013-06-05,189.85
2013-06-06,223.65
2013-06-07,223.25
2013-06-10,220.05
2013-06-11,220.4
2013-06-12,217.25
2013-06-13,214.55
2013-06-14,217.95
2013-06-17,216.65
2013-06-18,216.05
2013-06-19,213.95
2013-06-20,209.3
2013-06-21,209.45
2013-06-24,214.7
2013-06-25,219.7
2013-06-26,222.2
2013-06-27,220.45
2013-06-28,216.1
2013-07-01,217.0
2013-07-02,213.0
2013-07-03,210.25
2013-07-04,207.1
2013-07-05,213.55
2013-07-08,211.8
2013-07-09,212.1
2013-07-10,208.45
2013-07-11,205.65
2013-07-12,200.05
2013-07-15,216.35
2013-07-16,217.25
2013-07-17,209.4
2013-07-18,212.25
2013-07-19,220.9
2013-07-22,219.9
2013-07-23,216.05
2013-07-24,212.9
2013-07-25,215.6
2013-07-26,216.2
2013-07-29,209.1
2013-07-30,214.15
2013-07-31,207.4
2013-08-01,200.45
2013-08-02,209.95
2013-08-05,222.25
2013-08-06,228.45
2013-08-07,226.15
2013-08-08,220.75
2013-08-12,224.25
2013-08-13,221.6
2013-08-14,218.9
2013-08-16,218.35
2013-08-19,217.05
2013-08-20,215.95
2013-08-21,210.45
2013-08-22,212.55
2013-08-23,208.75
2013-08-26,208.65
2013-08-27,215.25
2013-08-28,213.5
2013-08-29,214.55
2013-08-30,215.3
2013-09-02,216.5
2013-09-03,214.65
2013-09-04,212.55
2013-09-05,212.15
2013-09-06,210.3
2013-09-10,207.95
2013-09-11,203.7
2013-09-12,202.6
2013-09-13,201.75
2013-09-16,202.8
2013-09-17,200.7
2013-09-18,200.1
2013-09-19,200.75
2013-09-20,219.25
2013-09-23,207.3
2013-09-24,204.45
2013-09-25,204.05
2013-09-26,205.35
2013-09-27,207.2
2013-09-30,205.6
2013-10-01,205.1
2013-10-03,206.3
2013-10-04,207.05
2013-10-07,206.25
2013-10-08,203.45
2013-10-09,205.45
2013-10-10,211.1
2013-10-11,209.0
2013-10-14,204.35
2013-10-15,203.85
2013-10-17,200.85
2013-10-18,200.35
2013-10-21,199.15
2013-10-22,199.05
2013-10-23,196.35
2013-10-24,196.85
2013-10-25,196.8
2013-10-28,194.6
2013-10-29,193.7
2013-10-30,193.65
2013-10-31,191.1
2013-11-01,189.5
2013-11-03,191.15
2013-11-05,196.95
2013-11-06,196.1
2013-11-07,196.15
2013-11-08,196.65
2013-11-11,196.95
2013-11-12,194.75
2013-11-13,194.0
2013-11-14,195.35
2013-11-18,191.95
2013-11-19,187.75
2013-11-20,192.8
2013-11-21,188.5
2013-11-22,192.7
2013-11-25,188.55
2013-11-26,188.15
2013-11-27,187.6
2013-11-28,186.75
2013-11-29,185.7
2013-12-02,185.55
2013-12-03,185.0
2013-12-04,184.5
2013-12-05,184.1
2013-12-06,184.7
2013-12-09,184.0
2013-12-10,182.65
2013-12-11,181.2
2013-12-12,181.6
2013-12-13,181.5
2013-12-16,181.15
2013-12-17,180.0
2013-12-18,180.45
2013-12-19,182.15
2013-12-20,180.55
2013-12-23,182.0
2013-12-24,182.85
2013-12-26,180.8
2013-12-27,183.55
2013-12-30,183.55
2013-12-31,186.25
