Date,SUNTECK
2013-01-01,469.0
2013-01-02,469.8
2013-01-03,469.45
2013-01-04,473.7
2013-01-07,470.75
2013-01-08,475.2
2013-01-09,487.4
2013-01-10,487.0
2013-01-11,490.1
2013-01-14,495.95
2013-01-15,494.7
2013-01-16,499.2
2013-01-17,502.0
2013-01-18,504.0
2013-01-21,500.15
2013-01-22,499.1
2013-01-23,488.8
2013-01-24,476.6
2013-01-25,479.15
2013-01-28,484.0
2013-01-29,481.75
2013-01-30,486.15
2013-01-31,483.7
2013-02-01,481.8
2013-02-04,484.5
2013-02-05,481.1
2013-02-06,490.85
2013-02-07,487.7
2013-02-08,482.25
2013-02-11,479.5
2013-02-12,482.4
2013-02-13,478.15
2013-02-14,479.4
2013-02-15,479.7
2013-02-18,479.85
2013-02-19,480.0
2013-02-20,483.4
2013-02-21,479.5
2013-02-22,479.25
2013-02-25,475.5
2013-02-26,474.65
2013-02-27,473.95
2013-02-28,469.8
2013-03-01,469.9
2013-03-04,464.3
2013-03-05,467.15
2013-03-06,473.95
2013-03-07,474.4
2013-03-08,474.95
2013-03-11,472.5
2013-03-12,471.25
2013-03-13,466.1
2013-03-14,462.55
2013-03-15,465.4
2013-03-18,467.8
2013-03-19,460.2
2013-03-20,453.9
2013-03-21,441.55
2013-03-22,437.8
2013-03-25,425.6
2013-03-26,407.65
2013-03-28,399.65
2013-04-01,407.1
2013-04-02,415.5
2013-04-03,428.35
2013-04-04,423.95
2013-04-05,422.4
2013-04-08,423.85
2013-04-09,427.25
2013-04-10,427.45
2013-04-11,425.85
2013-04-12,424.6
2013-04-15,424.95
2013-04-16,424.95
2013-04-17,424.9
2013-04-18,424.9
2013-04-22,429.45
2013-04-23,424.95
2013-04-25,419.7
2013-04-26,414.7
2013-04-29,416.05
2013-04-30,416.85
2013-05-02,414.7
2013-05-03,412.6
2013-05-06,415.4
2013-05-07,416.5
2013-05-08,412.3
2013-05-09,409.9
2013-05-10,404.85
2013-05-11,405.35
2013-05-13,397.6
2013-05-14,399.55
2013-05-15,396.75
2013-05-16,394.9
2013-05-17,393.6
2013-05-20,398.55
2013-05-21,390.05
2013-05-22,398.55
2013-05-23,404.6
2013-05-24,402.1
2013-05-27,413.5
2013-05-28,417.75
2013-05-29,420.05
2013-05-30,424.35
2013-05-31,401.9
2013-06-03,411.8
2013-06-04,415.0
2013-06-05,410.4
2013-06-06,410.0
2013-06-07,419.55
2013-06-10,424.7
2013-06-11,425.1
2013-06-12,417.75
2013-06-13,423.95
2013-06-14,421.8
2013-06-17,430.45
2013-06-18,420.05
2013-06-19,418.25
2013-06-20,419.8
2013-06-21,417.9
2013-06-24,414.55
2013-06-25,399.4
2013-06-26,392.95
2013-06-27,386.6
2013-06-28,387.05
2013-07-01,385.7
2013-07-02,384.75
2013-07-03,365.95
2013-07-04,385.95
2013-07-05,387.25
2013-07-08,385.4
2013-07-09,390.25
2013-07-10,391.3
2013-07-11,390.95
2013-07-12,390.85
2013-07-15,390.9
2013-07-16,393.9
2013-07-17,382.65
2013-07-18,380.85
2013-07-19,384.45
2013-07-22,380.05
2013-07-23,379.65
2013-07-24,379.95
2013-07-25,374.8
2013-07-26,374.55
2013-07-29,374.6
2013-07-30,369.05
2013-07-31,368.6
2013-08-01,357.85
2013-08-02,356.95
2013-08-05,349.6
2013-08-06,348.05
2013-08-07,349.5
2013-08-08,352.75
2013-08-12,354.35
2013-08-13,352.45
2013-08-14,347.4
2013-08-16,343.7
2013-08-19,345.85
2013-08-20,343.35
2013-08-21,341.75
2013-08-22,340.8
2013-08-23,335.45
2013-08-26,334.85
2013-08-27,328.85
2013-08-28,317.9
2013-08-29,314.8
2013-08-30,313.25
2013-09-02,317.9
2013-09-03,304.9
2013-09-04,310.6
2013-09-05,310.8
2013-09-06,304.15
2013-09-10,307.55
2013-09-11,313.65
2013-09-12,309.6
2013-09-13,313.45
2013-09-16,311.0
2013-09-17,312.1
2013-09-18,307.85
2013-09-19,308.25
2013-09-20,309.0
2013-09-23,304.95
2013-09-24,304.2
2013-09-25,303.3
2013-09-26,294.8
2013-09-27,294.9
2013-09-30,289.9
2013-10-01,294.8
2013-10-03,298.65
2013-10-04,298.65
2013-10-07,306.2
2013-10-08,314.2
2013-10-09,319.7
2013-10-10,322.95
2013-10-11,324.9
2013-10-14,321.75
2013-10-15,322.95
2013-10-17,324.8
2013-10-18,325.35
2013-10-21,329.75
2013-10-22,334.65
2013-10-23,333.9
2013-10-24,331.6
2013-10-25,334.95
2013-10-28,335.35
2013-10-29,341.9
2013-10-30,344.55
2013-10-31,342.9
2013-11-01,344.9
2013-11-03,346.5
2013-11-05,339.6
2013-11-06,339.2
2013-11-07,337.85
2013-11-08,336.45
2013-11-11,334.0
2013-11-12,333.25
2013-11-13,333.3
2013-11-14,332.7
2013-11-18,334.15
2013-11-19,336.5
2013-11-20,333.95
2013-11-21,334.8
2013-11-22,335.85
2013-11-25,333.25
2013-11-26,343.95
2013-11-27,342.15
2013-11-28,341.1
2013-11-29,341.2
2013-12-02,337.3
2013-12-03,340.15
2013-12-04,340.05
2013-12-05,341.35
2013-12-06,341.1
2013-12-09,338.0
2013-12-10,336.85
2013-12-11,337.0
2013-12-12,336.95
2013-12-13,334.7
2013-12-16,336.8
2013-12-17,336.2
2013-12-18,333.8
2013-12-19,312.05
2013-12-20,310.85
2013-12-23,308.15
2013-12-24,306.85
2013-12-26,310.35
2013-12-27,307.75
2013-12-30,301.55
2013-12-31,302.15
