Date,ATLASCYCLE
2013-01-01,375.1
2013-01-02,379.8
2013-01-03,388.5
2013-01-04,387.7
2013-01-07,384.85
2013-01-08,378.45
2013-01-09,378.0
2013-01-10,376.8
2013-01-11,370.45
2013-01-14,371.6
2013-01-15,377.5
2013-01-16,372.25
2013-01-17,372.6
2013-01-18,367.0
2013-01-21,367.0
2013-01-22,368.7
2013-01-23,364.3
2013-01-24,347.85
2013-01-25,346.9
2013-01-28,340.3
2013-01-29,347.5
2013-01-30,342.35
2013-01-31,333.35
2013-02-01,330.25
2013-02-04,327.75
2013-02-05,321.5
2013-02-06,319.45
2013-02-07,316.3
2013-02-08,312.4
2013-02-11,313.65
2013-02-12,313.2
2013-02-13,311.9
2013-02-14,302.9
2013-02-15,298.35
2013-02-18,350.0
2013-02-19,338.5
2013-02-20,328.65
2013-02-21,318.2
2013-02-22,314.3
2013-02-25,305.7
2013-02-26,290.45
2013-02-27,287.6
2013-02-28,294.5
2013-03-01,288.0
2013-03-04,284.2
2013-03-05,284.25
2013-03-06,292.55
2013-03-07,298.8
2013-03-08,298.25
2013-03-11,297.8
2013-03-12,295.95
2013-03-13,290.25
2013-03-14,290.8
2013-03-15,284.1
2013-03-18,280.15
2013-03-19,278.25
2013-03-20,270.65
2013-03-21,260.5
2013-03-22,248.3
2013-03-25,242.4
2013-03-26,238.55
2013-03-28,238.55
2013-04-01,252.35
2013-04-02,262.2
2013-04-03,258.05
2013-04-04,251.05
2013-04-05,251.85
2013-04-08,249.55
2013-04-09,247.35
2013-04-10,248.45
2013-04-11,252.0
2013-04-12,250.2
2013-04-15,250.25
2013-04-16,254.5
2013-04-17,254.9
2013-04-18,289.15
2013-04-22,284.2
2013-04-23,284.35
2013-04-25,280.35
2013-04-26,289.55
2013-04-29,286.75
2013-04-30,288.1
2013-05-02,286.85
2013-05-03,288.85
2013-05-06,287.9
2013-05-07,294.9
2013-05-08,292.2
2013-05-09,299.25
2013-05-10,299.9
2013-05-11,305.0
2013-05-13,296.95
2013-05-14,310.85
2013-05-15,307.75
2013-05-16,305.15
2013-05-17,303.2
2013-05-20,299.05
2013-05-21,296.85
2013-05-22,298.95
2013-05-23,284.3
2013-05-24,284.05
2013-05-27,287.2
2013-05-28,287.65
2013-05-29,287.85
2013-05-30,288.65
2013-05-31,276.85
2013-06-03,271.05
2013-06-04,273.15
2013-06-05,272.0
2013-06-06,270.0
2013-06-07,266.85
2013-06-10,267.7
2013-06-11,256.4
2013-06-12,253.55
2013-06-13,245.95
2013-06-14,255.5
2013-06-17,257.35
2013-06-18,256.95
2013-06-19,256.6
2013-06-20,247.45
2013-06-21,247.9
2013-06-24,238.1
2013-06-25,233.65
2013-06-26,234.35
2013-06-27,239.75
2013-06-28,243.15
2013-07-01,249.65
2013-07-02,250.3
2013-07-03,242.6
2013-07-04,241.95
2013-07-05,235.85
2013-07-08,228.15
2013-07-09,233.35
2013-07-10,226.75
2013-07-11,226.3
2013-07-12,226.2
2013-07-15,227.25
2013-07-16,223.2
2013-07-17,219.1
2013-07-18,218.5
2013-07-19,218.75
2013-07-22,217.75
2013-07-23,233.1
2013-07-24,225.55
2013-07-25,228.2
2013-07-26,223.95
2013-07-29,218.2
2013-07-30,216.2
2013-07-31,211.15
2013-08-01,207.05
2013-08-02,204.8
2013-08-05,211.7
2013-08-06,202.15
2013-08-07,204.45
2013-08-08,206.3
2013-08-12,216.9
2013-08-13,226.0
2013-08-14,230.8
2013-08-16,215.45
2013-08-19,207.95
2013-08-20,215.9
2013-08-21,210.45
2013-08-22,213.8
2013-08-23,219.95
2013-08-26,220.75
2013-08-27,218.1
2013-08-28,209.15
2013-08-29,213.75
2013-08-30,214.2
2013-09-02,217.55
2013-09-03,211.2
2013-09-04,211.6
2013-09-05,216.8
2013-09-06,221.75
2013-09-10,230.95
2013-09-11,231.95
2013-09-12,230.7
2013-09-13,239.2
2013-09-16,236.95
2013-09-17,238.65
2013-09-18,236.3
2013-09-19,238.4
2013-09-20,235.25
2013-09-23,239.85
2013-09-24,235.7
2013-09-25,234.0
2013-09-26,232.3
2013-09-27,230.7
2013-09-30,228.7
2013-10-01,227.95
2013-10-03,241.2
2013-10-04,238.25
2013-10-07,239.4
2013-10-08,238.8
2013-10-09,238.5
2013-10-10,240.0
2013-10-11,256.5
2013-10-14,248.75
2013-10-15,244.95
2013-10-17,249.05
2013-10-18,247.85
2013-10-21,247.55
2013-10-22,254.2
2013-10-23,251.6
2013-10-24,259.15
2013-10-25,262.0
2013-10-28,268.25
2013-10-29,270.45
2013-10-30,271.0
2013-10-31,262.45
2013-11-01,260.05
2013-11-03,260.5
2013-11-05,263.1
2013-11-06,262.15
2013-11-07,252.7
2013-11-08,247.9
2013-11-11,247.25
2013-11-12,242.1
2013-11-13,240.15
2013-11-14,246.7
2013-11-18,251.65
2013-11-19,248.6
2013-11-20,247.45
2013-11-21,245.2
2013-11-22,245.75
2013-11-25,247.65
2013-11-26,244.6
2013-11-27,238.9
2013-11-28,251.55
2013-11-29,248.8
2013-12-02,254.3
2013-12-03,254.6
2013-12-04,291.9
2013-12-05,267.75
2013-12-06,273.85
2013-12-09,268.35
2013-12-10,269.05
2013-12-11,268.7
2013-12-12,263.0
2013-12-13,251.8
2013-12-16,242.5
2013-12-17,240.65
2013-12-18,241.2
2013-12-19,239.5
2013-12-20,250.4
2013-12-23,255.35
2013-12-24,265.25
2013-12-26,259.7
2013-12-27,255.05
2013-12-30,260.8
2013-12-31,261.45
