Date,NITINFIRE
2013-01-01,66.9
2013-01-02,67.1
2013-01-03,67.55
2013-01-04,67.6
2013-01-07,67.6
2013-01-08,67.2
2013-01-09,67.15
2013-01-10,67.95
2013-01-11,69.25
2013-01-14,69.35
2013-01-15,68.4
2013-01-16,67.2
2013-01-17,66.95
2013-01-18,66.05
2013-01-21,65.95
2013-01-22,65.7
2013-01-23,64.9
2013-01-24,66.05
2013-01-25,67.85
2013-01-28,76.25
2013-01-29,72.45
2013-01-30,71.1
2013-01-31,71.0
2013-02-01,70.2
2013-02-04,68.5
2013-02-05,68.4
2013-02-06,68.05
2013-02-07,67.25
2013-02-08,67.9
2013-02-11,66.8
2013-02-12,67.0
2013-02-13,66.55
2013-02-14,64.45
2013-02-15,64.65
2013-02-18,65.85
2013-02-19,64.9
2013-02-20,64.75
2013-02-21,64.85
2013-02-22,64.5
2013-02-25,66.7
2013-02-26,64.75
2013-02-27,64.75
2013-02-28,65.35
2013-03-01,63.85
2013-03-04,63.45
2013-03-05,63.35
2013-03-06,65.6
2013-03-07,67.1
2013-03-08,67.2
2013-03-11,67.9
2013-03-12,67.85
2013-03-13,65.7
2013-03-14,65.55
2013-03-15,64.65
2013-03-18,65.95
2013-03-19,65.45
2013-03-20,63.4
2013-03-21,61.9
2013-03-22,62.6
2013-03-25,60.15
2013-03-26,59.35
2013-03-28,58.6
2013-04-01,60.8
2013-04-02,60.0
2013-04-03,59.95
2013-04-04,59.9
2013-04-05,59.3
2013-04-08,59.9
2013-04-09,60.0
2013-04-10,60.1
2013-04-11,61.05
2013-04-12,63.9
2013-04-15,65.8
2013-04-16,68.0
2013-04-17,67.25
2013-04-18,67.45
2013-04-22,67.35
2013-04-23,67.85
2013-04-25,66.6
2013-04-26,67.9
2013-04-29,67.1
2013-04-30,65.9
2013-05-02,64.6
2013-05-03,65.1
2013-05-06,65.85
2013-05-07,65.2
2013-05-08,64.35
2013-05-09,64.7
2013-05-10,64.55
2013-05-11,64.85
2013-05-13,63.1
2013-05-14,62.95
2013-05-15,63.2
2013-05-16,63.25
2013-05-17,63.2
2013-05-20,62.5
2013-05-21,64.25
2013-05-22,63.05
2013-05-23,62.15
2013-05-24,61.4
2013-05-27,61.95
2013-05-28,61.9
2013-05-29,61.55
2013-05-30,61.75
2013-05-31,60.0
2013-06-03,59.15
2013-06-04,60.1
2013-06-05,60.05
2013-06-06,62.3
2013-06-07,62.9
2013-06-10,61.45
2013-06-11,60.1
2013-06-12,59.95
2013-06-13,58.45
2013-06-14,60.1
2013-06-17,62.35
2013-06-18,63.75
2013-06-19,62.7
2013-06-20,64.0
2013-06-21,64.0
2013-06-24,61.7
2013-06-25,63.6
2013-06-26,61.95
2013-06-27,62.1
2013-06-28,62.0
2013-07-01,62.5
2013-07-02,62.6
2013-07-03,61.3
2013-07-04,61.2
2013-07-05,60.05
2013-07-08,60.45
2013-07-09,61.05
2013-07-10,61.75
2013-07-11,61.65
2013-07-12,61.85
2013-07-15,60.3
2013-07-16,59.8
2013-07-17,59.9
2013-07-18,60.0
2013-07-19,54.85
2013-07-22,51.55
2013-07-23,54.6
2013-07-24,52.75
2013-07-25,53.75
2013-07-26,51.75
2013-07-29,50.1
2013-07-30,51.9
2013-07-31,52.3
2013-08-01,51.15
2013-08-02,52.85
2013-08-05,51.1
2013-08-06,51.05
2013-08-07,52.15
2013-08-08,52.8
2013-08-12,54.0
2013-08-13,56.5
2013-08-14,54.3
2013-08-16,52.9
2013-08-19,53.5
2013-08-20,53.75
2013-08-21,53.5
2013-08-22,54.2
2013-08-23,54.6
2013-08-26,53.7
2013-08-27,53.65
2013-08-28,53.85
2013-08-29,54.45
2013-08-30,54.25
2013-09-02,54.65
2013-09-03,53.65
2013-09-04,54.9
2013-09-05,54.45
2013-09-06,53.9
2013-09-10,55.65
2013-09-11,58.85
2013-09-12,57.25
2013-09-13,58.05
2013-09-16,56.3
2013-09-17,57.55
2013-09-18,57.85
2013-09-19,57.25
2013-09-20,57.0
2013-09-23,56.35
2013-09-24,56.1
2013-09-25,56.5
2013-09-26,54.9
2013-09-27,55.95
2013-09-30,54.2
2013-10-01,54.2
2013-10-03,54.55
2013-10-04,53.1
2013-10-07,54.15
2013-10-08,54.55
2013-10-09,55.2
2013-10-10,54.25
2013-10-11,53.45
2013-10-14,57.55
2013-10-15,56.55
2013-10-17,55.25
2013-10-18,56.1
2013-10-21,56.85
2013-10-22,55.5
2013-10-23,55.95
2013-10-24,55.75
2013-10-25,58.3
2013-10-28,56.15
2013-10-29,56.05
2013-10-30,61.1
2013-10-31,60.35
2013-11-01,60.2
2013-11-03,59.25
2013-11-05,58.2
2013-11-06,57.6
2013-11-07,59.25
2013-11-08,58.65
2013-11-11,58.25
2013-11-12,57.1
2013-11-13,56.55
2013-11-14,56.65
2013-11-18,58.8
2013-11-19,59.25
2013-11-20,58.05
2013-11-21,57.65
2013-11-22,56.55
2013-11-25,56.6
2013-11-26,57.25
2013-11-27,56.8
2013-11-28,57.05
2013-11-29,56.4
2013-12-02,66.55
2013-12-03,63.75
2013-12-04,62.9
2013-12-05,63.05
2013-12-06,62.85
2013-12-09,61.5
2013-12-10,61.5
2013-12-11,61.95
2013-12-12,64.4
2013-12-13,62.5
2013-12-16,62.1
2013-12-17,61.55
2013-12-18,63.2
2013-12-19,61.75
2013-12-20,62.2
2013-12-23,62.8
2013-12-24,62.45
2013-12-26,62.45
2013-12-27,61.9
2013-12-30,62.05
2013-12-31,61.8
