Date,APARINDS
2013-01-01,156.8
2013-01-02,158.15
2013-01-03,159.45
2013-01-04,158.7
2013-01-07,156.1
2013-01-08,151.95
2013-01-09,154.55
2013-01-10,154.8
2013-01-11,152.5
2013-01-14,155.15
2013-01-15,154.95
2013-01-16,152.15
2013-01-17,149.95
2013-01-18,149.35
2013-01-21,152.4
2013-01-22,152.7
2013-01-23,150.4
2013-01-24,143.95
2013-01-25,147.95
2013-01-28,144.35
2013-01-29,139.95
2013-01-30,134.75
2013-01-31,134.65
2013-02-01,130.05
2013-02-04,151.9
2013-02-05,142.9
2013-02-06,141.6
2013-02-07,140.15
2013-02-08,138.15
2013-02-11,138.1
2013-02-12,139.3
2013-02-13,139.4
2013-02-14,144.65
2013-02-15,142.8
2013-02-18,142.8
2013-02-19,143.0
2013-02-20,142.75
2013-02-21,138.1
2013-02-22,137.85
2013-02-25,136.2
2013-02-26,133.7
2013-02-27,133.15
2013-02-28,128.4
2013-03-01,122.95
2013-03-04,121.5
2013-03-05,125.1
2013-03-06,125.75
2013-03-07,126.9
2013-03-08,132.5
2013-03-11,130.85
2013-03-12,129.4
2013-03-13,128.3
2013-03-14,127.7
2013-03-15,125.5
2013-03-18,123.9
2013-03-19,120.55
2013-03-20,116.45
2013-03-21,113.1
2013-03-22,108.9
2013-03-25,108.9
2013-03-26,106.8
2013-03-28,107.95
2013-04-01,115.15
2013-04-02,116.05
2013-04-03,119.35
2013-04-04,114.75
2013-04-05,114.25
2013-04-08,113.55
2013-04-09,112.65
2013-04-10,110.65
2013-04-11,114.35
2013-04-12,114.65
2013-04-15,111.8
2013-04-16,112.2
2013-04-17,112.85
2013-04-18,112.4
2013-04-22,112.95
2013-04-23,112.9
2013-04-25,117.95
2013-04-26,118.75
2013-04-29,119.2
2013-04-30,120.45
2013-05-02,135.25
2013-05-03,133.5
2013-05-06,129.15
2013-05-07,129.0
2013-05-08,129.4
2013-05-09,126.4
2013-05-10,125.95
2013-05-11,125.65
2013-05-13,123.75
2013-05-14,122.45
2013-05-15,124.55
2013-05-16,127.85
2013-05-17,129.9
2013-05-20,127.75
2013-05-21,129.15
2013-05-22,127.6
2013-05-23,119.15
2013-05-24,119.2
2013-05-27,117.1
2013-05-28,118.55
2013-05-29,120.65
2013-05-30,118.8
2013-05-31,112.8
2013-06-03,124.35
2013-06-04,123.1
2013-06-05,127.7
2013-06-06,125.45
2013-06-07,124.95
2013-06-10,124.05
2013-06-11,118.8
2013-06-12,116.0
2013-06-13,113.15
2013-06-14,114.95
2013-06-17,115.2
2013-06-18,114.6
2013-06-19,118.7
2013-06-20,115.85
2013-06-21,113.45
2013-06-24,113.3
2013-06-25,110.7
2013-06-26,108.85
2013-06-27,107.95
2013-06-28,109.9
2013-07-01,110.0
2013-07-02,108.9
2013-07-03,107.95
2013-07-04,107.6
2013-07-05,107.55
2013-07-08,105.75
2013-07-09,105.6
2013-07-10,104.7
2013-07-11,104.6
2013-07-12,107.1
2013-07-15,107.55
2013-07-16,105.25
2013-07-17,105.85
2013-07-18,104.0
2013-07-19,104.5
2013-07-22,106.95
2013-07-23,106.55
2013-07-24,105.0
2013-07-25,107.05
2013-07-26,105.9
2013-07-29,103.45
2013-07-30,98.45
2013-07-31,95.6
2013-08-01,88.7
2013-08-02,88.2
2013-08-05,87.75
2013-08-06,84.3
2013-08-07,85.9
2013-08-08,89.55
2013-08-12,91.0
2013-08-13,92.2
2013-08-14,92.4
2013-08-16,91.05
2013-08-19,92.5
2013-08-20,93.8
2013-08-21,94.85
2013-08-22,95.7
2013-08-23,96.55
2013-08-26,95.35
2013-08-27,93.55
2013-08-28,87.95
2013-08-29,88.4
2013-08-30,87.15
2013-09-02,88.0
2013-09-03,86.55
2013-09-04,87.7
2013-09-05,88.05
2013-09-06,87.55
2013-09-10,88.85
2013-09-11,89.5
2013-09-12,90.85
2013-09-13,91.95
2013-09-16,91.1
2013-09-17,90.0
2013-09-18,89.1
2013-09-19,90.6
2013-09-20,89.05
2013-09-23,88.4
2013-09-24,88.1
2013-09-25,86.85
2013-09-26,86.85
2013-09-27,86.6
2013-09-30,86.9
2013-10-01,86.2
2013-10-03,90.0
2013-10-04,91.25
2013-10-07,103.05
2013-10-08,105.05
2013-10-09,103.9
2013-10-10,102.95
2013-10-11,103.55
2013-10-14,114.65
2013-10-15,110.25
2013-10-17,108.45
2013-10-18,109.0
2013-10-21,109.35
2013-10-22,110.4
2013-10-23,109.4
2013-10-24,109.0
2013-10-25,114.65
2013-10-28,117.95
2013-10-29,115.1
2013-10-30,115.05
2013-10-31,117.85
2013-11-01,120.2
2013-11-03,119.85
2013-11-05,122.75
2013-11-06,126.55
2013-11-07,124.55
2013-11-08,125.8
2013-11-11,123.9
2013-11-12,119.7
2013-11-13,119.15
2013-11-14,119.85
2013-11-18,120.85
2013-11-19,120.05
2013-11-20,120.25
2013-11-21,120.05
2013-11-22,121.2
2013-11-25,119.65
2013-11-26,120.75
2013-11-27,120.9
2013-11-28,126.5
2013-11-29,124.9
2013-12-02,125.05
2013-12-03,126.7
2013-12-04,129.6
2013-12-05,131.05
2013-12-06,131.5
2013-12-09,134.15
2013-12-10,135.0
2013-12-11,131.85
2013-12-12,130.1
2013-12-13,127.15
2013-12-16,128.05
2013-12-17,127.05
2013-12-18,128.95
2013-12-19,130.0
2013-12-20,136.7
2013-12-23,138.95
2013-12-24,143.15
2013-12-26,150.6
2013-12-27,146.15
2013-12-30,145.3
2013-12-31,150.9
