Date,NAVINFLUOR
2013-01-01,293.5
2013-01-02,293.4
2013-01-03,295.75
2013-01-04,296.15
2013-01-07,302.4
2013-01-08,302.75
2013-01-09,298.85
2013-01-10,299.15
2013-01-11,295.55
2013-01-14,296.8
2013-01-15,295.7
2013-01-16,293.45
2013-01-17,293.4
2013-01-18,290.0
2013-01-21,291.1
2013-01-22,286.8
2013-01-23,283.1
2013-01-24,275.0
2013-01-25,274.95
2013-01-28,278.7
2013-01-29,277.85
2013-01-30,275.15
2013-01-31,273.8
2013-02-01,271.7
2013-02-04,273.6
2013-02-05,271.95
2013-02-06,271.6
2013-02-07,274.35
2013-02-08,270.55
2013-02-11,267.55
2013-02-12,268.15
2013-02-13,265.05
2013-02-14,257.2
2013-02-15,254.65
2013-02-18,246.55
2013-02-19,253.95
2013-02-20,254.6
2013-02-21,250.7
2013-02-22,248.85
2013-02-25,246.3
2013-02-26,240.9
2013-02-27,238.6
2013-02-28,232.45
2013-03-01,236.15
2013-03-04,234.45
2013-03-05,234.1
2013-03-06,236.65
2013-03-07,236.2
2013-03-08,240.05
2013-03-11,239.9
2013-03-12,240.5
2013-03-13,235.95
2013-03-14,235.6
2013-03-15,235.15
2013-03-18,234.8
2013-03-19,230.0
2013-03-20,224.8
2013-03-21,220.65
2013-03-22,215.6
2013-03-25,215.1
2013-03-26,212.95
2013-03-28,211.95
2013-04-01,217.95
2013-04-02,227.6
2013-04-03,232.35
2013-04-04,228.4
2013-04-05,231.3
2013-04-08,233.85
2013-04-09,227.0
2013-04-10,228.35
2013-04-11,225.55
2013-04-12,224.25
2013-04-15,225.3
2013-04-16,226.75
2013-04-17,225.45
2013-04-18,224.15
2013-04-22,228.8
2013-04-23,237.2
2013-04-25,235.55
2013-04-26,234.65
2013-04-29,237.65
2013-04-30,237.2
2013-05-02,209.6
2013-05-03,206.25
2013-05-06,204.3
2013-05-07,207.85
2013-05-08,206.2
2013-05-09,204.95
2013-05-10,205.8
2013-05-11,204.75
2013-05-13,203.8
2013-05-14,203.15
2013-05-15,202.55
2013-05-16,203.45
2013-05-17,199.75
2013-05-20,200.1
2013-05-21,199.95
2013-05-22,199.8
2013-05-23,193.75
2013-05-24,193.65
2013-05-27,193.95
2013-05-28,191.85
2013-05-29,191.5
2013-05-30,190.45
2013-05-31,187.0
2013-06-03,187.95
2013-06-04,186.75
2013-06-05,186.4
2013-06-06,187.05
2013-06-07,188.3
2013-06-10,191.6
2013-06-11,189.2
2013-06-12,185.1
2013-06-13,175.15
2013-06-14,173.6
2013-06-17,172.3
2013-06-18,170.5
2013-06-19,168.8
2013-06-20,166.9
2013-06-21,165.25
2013-06-24,161.1
2013-06-25,159.65
2013-06-26,161.95
2013-06-27,160.15
2013-06-28,160.8
2013-07-01,163.25
2013-07-02,162.5
2013-07-03,160.3
2013-07-04,161.2
2013-07-05,155.25
2013-07-08,156.1
2013-07-09,154.65
2013-07-10,159.9
2013-07-11,160.35
2013-07-12,161.15
2013-07-15,162.0
2013-07-16,155.95
2013-07-17,156.8
2013-07-18,156.7
2013-07-19,156.45
2013-07-22,157.25
2013-07-23,158.5
2013-07-24,155.55
2013-07-25,157.55
2013-07-26,169.65
2013-07-29,174.35
2013-07-30,166.15
2013-07-31,162.8
2013-08-01,162.8
2013-08-02,158.45
2013-08-05,162.4
2013-08-06,162.85
2013-08-07,160.45
2013-08-08,169.95
2013-08-12,174.5
2013-08-13,175.85
2013-08-14,176.1
2013-08-16,172.5
2013-08-19,170.3
2013-08-20,171.25
2013-08-21,167.6
2013-08-22,166.2
2013-08-23,170.5
2013-08-26,170.9
2013-08-27,166.25
2013-08-28,167.45
2013-08-29,169.95
2013-08-30,169.1
2013-09-02,167.75
2013-09-03,167.05
2013-09-04,166.5
2013-09-05,170.65
2013-09-06,168.75
2013-09-10,172.9
2013-09-11,172.0
2013-09-12,172.95
2013-09-13,174.8
2013-09-16,178.35
2013-09-17,172.65
2013-09-18,174.0
2013-09-19,179.2
2013-09-20,175.95
2013-09-23,175.65
2013-09-24,180.35
2013-09-25,183.1
2013-09-26,183.35
2013-09-27,183.9
2013-09-30,181.2
2013-10-01,181.2
2013-10-03,182.35
2013-10-04,182.15
2013-10-07,185.2
2013-10-08,189.95
2013-10-09,196.65
2013-10-10,216.55
2013-10-11,217.15
2013-10-14,217.8
2013-10-15,214.5
2013-10-17,218.1
2013-10-18,216.9
2013-10-21,216.55
2013-10-22,221.5
2013-10-23,224.45
2013-10-24,221.15
2013-10-25,220.15
2013-10-28,220.25
2013-10-29,228.7
2013-10-30,233.8
2013-10-31,245.1
2013-11-01,249.45
2013-11-03,251.65
2013-11-05,256.8
2013-11-06,257.05
2013-11-07,248.4
2013-11-08,246.0
2013-11-11,240.2
2013-11-12,242.35
2013-11-13,241.55
2013-11-14,241.75
2013-11-18,254.95
2013-11-19,252.25
2013-11-20,258.95
2013-11-21,259.55
2013-11-22,263.4
2013-11-25,279.7
2013-11-26,271.7
2013-11-27,270.75
2013-11-28,267.85
2013-11-29,264.05
2013-12-02,257.8
2013-12-03,253.45
2013-12-04,261.5
2013-12-05,257.6
2013-12-06,255.05
2013-12-09,251.6
2013-12-10,249.0
2013-12-11,244.35
2013-12-12,245.55
2013-12-13,242.95
2013-12-16,240.5
2013-12-17,240.7
2013-12-18,253.15
2013-12-19,255.05
2013-12-20,265.05
2013-12-23,280.05
2013-12-24,271.3
2013-12-26,265.3
2013-12-27,264.35
2013-12-30,264.15
2013-12-31,262.2
