Date,ZYLOG
2013-01-01,61.35
2013-01-02,61.5
2013-01-03,62.8
2013-01-04,64.3
2013-01-07,68.75
2013-01-08,70.8
2013-01-09,68.4
2013-01-10,66.8
2013-01-11,65.1
2013-01-14,64.8
2013-01-15,63.85
2013-01-16,62.3
2013-01-17,60.75
2013-01-18,58.95
2013-01-21,57.3
2013-01-22,52.6
2013-01-23,52.55
2013-01-24,47.3
2013-01-25,46.85
2013-01-28,45.2
2013-01-29,43.25
2013-01-30,41.15
2013-01-31,40.0
2013-02-01,38.15
2013-02-04,39.8
2013-02-05,41.75
2013-02-06,43.8
2013-02-07,45.95
2013-02-08,48.2
2013-02-11,50.6
2013-02-12,50.55
2013-02-13,53.05
2013-02-14,55.7
2013-02-15,58.45
2013-02-18,61.35
2013-02-19,64.4
2013-02-20,67.6
2013-02-21,68.3
2013-02-22,65.2
2013-02-25,61.95
2013-02-26,58.9
2013-02-27,56.0
2013-02-28,53.2
2013-03-01,50.95
2013-03-04,53.45
2013-03-05,56.1
2013-03-06,55.35
2013-03-07,55.7
2013-03-08,55.3
2013-03-11,54.35
2013-03-12,53.2
2013-03-13,51.2
2013-03-14,51.7
2013-03-15,50.85
2013-03-18,49.9
2013-03-19,48.25
2013-03-20,49.7
2013-03-21,51.35
2013-03-22,47.25
2013-03-25,42.55
2013-03-26,39.85
2013-03-28,43.65
2013-04-01,48.0
2013-04-02,52.8
2013-04-03,55.05
2013-04-04,52.3
2013-04-05,52.45
2013-04-08,52.4
2013-04-09,51.5
2013-04-10,50.35
2013-04-11,50.95
2013-04-12,49.5
2013-04-15,49.9
2013-04-16,49.25
2013-04-17,48.5
2013-04-18,50.9
2013-04-22,53.4
2013-04-23,56.05
2013-04-25,53.3
2013-04-26,51.45
2013-04-29,49.05
2013-04-30,51.5
2013-05-02,50.8
2013-05-03,48.55
2013-05-06,50.95
2013-05-07,51.45
2013-05-08,52.85
2013-05-09,50.2
2013-05-10,50.4
2013-05-11,49.2
2013-05-13,47.0
2013-05-14,51.7
2013-05-15,52.15
2013-05-16,52.5
2013-05-17,54.85
2013-05-20,55.1
2013-05-21,55.2
2013-05-22,54.5
2013-05-23,52.15
2013-05-24,51.8
2013-05-27,52.45
2013-05-28,52.1
2013-05-29,51.4
2013-05-30,47.0
2013-05-31,45.3
2013-06-03,43.5
2013-06-04,42.5
2013-06-05,41.75
2013-06-06,40.85
2013-06-07,39.85
2013-06-10,37.4
2013-06-11,35.55
2013-06-12,33.8
2013-06-13,32.15
2013-06-14,30.55
2013-06-17,29.05
2013-06-18,27.6
2013-06-19,26.25
2013-06-20,24.95
2013-06-21,23.75
2013-06-24,22.6
2013-06-25,21.5
2013-06-26,20.45
2013-06-27,19.45
2013-06-28,18.5
2013-07-01,17.6
2013-07-02,16.75
2013-07-03,15.95
2013-07-04,16.7
2013-07-05,17.4
2013-07-08,16.55
2013-07-09,15.75
2013-07-10,15.0
2013-07-11,14.25
2013-07-12,13.55
2013-07-15,12.9
2013-07-16,12.3
2013-07-17,12.9
2013-07-18,13.5
2013-07-19,14.15
2013-07-22,14.85
2013-07-23,15.55
2013-07-24,16.05
2013-07-25,15.75
2013-07-26,15.0
2013-07-29,14.25
2013-07-30,13.55
2013-07-31,12.9
2013-08-01,12.3
2013-08-02,11.7
2013-08-05,11.2
2013-08-06,10.65
2013-08-07,11.15
2013-08-08,11.7
2013-08-12,12.25
2013-08-13,12.85
2013-08-14,13.45
2013-08-16,12.8
2013-08-19,12.2
2013-08-20,11.6
2013-08-21,11.05
2013-08-22,11.6
2013-08-23,11.85
2013-08-26,11.65
2013-08-27,11.1
2013-08-28,10.6
2013-08-29,10.95
2013-08-30,11.05
2013-09-02,10.85
2013-09-03,10.8
2013-09-04,10.45
2013-09-05,10.7
2013-09-06,11.1
2013-09-10,11.7
2013-09-11,11.7
2013-09-12,11.75
2013-09-13,12.9
2013-09-16,14.15
2013-09-17,14.85
2013-09-18,14.3
2013-09-19,13.6
2013-09-20,12.95
2013-09-23,12.7
2013-09-24,12.1
2013-09-25,11.55
2013-09-26,12.1
2013-09-27,12.7
2013-09-30,12.1
2013-10-01,11.55
2013-10-03,12.05
2013-10-04,11.7
2013-10-07,11.75
2013-10-08,11.75
2013-10-09,11.85
2013-10-10,12.4
2013-10-11,13.0
2013-10-14,13.65
2013-10-15,13.0
2013-10-17,12.45
2013-10-18,12.6
2013-10-21,13.2
2013-10-22,13.85
2013-10-23,13.55
2013-10-24,13.1
2013-10-25,12.7
2013-10-28,12.45
2013-10-29,12.5
2013-10-30,12.45
2013-10-31,12.65
2013-11-01,12.7
2013-11-03,13.1
2013-11-05,13.25
2013-11-06,13.9
2013-11-07,13.4
2013-11-08,14.7
2013-11-11,16.15
2013-11-12,17.55
2013-11-13,16.7
2013-11-14,15.9
2013-11-18,15.15
2013-11-19,14.85
2013-11-20,15.0
2013-11-21,14.35
2013-11-22,14.05
2013-11-25,13.8
2013-11-26,13.4
2013-11-27,13.0
2013-11-28,13.2
2013-11-29,13.85
2013-12-02,14.5
2013-12-03,13.8
2013-12-04,13.75
2013-12-05,13.55
2013-12-06,14.2
2013-12-09,13.8
2013-12-10,13.3
2013-12-11,13.15
2013-12-12,12.95
2013-12-13,12.8
2013-12-16,12.75
2013-12-17,12.2
2013-12-18,12.2
2013-12-19,12.15
2013-12-20,12.25
2013-12-23,12.25
2013-12-24,12.85
2013-12-26,13.45
2013-12-27,12.85
2013-12-30,12.75
2013-12-31,13.0
