Date,HEXATRADEX
2013-01-01,42.45
2013-01-02,40.35
2013-01-03,38.45
2013-01-04,38.65
2013-01-07,38.6
2013-01-08,37.5
2013-01-09,39.35
2013-01-10,41.3
2013-01-11,40.8
2013-01-14,39.75
2013-01-15,39.25
2013-01-16,37.3
2013-01-17,37.2
2013-01-18,37.65
2013-01-21,37.15
2013-01-22,36.3
2013-01-23,35.0
2013-01-24,33.45
2013-01-25,34.6
2013-01-28,34.7
2013-01-29,36.05
2013-01-30,36.4
2013-01-31,36.0
2013-02-01,36.0
2013-02-04,36.0
2013-02-05,34.5
2013-02-06,34.5
2013-02-07,33.0
2013-02-08,33.7
2013-02-11,33.65
2013-02-12,33.85
2013-02-13,32.6
2013-02-14,31.0
2013-02-15,30.1
2013-02-18,31.25
2013-02-19,31.85
2013-02-20,31.55
2013-02-21,30.0
2013-02-22,29.45
2013-02-25,28.65
2013-02-26,28.05
2013-02-27,29.45
2013-02-28,28.55
2013-03-01,28.2
2013-03-04,28.0
2013-03-05,28.0
2013-03-06,26.6
2013-03-07,26.5
2013-03-08,27.6
2013-03-11,27.05
2013-03-12,27.0
2013-03-13,26.95
2013-03-14,27.95
2013-03-15,26.9
2013-03-18,26.8
2013-03-19,25.6
2013-03-20,23.85
2013-03-21,23.2
2013-03-22,24.65
2013-03-25,24.05
2013-03-26,24.5
2013-03-28,26.95
2013-04-01,27.85
2013-04-02,28.65
2013-04-03,28.0
2013-04-04,25.95
2013-04-05,25.6
2013-04-08,25.6
2013-04-09,25.05
2013-04-10,25.2
2013-04-11,25.95
2013-04-12,25.9
2013-04-15,26.4
2013-04-16,25.85
2013-04-17,26.0
2013-04-18,27.45
2013-04-22,27.05
2013-04-23,26.75
2013-04-25,26.7
2013-04-26,25.9
2013-04-29,25.9
2013-04-30,25.7
2013-05-02,24.85
2013-05-03,24.6
2013-05-06,25.15
2013-05-07,24.9
2013-05-08,24.8
2013-05-09,24.0
2013-05-10,23.9
2013-05-11,23.5
2013-05-13,23.25
2013-05-14,23.7
2013-05-15,23.85
2013-05-16,23.75
2013-05-17,23.9
2013-05-20,24.35
2013-05-21,24.55
2013-05-22,23.9
2013-05-23,22.8
2013-05-24,22.6
2013-05-27,22.0
2013-05-28,21.75
2013-05-29,21.25
2013-05-30,21.0
2013-05-31,20.0
2013-06-03,20.6
2013-06-04,21.2
2013-06-05,20.0
2013-06-06,20.0
2013-06-07,19.5
2013-06-10,19.0
2013-06-11,17.4
2013-06-12,19.4
2013-06-13,18.85
2013-06-14,20.0
2013-06-17,19.8
2013-06-18,19.3
2013-06-19,18.95
2013-06-20,19.55
2013-06-21,18.7
2013-06-24,17.3
2013-06-25,17.5
2013-06-26,17.25
2013-06-27,17.25
2013-06-28,17.45
2013-07-01,17.3
2013-07-02,18.55
2013-07-03,18.1
2013-07-04,18.0
2013-07-05,19.2
2013-07-08,17.85
2013-07-09,17.35
2013-07-10,17.1
2013-07-11,17.5
2013-07-12,17.75
2013-07-15,17.65
2013-07-16,17.3
2013-07-17,16.8
2013-07-18,17.1
2013-07-19,17.2
2013-07-22,17.0
2013-07-23,16.6
2013-07-24,15.4
2013-07-25,14.45
2013-07-26,15.15
2013-07-29,13.75
2013-07-30,13.5
2013-07-31,13.05
2013-08-01,11.95
2013-08-02,11.25
2013-08-05,11.85
2013-08-06,12.4
2013-08-07,13.9
2013-08-08,12.8
2013-08-12,15.35
2013-08-13,15.1
2013-08-14,14.75
2013-08-16,14.2
2013-08-19,13.2
2013-08-20,12.25
2013-08-21,12.1
2013-08-22,12.7
2013-08-23,13.3
2013-08-26,12.95
2013-08-27,12.35
2013-08-28,11.85
2013-08-29,11.95
2013-08-30,11.9
2013-09-02,12.0
2013-09-03,11.85
2013-09-04,12.0
2013-09-05,12.5
2013-09-06,12.3
2013-09-10,13.15
2013-09-11,13.2
2013-09-12,12.5
2013-09-13,12.5
2013-09-16,11.95
2013-09-17,12.5
2013-09-18,12.05
2013-09-19,12.0
2013-09-20,11.95
2013-09-23,11.5
2013-09-24,10.9
2013-09-25,11.05
2013-09-26,11.0
2013-09-27,10.1
2013-09-30,9.95
2013-10-01,10.6
2013-10-03,11.65
2013-10-04,12.75
2013-10-07,12.85
2013-10-08,12.55
2013-10-09,13.0
2013-10-10,13.65
2013-10-11,14.0
2013-10-14,13.85
2013-10-15,14.1
2013-10-17,13.75
2013-10-18,14.0
2013-10-21,14.15
2013-10-22,14.15
2013-10-23,14.05
2013-10-24,14.45
2013-10-25,14.25
2013-10-28,14.3
2013-10-29,13.8
2013-10-30,14.0
2013-10-31,13.8
2013-11-01,13.8
2013-11-03,14.15
2013-11-05,14.3
2013-11-06,13.9
2013-11-07,13.7
2013-11-08,13.6
2013-11-11,13.9
2013-11-12,13.6
2013-11-13,13.85
2013-11-14,14.2
2013-11-18,14.7
2013-11-19,14.7
2013-11-20,15.35
2013-11-21,15.0
2013-11-22,14.75
2013-11-25,14.9
2013-11-26,15.0
2013-11-27,14.7
2013-11-28,14.95
2013-11-29,15.9
2013-12-02,16.0
2013-12-03,16.25
2013-12-04,16.3
2013-12-05,17.0
2013-12-06,16.85
2013-12-09,16.5
2013-12-10,18.15
2013-12-11,19.1
2013-12-12,18.4
2013-12-13,18.4
2013-12-16,18.5
2013-12-17,18.5
2013-12-18,18.5
2013-12-19,18.5
2013-12-20,19.35
2013-12-23,21.1
2013-12-24,23.1
2013-12-26,23.9
2013-12-27,24.35
2013-12-30,24.0
2013-12-31,23.85
