Date,JKCEMENT
2013-01-01,352.85
2013-01-02,357.35
2013-01-03,351.8
2013-01-04,341.75
2013-01-07,338.3
2013-01-08,332.35
2013-01-09,324.85
2013-01-10,318.8
2013-01-11,314.05
2013-01-14,329.1
2013-01-15,336.95
2013-01-16,335.95
2013-01-17,340.1
2013-01-18,339.5
2013-01-21,344.0
2013-01-22,340.75
2013-01-23,336.55
2013-01-24,328.75
2013-01-25,332.5
2013-01-28,325.9
2013-01-29,322.6
2013-01-30,323.4
2013-01-31,320.25
2013-02-01,323.1
2013-02-04,322.9
2013-02-05,317.35
2013-02-06,316.5
2013-02-07,306.95
2013-02-08,317.05
2013-02-11,317.1
2013-02-12,312.2
2013-02-13,316.15
2013-02-14,312.6
2013-02-15,311.3
2013-02-18,309.35
2013-02-19,313.65
2013-02-20,318.05
2013-02-21,313.5
2013-02-22,313.6
2013-02-25,312.35
2013-02-26,306.7
2013-02-27,317.1
2013-02-28,318.05
2013-03-01,309.0
2013-03-04,297.25
2013-03-05,300.55
2013-03-06,297.4
2013-03-07,295.1
2013-03-08,302.6
2013-03-11,304.15
2013-03-12,296.05
2013-03-13,285.55
2013-03-14,288.05
2013-03-15,281.25
2013-03-18,279.75
2013-03-19,278.25
2013-03-20,268.2
2013-03-21,276.4
2013-03-22,263.25
2013-03-25,272.45
2013-03-26,261.5
2013-03-28,265.5
2013-04-01,277.05
2013-04-02,267.8
2013-04-03,268.95
2013-04-04,264.05
2013-04-05,255.35
2013-04-08,259.2
2013-04-09,251.0
2013-04-10,250.35
2013-04-11,253.65
2013-04-12,251.6
2013-04-15,250.2
2013-04-16,253.15
2013-04-17,255.45
2013-04-18,255.85
2013-04-22,252.95
2013-04-23,259.35
2013-04-25,262.25
2013-04-26,264.75
2013-04-29,258.6
2013-04-30,262.9
2013-05-02,258.55
2013-05-03,255.7
2013-05-06,254.1
2013-05-07,272.05
2013-05-08,283.75
2013-05-09,287.3
2013-05-10,283.2
2013-05-11,294.2
2013-05-13,274.95
2013-05-14,258.3
2013-05-15,256.85
2013-05-16,257.1
2013-05-17,253.1
2013-05-20,248.0
2013-05-21,242.55
2013-05-22,241.25
2013-05-23,233.6
2013-05-24,228.3
2013-05-27,232.3
2013-05-28,232.2
2013-05-29,225.9
2013-05-30,227.05
2013-05-31,235.8
2013-06-03,230.2
2013-06-04,226.1
2013-06-05,222.85
2013-06-06,229.9
2013-06-07,229.25
2013-06-10,239.1
2013-06-11,248.9
2013-06-12,248.9
2013-06-13,240.8
2013-06-14,236.95
2013-06-17,236.15
2013-06-18,237.95
2013-06-19,244.65
2013-06-20,248.65
2013-06-21,238.3
2013-06-24,238.45
2013-06-25,235.55
2013-06-26,236.7
2013-06-27,228.15
2013-06-28,228.4
2013-07-01,230.25
2013-07-02,229.8
2013-07-03,225.7
2013-07-04,225.95
2013-07-05,224.0
2013-07-08,230.4
2013-07-09,231.9
2013-07-10,226.15
2013-07-11,223.65
2013-07-12,222.85
2013-07-15,226.15
2013-07-16,226.45
2013-07-17,220.45
2013-07-18,220.2
2013-07-19,216.55
2013-07-22,212.2
2013-07-23,213.55
2013-07-24,208.2
2013-07-25,205.75
2013-07-26,201.95
2013-07-29,183.85
2013-07-30,171.65
2013-07-31,181.45
2013-08-01,162.0
2013-08-02,157.55
2013-08-05,155.1
2013-08-06,156.25
2013-08-07,152.75
2013-08-08,156.25
2013-08-12,174.05
2013-08-13,175.75
2013-08-14,180.5
2013-08-16,171.6
2013-08-19,169.8
2013-08-20,170.7
2013-08-21,174.2
2013-08-22,169.1
2013-08-23,179.75
2013-08-26,182.4
2013-08-27,180.95
2013-08-28,177.35
2013-08-29,178.95
2013-08-30,177.75
2013-09-02,176.35
2013-09-03,175.3
2013-09-04,178.0
2013-09-05,178.6
2013-09-06,180.75
2013-09-10,183.9
2013-09-11,184.3
2013-09-12,182.3
2013-09-13,187.35
2013-09-16,183.4
2013-09-17,182.35
2013-09-18,185.0
2013-09-19,190.05
2013-09-20,192.7
2013-09-23,195.65
2013-09-24,191.85
2013-09-25,190.65
2013-09-26,191.45
2013-09-27,189.75
2013-09-30,187.55
2013-10-01,188.35
2013-10-03,194.4
2013-10-04,194.15
2013-10-07,194.8
2013-10-08,196.0
2013-10-09,194.0
2013-10-10,194.25
2013-10-11,197.0
2013-10-14,198.1
2013-10-15,196.6
2013-10-17,188.0
2013-10-18,186.75
2013-10-21,186.95
2013-10-22,182.6
2013-10-23,182.0
2013-10-24,182.15
2013-10-25,181.7
2013-10-28,181.85
2013-10-29,189.5
2013-10-30,193.05
2013-10-31,193.35
2013-11-01,196.1
2013-11-03,196.9
2013-11-05,198.35
2013-11-06,199.75
2013-11-07,196.5
2013-11-08,193.45
2013-11-11,189.3
2013-11-12,189.55
2013-11-13,189.15
2013-11-14,189.75
2013-11-18,190.3
2013-11-19,190.55
2013-11-20,189.7
2013-11-21,189.9
2013-11-22,191.35
2013-11-25,190.55
2013-11-26,186.05
2013-11-27,185.35
2013-11-28,190.35
2013-11-29,193.0
2013-12-02,194.85
2013-12-03,196.7
2013-12-04,199.45
2013-12-05,201.6
2013-12-06,202.4
2013-12-09,212.15
2013-12-10,209.0
2013-12-11,212.35
2013-12-12,208.7
2013-12-13,206.05
2013-12-16,200.9
2013-12-17,191.9
2013-12-18,194.75
2013-12-19,190.85
2013-12-20,193.85
2013-12-23,195.45
2013-12-24,194.6
2013-12-26,194.55
2013-12-27,194.5
2013-12-30,194.65
2013-12-31,193.2
