Date,MCDOWELL-N
2013-01-01,1953.05
2013-01-02,1982.85
2013-01-03,1950.7
2013-01-04,1938.0
2013-01-07,1914.25
2013-01-08,1874.9
2013-01-09,1902.5
2013-01-10,1921.7
2013-01-11,1897.45
2013-01-14,1872.15
2013-01-15,1824.1
2013-01-16,1792.2
2013-01-17,1759.1
2013-01-18,1801.55
2013-01-21,1808.55
2013-01-22,1761.0
2013-01-23,1798.35
2013-01-24,1755.9
2013-01-25,1793.65
2013-01-28,1844.15
2013-01-29,1809.9
2013-01-30,1814.5
2013-01-31,1804.4
2013-02-01,1865.25
2013-02-04,1858.15
2013-02-05,1894.65
2013-02-06,1906.45
2013-02-07,1926.25
2013-02-08,1917.3
2013-02-11,1933.75
2013-02-12,1957.45
2013-02-13,1861.85
2013-02-14,1894.4
2013-02-15,1897.95
2013-02-18,1876.8
2013-02-19,1876.75
2013-02-20,1843.0
2013-02-21,1807.2
2013-02-22,1811.15
2013-02-25,1820.95
2013-02-26,1799.7
2013-02-27,1810.65
2013-02-28,1840.1
2013-03-01,1878.2
2013-03-04,1804.25
2013-03-05,1851.75
2013-03-06,1860.25
2013-03-07,1841.7
2013-03-08,1898.05
2013-03-11,1943.6
2013-03-12,1961.05
2013-03-13,1960.1
2013-03-14,1959.05
2013-03-15,1959.2
2013-03-18,1995.85
2013-03-19,1917.25
2013-03-20,1842.15
2013-03-21,1898.4
2013-03-22,1850.15
2013-03-25,1900.75
2013-03-26,1884.65
2013-03-28,1899.15
2013-04-01,1889.5
2013-04-02,1859.7
2013-04-03,1822.8
2013-04-04,1825.8
2013-04-05,1755.15
2013-04-08,1797.05
2013-04-09,1791.65
2013-04-10,1818.25
2013-04-11,1872.05
2013-04-12,1923.9
2013-04-15,2008.75
2013-04-16,2033.3
2013-04-17,2155.35
2013-04-18,2095.75
2013-04-22,2098.45
2013-04-23,2099.65
2013-04-25,2050.95
2013-04-26,2045.25
2013-04-29,2077.6
2013-04-30,2210.95
2013-05-02,2294.15
2013-05-03,2269.65
2013-05-06,2288.85
2013-05-07,2348.0
2013-05-08,2324.1
2013-05-09,2332.55
2013-05-10,2330.25
2013-05-11,2339.25
2013-05-13,2335.1
2013-05-14,2292.4
