Date,ICICIBANK
2013-01-01,1158.45
2013-01-02,1174.0
2013-01-03,1172.05
2013-01-04,1182.4
2013-01-07,1182.15
2013-01-08,1179.55
2013-01-09,1180.45
2013-01-10,1179.5
2013-01-11,1163.55
2013-01-14,1185.15
2013-01-15,1204.35
2013-01-16,1179.85
2013-01-17,1162.5
2013-01-18,1176.2
2013-01-21,1177.55
2013-01-22,1170.15
2013-01-23,1181.0
2013-01-24,1164.5
2013-01-25,1172.95
2013-01-28,1190.25
2013-01-29,1201.2
2013-01-30,1212.7
2013-01-31,1191.15
2013-02-01,1171.15
2013-02-04,1181.75
2013-02-05,1166.05
2013-02-06,1155.25
2013-02-07,1144.85
2013-02-08,1130.15
2013-02-11,1122.7
2013-02-12,1128.85
2013-02-13,1142.6
2013-02-14,1126.2
2013-02-15,1121.85
2013-02-18,1122.0
2013-02-19,1131.4
2013-02-20,1121.55
2013-02-21,1079.6
2013-02-22,1092.55
2013-02-25,1093.9
2013-02-26,1064.0
2013-02-27,1083.15
2013-02-28,1040.4
2013-03-01,1056.35
2013-03-04,1058.65
2013-03-05,1093.6
2013-03-06,1108.35
2013-03-07,1117.15
2013-03-08,1139.3
2013-03-11,1131.95
2013-03-12,1123.1
2013-03-13,1085.7
2013-03-14,1110.65
2013-03-15,1067.5
2013-03-18,1051.4
2013-03-19,1032.6
2013-03-20,1001.55
2013-03-21,1035.35
2013-03-22,1028.35
2013-03-25,1012.6
2013-03-26,1020.9
2013-03-28,1045.2
2013-04-01,1051.55
2013-04-02,1046.9
2013-04-03,1031.4
2013-04-04,1008.8
2013-04-05,998.15
2013-04-08,989.1
2013-04-09,990.05
2013-04-10,1004.3
2013-04-11,1040.2
2013-04-12,1045.35
2013-04-15,1047.1
2013-04-16,1078.9
2013-04-17,1097.65
2013-04-18,1122.65
2013-04-22,1148.45
2013-04-23,1161.3
2013-04-25,1177.35
2013-04-26,1144.5
2013-04-29,1153.2
2013-04-30,1163.65
2013-05-02,1171.7
2013-05-03,1129.95
2013-05-06,1142.65
2013-05-07,1163.95
2013-05-08,1157.95
2013-05-09,1152.65
2013-05-10,1165.35
2013-05-11,1167.95
2013-05-13,1148.8
2013-05-14,1147.45
2013-05-15,1191.25
2013-05-16,1207.5
2013-05-17,1230.45
2013-05-20,1209.8
2013-05-21,1211.0
2013-05-22,1210.1
2013-05-23,1172.3
2013-05-24,1204.15
2013-05-27,1219.4
2013-05-28,1231.95
2013-05-29,1214.9
2013-05-30,1182.8
2013-05-31,1154.45
2013-06-03,1145.15
2013-06-04,1138.2
2013-06-05,1134.4
2013-06-06,1154.6
2013-06-07,1141.7
2013-06-10,1117.8
2013-06-11,1076.5
2013-06-12,1081.25
2013-06-13,1068.85
2013-06-14,1102.15
2013-06-17,1101.45
2013-06-18,1090.95
2013-06-19,1086.7
2013-06-20,1046.15
2013-06-21,1044.85
2013-06-24,1049.15
2013-06-25,1032.85
2013-06-26,1026.15
2013-06-27,1030.55
2013-06-28,1070.75
2013-07-01,1067.9
2013-07-02,1079.1
2013-07-03,1064.0
2013-07-04,1063.7
2013-07-05,1051.55
2013-07-08,1027.95
2013-07-09,1034.35
2013-07-10,1038.55
2013-07-11,1057.95
2013-07-12,1060.4
2013-07-15,1061.05
2013-07-16,1003.45
2013-07-17,980.25
2013-07-18,984.45
2013-07-19,959.3
2013-07-22,974.45
2013-07-23,989.65
2013-07-24,951.8
2013-07-25,934.85
2013-07-26,931.55
2013-07-29,928.6
2013-07-30,926.05
2013-07-31,909.05
2013-08-01,914.2
2013-08-02,887.1
2013-08-05,902.45
2013-08-06,866.35
2013-08-07,868.25
2013-08-08,875.05
2013-08-12,867.05
2013-08-13,892.55
2013-08-14,905.95
2013-08-16,858.6
2013-08-19,815.35
2013-08-20,830.4
2013-08-21,829.55
2013-08-22,831.1
2013-08-23,853.05
2013-08-26,830.45
2013-08-27,802.6
2013-08-28,796.35
2013-08-29,807.2
2013-08-30,803.75
2013-09-02,826.6
2013-09-03,783.55
2013-09-04,817.75
2013-09-05,893.7
2013-09-06,958.4
2013-09-10,969.6
2013-09-11,969.75
2013-09-12,951.2
2013-09-13,941.95
2013-09-16,969.95
2013-09-17,962.45
2013-09-18,973.1
2013-09-19,1036.25
2013-09-20,987.25
2013-09-23,943.3
2013-09-24,944.85
2013-09-25,935.2
2013-09-26,946.1
2013-09-27,923.3
2013-09-30,883.65
2013-10-01,910.75
2013-10-03,937.85
2013-10-04,930.6
2013-10-07,916.2
2013-10-08,937.1
2013-10-09,950.4
2013-10-10,948.05
2013-10-11,997.05
2013-10-14,997.15
2013-10-15,974.55
2013-10-17,964.9
2013-10-18,1008.85
2013-10-21,1010.25
2013-10-22,1010.15
2013-10-23,1025.75
2013-10-24,1020.9
2013-10-25,1022.2
2013-10-28,1015.0
2013-10-29,1074.65
2013-10-30,1099.0
2013-10-31,1120.95
2013-11-01,1133.45
2013-11-03,1131.4
2013-11-05,1096.0
2013-11-06,1080.4
2013-11-07,1051.45
2013-11-08,1049.9
2013-11-11,1037.2
2013-11-12,1012.75
2013-11-13,1014.9
2013-11-14,1052.1
2013-11-18,1073.65
2013-11-19,1085.0
2013-11-20,1049.15
2013-11-21,1030.25
2013-11-22,1020.55
2013-11-25,1074.6
2013-11-26,1043.75
2013-11-27,1042.65
2013-11-28,1038.1
2013-11-29,1068.65
2013-12-02,1088.3
2013-12-03,1085.4
2013-12-04,1066.25
2013-12-05,1135.85
2013-12-06,1143.9
2013-12-09,1201.7
2013-12-10,1158.35
2013-12-11,1158.35
2013-12-12,1132.6
2013-12-13,1085.0
2013-12-16,1097.55
2013-12-17,1098.3
2013-12-18,1095.8
2013-12-19,1063.5
2013-12-20,1087.7
2013-12-23,1098.05
2013-12-24,1098.85
2013-12-26,1099.65
2013-12-27,1110.25
2013-12-30,1096.7
2013-12-31,1098.75
