Date,BSLGOLDETF
2013-01-01,3024.55
2013-01-02,3024.55
2013-01-03,3068.7
2013-01-04,3022.0
2013-01-07,3040.0
2013-01-08,3054.9
2013-01-09,3019.25
2013-01-10,3025.0
2013-01-11,3017.0
2013-01-14,3042.95
2013-01-15,3059.85
2013-01-16,3026.2
2013-01-17,3047.0
2013-01-18,3002.55
2013-01-21,2985.85
2013-01-22,3019.8
2013-01-23,3008.8
2013-01-24,2980.05
2013-01-25,2982.0
2013-01-28,2974.45
2013-01-29,2988.9
2013-01-30,2965.6
2013-01-31,2990.25
2013-02-01,2977.0
2013-02-04,2950.8
2013-02-05,2975.0
2013-02-06,2970.0
2013-02-07,2993.45
2013-02-08,2976.0
2013-02-11,2972.0
2013-02-12,2956.0
2013-02-13,2987.0
2013-02-14,2950.0
2013-02-15,2944.6
2013-02-18,2926.05
2013-02-19,2926.35
2013-02-20,2897.0
2013-02-21,2854.55
2013-02-22,2869.8
2013-02-25,2851.0
2013-02-26,2896.7
2013-02-27,2878.0
2013-02-28,2888.0
2013-03-01,2880.0
2013-03-04,2932.55
2013-03-05,2886.95
2013-03-06,2885.2
2013-03-07,2923.5
2013-03-08,2865.05
2013-03-11,2893.25
2013-03-12,2864.75
2013-03-13,2865.05
2013-03-14,2855.0
2013-03-15,2896.8
2013-03-18,2918.6
2013-03-19,2893.4
2013-03-20,2894.55
2013-03-21,2896.6
2013-03-22,2906.25
2013-03-25,2900.0
2013-03-26,2885.05
2013-03-28,2875.5
2013-04-01,2908.6
2013-04-02,2901.15
2013-04-03,2885.0
2013-04-04,2842.5
2013-04-05,2864.0
2013-04-08,2860.0
2013-04-09,2888.0
2013-04-10,2882.95
2013-04-11,2829.6
2013-04-12,2834.0
2013-04-15,2644.55
2013-04-16,2624.5
2013-04-17,2537.55
2013-04-18,2605.6
2013-04-22,2688.45
2013-04-23,2639.2
2013-04-25,2644.9
2013-04-26,2644.9
2013-04-29,2677.0
2013-04-30,2644.95
2013-05-02,2632.0
2013-05-03,2661.0
2013-05-06,2650.05
2013-05-07,2659.5
2013-05-08,2621.55
2013-05-09,2665.3
2013-05-10,2656.95
2013-05-11,2666.5
2013-05-13,2677.95
2013-05-14,2660.0
2013-05-15,2617.0
2013-05-16,2581.35
2013-05-17,2555.15
2013-05-20,2530.2
2013-05-21,2571.1
2013-05-22,2579.25
2013-05-23,2575.0
2013-05-24,2557.2
2013-05-27,2603.0
2013-05-28,2587.1
2013-05-29,2589.5
2013-05-30,2619.25
2013-05-31,2670.35
2013-06-03,2658.95
2013-06-04,2659.7
2013-06-05,2641.0
2013-06-06,2666.1
2013-06-07,2691.0
2013-06-10,2691.95
2013-06-11,2680.0
2013-06-12,2657.5
2013-06-13,2656.0
2013-06-14,2634.85
2013-06-17,2682.0
2013-06-18,2705.7
2013-06-19,2717.5
2013-06-20,2646.5
2013-06-21,2620.0
2013-06-24,2592.8
2013-06-25,2620.0
2013-06-26,2560.0
2013-06-27,2552.0
2013-06-28,2489.35
2013-07-01,2501.15
2013-07-02,2543.85
2013-07-03,2568.65
2013-07-04,2545.25
2013-07-05,2520.0
2013-07-08,2540.7
2013-07-09,2594.0
2013-07-10,2535.55
2013-07-11,2611.0
2013-07-12,2581.15
2013-07-15,2596.0
2013-07-16,2593.2
2013-07-17,2585.0
2013-07-18,2605.0
2013-07-19,2610.0
2013-07-22,2637.05
2013-07-23,2709.5
2013-07-24,2716.65
2013-07-25,2683.0
2013-07-26,2700.0
2013-07-29,2725.0
2013-07-30,2750.0
2013-07-31,2841.95
2013-08-01,2750.2
2013-08-02,2682.8
2013-08-05,2750.0
2013-08-06,2738.3
2013-08-07,2731.15
2013-08-08,2725.0
2013-08-12,2796.05
2013-08-13,2880.55
2013-08-14,2841.0
2013-08-16,2985.3
2013-08-19,3030.0
2013-08-20,2999.1
2013-08-21,3001.75
2013-08-22,3055.0
2013-08-23,3033.1
2013-08-26,3064.3
2013-08-27,3038.65
2013-08-28,3028.2
2013-08-29,3105.8
2013-08-30,3042.45
2013-09-02,3013.5
2013-09-03,3115.0
