Date,DISHTV
2013-01-01,77.5
2013-01-02,77.75
2013-01-03,78.1
2013-01-04,78.1
2013-01-07,78.5
2013-01-08,78.1
2013-01-09,79.25
2013-01-10,77.7
2013-01-11,77.25
2013-01-14,77.0
2013-01-15,78.15
2013-01-16,77.4
2013-01-17,79.05
2013-01-18,77.9
2013-01-21,77.4
2013-01-22,73.65
2013-01-23,74.6
2013-01-24,72.65
2013-01-25,74.15
2013-01-28,74.0
2013-01-29,72.4
2013-01-30,71.8
2013-01-31,71.95
2013-02-01,73.55
2013-02-04,74.4
2013-02-05,73.15
2013-02-06,73.95
2013-02-07,72.8
2013-02-08,72.15
2013-02-11,73.2
2013-02-12,72.7
2013-02-13,71.95
2013-02-14,68.5
2013-02-15,67.7
2013-02-18,69.15
2013-02-19,70.25
2013-02-20,69.1
2013-02-21,67.1
2013-02-22,66.5
2013-02-25,65.35
2013-02-26,63.35
2013-02-27,66.05
2013-02-28,65.25
2013-03-01,68.2
2013-03-04,68.25
2013-03-05,69.15
2013-03-06,69.8
2013-03-07,71.0
2013-03-08,70.9
2013-03-11,69.05
2013-03-12,67.2
2013-03-13,66.6
2013-03-14,65.75
2013-03-15,64.9
2013-03-18,65.05
2013-03-19,63.55
2013-03-20,62.0
2013-03-21,61.15
2013-03-22,63.9
2013-03-25,64.5
2013-03-26,65.25
2013-03-28,67.1
2013-04-01,68.0
2013-04-02,69.95
2013-04-03,69.6
2013-04-04,68.9
2013-04-05,69.55
2013-04-08,69.55
2013-04-09,69.45
2013-04-10,68.55
2013-04-11,70.1
2013-04-12,67.25
2013-04-15,67.55
2013-04-16,67.3
2013-04-17,69.7
2013-04-18,70.0
2013-04-22,70.0
2013-04-23,68.45
2013-04-25,69.95
2013-04-26,68.05
2013-04-29,67.2
2013-04-30,67.7
2013-05-02,67.55
2013-05-03,67.0
2013-05-06,66.75
2013-05-07,67.15
2013-05-08,68.85
2013-05-09,67.55
2013-05-10,67.0
2013-05-11,67.2
2013-05-13,66.1
2013-05-14,65.2
2013-05-15,66.0
2013-05-16,65.5
2013-05-17,67.45
2013-05-20,68.55
2013-05-21,70.45
2013-05-22,68.0
2013-05-23,64.3
2013-05-24,65.05
2013-05-27,65.4
2013-05-28,66.75
2013-05-29,67.7
2013-05-30,65.8
2013-05-31,64.8
2013-06-03,66.3
2013-06-04,63.8
2013-06-05,62.95
2013-06-06,61.8
2013-06-07,61.7
2013-06-10,60.95
2013-06-11,61.15
2013-06-12,61.25
2013-06-13,63.05
2013-06-14,63.9
2013-06-17,65.95
2013-06-18,67.25
2013-06-19,66.95
2013-06-20,65.0
2013-06-21,62.3
2013-06-24,60.6
2013-06-25,58.9
2013-06-26,59.15
2013-06-27,60.4
2013-06-28,60.95
2013-07-01,61.95
2013-07-02,63.9
2013-07-03,61.95
2013-07-04,61.8
2013-07-05,60.4
2013-07-08,58.9
2013-07-09,59.0
2013-07-10,59.0
2013-07-11,59.5
2013-07-12,59.3
2013-07-15,58.8
2013-07-16,58.75
2013-07-17,57.8
2013-07-18,57.8
2013-07-19,57.05
2013-07-22,57.05
2013-07-23,56.75
2013-07-24,56.05
2013-07-25,57.1
2013-07-26,52.65
2013-07-29,51.35
2013-07-30,49.2
2013-07-31,50.15
2013-08-01,49.9
2013-08-02,49.25
2013-08-05,49.15
2013-08-06,48.15
2013-08-07,47.75
2013-08-08,46.9
2013-08-12,46.5
2013-08-13,46.4
2013-08-14,48.45
2013-08-16,46.05
2013-08-19,45.05
2013-08-20,44.4
2013-08-21,43.05
2013-08-22,43.1
2013-08-23,42.8
2013-08-26,43.0
2013-08-27,42.2
2013-08-28,42.15
2013-08-29,42.25
2013-08-30,42.2
2013-09-02,42.2
2013-09-03,40.5
2013-09-04,40.4
2013-09-05,41.8
2013-09-06,43.0
2013-09-10,43.4
2013-09-11,43.5
2013-09-12,45.3
2013-09-13,46.75
2013-09-16,46.3
2013-09-17,46.05
2013-09-18,47.3
2013-09-19,48.4
2013-09-20,48.8
2013-09-23,49.4
2013-09-24,49.25
2013-09-25,49.65
2013-09-26,49.65
2013-09-27,50.2
2013-09-30,50.5
2013-10-01,52.0
2013-10-03,52.8
2013-10-04,51.5
2013-10-07,51.45
2013-10-08,52.35
2013-10-09,52.75
2013-10-10,52.4
2013-10-11,54.25
2013-10-14,53.6
2013-10-15,53.65
2013-10-17,52.9
2013-10-18,52.65
2013-10-21,52.75
2013-10-22,51.1
2013-10-23,51.45
2013-10-24,50.7
2013-10-25,50.9
2013-10-28,50.0
2013-10-29,50.95
2013-10-30,51.3
2013-10-31,53.5
2013-11-01,54.0
2013-11-03,54.85
2013-11-05,55.25
2013-11-06,55.6
2013-11-07,55.3
2013-11-08,54.8
2013-11-11,54.05
2013-11-12,53.05
2013-11-13,52.55
2013-11-14,54.2
2013-11-18,54.15
2013-11-19,53.25
2013-11-20,53.45
2013-11-21,52.15
2013-11-22,51.2
2013-11-25,51.1
2013-11-26,51.6
2013-11-27,51.05
2013-11-28,55.45
2013-11-29,55.75
2013-12-02,55.5
2013-12-03,57.8
2013-12-04,60.45
2013-12-05,59.95
2013-12-06,61.0
2013-12-09,61.2
2013-12-10,60.2
2013-12-11,62.0
2013-12-12,61.5
2013-12-13,60.8
2013-12-16,61.8
2013-12-17,61.95
2013-12-18,61.9
2013-12-19,59.5
2013-12-20,58.95
2013-12-23,59.65
2013-12-24,59.7
2013-12-26,60.3
2013-12-27,59.7
2013-12-30,58.6
2013-12-31,60.65
