Date,VARDHACRLC
2013-01-01,11.65
2013-01-02,11.4
2013-01-03,11.5
2013-01-04,11.4
2013-01-07,11.7
2013-01-08,11.5
2013-01-09,11.4
2013-01-10,11.4
2013-01-11,11.4
2013-01-14,11.7
2013-01-15,11.75
2013-01-16,11.75
2013-01-17,11.8
2013-01-18,11.75
2013-01-21,11.7
2013-01-22,11.75
2013-01-23,11.75
2013-01-24,11.75
2013-01-25,11.75
2013-01-28,12.0
2013-01-29,11.8
2013-01-30,11.75
2013-01-31,11.8
2013-02-01,11.8
2013-02-04,11.95
2013-02-05,12.0
2013-02-06,11.8
2013-02-07,11.75
2013-02-08,12.35
2013-02-11,12.1
2013-02-12,12.25
2013-02-13,12.25
2013-02-14,12.25
2013-02-15,12.25
2013-02-18,12.25
2013-02-19,12.25
2013-02-20,12.25
2013-02-21,12.25
2013-02-22,12.25
2013-02-25,12.25
2013-02-26,12.25
2013-02-27,12.25
2013-02-28,12.25
2013-03-01,12.25
2013-03-04,12.25
2013-03-05,12.25
2013-03-06,12.25
2013-03-07,12.25
2013-03-08,12.25
2013-03-11,12.25
2013-03-12,12.25
2013-03-13,12.25
2013-03-14,12.25
2013-03-15,12.25
2013-03-18,12.25
2013-03-19,12.25
2013-03-20,12.35
2013-03-21,12.25
2013-03-22,12.5
2013-03-25,12.5
2013-03-26,12.55
2013-03-28,12.5
2013-04-01,12.5
2013-04-02,12.5
2013-04-03,12.5
2013-04-04,12.5
2013-04-05,12.5
2013-04-08,12.5
2013-04-09,12.5
2013-04-10,12.5
2013-04-11,12.5
2013-04-12,12.6
2013-04-15,12.5
2013-04-16,12.5
2013-04-17,12.5
2013-04-18,12.5
2013-04-22,12.5
2013-04-23,12.5
2013-04-25,12.5
2013-04-26,12.5
2013-04-29,12.5
2013-04-30,12.5
2013-05-02,12.5
2013-05-03,12.5
2013-05-06,12.5
2013-05-07,12.5
2013-05-08,12.5
2013-05-09,11.8
2013-05-10,11.9
2013-05-11,12.0
2013-05-13,11.5
2013-05-14,11.2
2013-05-15,10.9
2013-05-16,11.05
2013-05-17,11.1
2013-05-20,10.6
2013-05-21,10.75
2013-05-22,10.6
2013-05-23,10.6
2013-05-24,10.6
2013-05-27,10.4
2013-05-28,10.5
2013-05-29,10.5
2013-05-30,10.6
2013-05-31,10.7
2013-06-03,10.65
2013-06-04,11.05
2013-06-05,11.0
2013-06-06,11.2
2013-06-07,12.0
2013-06-10,11.2
2013-06-11,11.2
2013-06-12,11.2
2013-06-13,11.0
2013-06-14,11.45
2013-06-17,11.5
2013-06-18,11.35
2013-06-19,11.4
2013-06-20,11.65
2013-06-21,11.35
2013-06-24,11.45
2013-06-25,11.5
2013-06-26,11.5
2013-06-27,11.5
2013-06-28,11.5
2013-07-01,11.35
2013-07-02,12.0
2013-07-03,12.0
2013-07-04,12.1
2013-07-05,12.25
2013-07-08,12.25
2013-07-09,12.35
2013-07-10,12.55
2013-07-11,12.75
2013-07-12,12.45
2013-07-15,12.5
2013-07-16,12.5
2013-07-17,12.5
2013-07-18,12.3
2013-07-19,12.5
2013-07-22,12.2
2013-07-23,13.2
2013-07-24,12.85
2013-07-25,12.6
2013-07-26,12.85
2013-07-29,12.6
2013-07-30,12.2
2013-07-31,11.65
2013-08-01,11.75
2013-08-02,10.6
2013-08-05,10.05
2013-08-06,9.55
2013-08-07,9.8
2013-08-08,11.2
2013-08-12,11.1
2013-08-13,11.5
2013-08-14,12.1
2013-08-16,12.0
2013-08-19,12.0
2013-08-20,11.95
2013-08-21,12.0
2013-08-22,12.0
2013-08-23,12.0
2013-08-26,12.3
2013-08-27,12.1
2013-08-28,12.2
2013-08-29,12.25
2013-08-30,12.15
2013-09-02,12.0
2013-09-03,11.95
2013-09-04,11.95
2013-09-05,12.3
2013-09-06,12.3
2013-09-10,12.45
2013-09-11,12.4
2013-09-12,12.2
2013-09-13,12.3
2013-09-16,12.55
2013-09-17,12.3
2013-09-18,12.5
2013-09-19,12.35
2013-09-20,12.35
2013-09-23,12.3
2013-09-24,12.2
2013-09-25,12.2
2013-09-26,12.15
2013-09-27,12.25
2013-09-30,12.35
2013-10-01,12.25
2013-10-03,12.4
2013-10-04,12.4
2013-10-07,12.3
2013-10-08,12.3
2013-10-09,12.5
2013-10-10,12.35
2013-10-11,12.3
2013-10-14,12.8
2013-10-15,12.45
2013-10-17,12.2
2013-10-18,12.3
2013-10-21,12.25
2013-10-22,12.3
2013-10-23,12.3
2013-10-24,12.2
2013-10-25,12.25
2013-10-28,12.3
2013-10-29,13.15
2013-10-30,12.65
2013-10-31,13.0
2013-11-01,12.55
2013-11-03,12.95
2013-11-05,13.6
2013-11-06,13.6
2013-11-07,14.6
2013-11-08,15.25
2013-11-11,15.85
2013-11-12,16.3
2013-11-13,16.45
2013-11-14,16.5
2013-11-18,16.55
2013-11-19,17.0
2013-11-20,17.25
2013-11-21,17.95
2013-11-22,17.2
2013-11-25,16.05
2013-11-26,15.7
2013-11-27,15.4
2013-11-28,15.85
2013-11-29,15.65
2013-12-02,15.45
2013-12-03,15.4
2013-12-04,15.2
2013-12-05,15.15
2013-12-06,15.0
2013-12-09,15.15
2013-12-10,14.75
2013-12-11,14.55
2013-12-12,14.45
2013-12-13,14.45
2013-12-16,14.8
2013-12-17,14.6
2013-12-18,14.9
2013-12-19,14.75
2013-12-20,14.95
2013-12-23,14.9
2013-12-24,15.15
2013-12-26,15.5
2013-12-27,15.6
2013-12-30,15.5
2013-12-31,15.5
