Date,UNITECH
2013-01-01,34.9
2013-01-02,34.9
2013-01-03,35.1
2013-01-04,35.9
2013-01-07,35.75
2013-01-08,37.9
2013-01-09,37.4
2013-01-10,38.85
2013-01-11,38.25
2013-01-14,40.0
2013-01-15,39.65
2013-01-16,37.9
2013-01-17,38.85
2013-01-18,38.8
2013-01-21,38.15
2013-01-22,37.1
2013-01-23,36.6
2013-01-24,34.05
2013-01-25,36.45
2013-01-28,37.3
2013-01-29,35.05
2013-01-30,35.95
2013-01-31,36.85
2013-02-01,36.6
2013-02-04,35.6
2013-02-05,35.2
2013-02-06,36.55
2013-02-07,35.65
2013-02-08,35.15
2013-02-11,34.9
2013-02-12,28.75
2013-02-13,28.8
2013-02-14,29.7
2013-02-15,30.4
2013-02-18,30.25
2013-02-19,30.9
2013-02-20,30.05
2013-02-21,29.8
2013-02-22,29.95
2013-02-25,29.3
2013-02-26,28.65
2013-02-27,29.55
2013-02-28,27.2
2013-03-01,26.05
2013-03-04,26.1
2013-03-05,26.3
2013-03-06,27.1
2013-03-07,27.35
2013-03-08,27.55
2013-03-11,28.15
2013-03-12,27.3
2013-03-13,27.95
2013-03-14,29.65
2013-03-15,28.6
2013-03-18,27.7
2013-03-19,26.65
2013-03-20,24.8
2013-03-21,23.25
2013-03-22,24.0
2013-03-25,22.85
2013-03-26,22.15
2013-03-28,23.55
2013-04-01,25.0
2013-04-02,25.15
2013-04-03,24.55
2013-04-04,23.75
2013-04-05,23.55
2013-04-08,23.7
2013-04-09,23.5
2013-04-10,23.5
2013-04-11,24.0
2013-04-12,24.35
2013-04-15,24.6
2013-04-16,25.95
2013-04-17,27.0
2013-04-18,27.65
2013-04-22,30.0
2013-04-23,29.15
2013-04-25,28.85
2013-04-26,26.95
2013-04-29,27.85
2013-04-30,26.9
2013-05-02,28.45
2013-05-03,28.65
2013-05-06,28.7
2013-05-07,29.3
2013-05-08,29.25
2013-05-09,29.25
2013-05-10,28.9
2013-05-11,28.85
2013-05-13,27.7
2013-05-14,27.4
2013-05-15,29.15
2013-05-16,29.7
2013-05-17,30.65
2013-05-20,30.25
2013-05-21,29.15
2013-05-22,28.3
2013-05-23,25.2
2013-05-24,25.3
2013-05-27,26.0
2013-05-28,26.15
2013-05-29,25.0
2013-05-30,23.95
2013-05-31,23.7
2013-06-03,24.3
2013-06-04,23.9
2013-06-05,24.3
2013-06-06,24.15
2013-06-07,23.55
2013-06-10,23.0
2013-06-11,22.05
2013-06-12,22.15
2013-06-13,21.0
2013-06-14,21.75
2013-06-17,21.95
2013-06-18,21.95
2013-06-19,22.25
2013-06-20,21.05
2013-06-21,20.65
2013-06-24,19.95
2013-06-25,20.2
2013-06-26,19.75
2013-06-27,19.95
2013-06-28,21.1
2013-07-01,23.25
2013-07-02,22.75
2013-07-03,20.45
2013-07-04,21.05
2013-07-05,20.95
2013-07-08,20.2
2013-07-09,20.3
2013-07-10,19.95
2013-07-11,20.55
2013-07-12,20.25
2013-07-15,21.3
2013-07-16,19.95
2013-07-17,19.55
2013-07-18,20.15
2013-07-19,19.6
2013-07-22,18.9
2013-07-23,19.0
2013-07-24,18.45
2013-07-25,18.2
2013-07-26,17.95
2013-07-29,17.15
2013-07-30,16.5
2013-07-31,16.45
2013-08-01,15.9
2013-08-02,15.2
2013-08-05,15.7
2013-08-06,14.95
2013-08-07,17.15
2013-08-08,17.1
2013-08-12,17.25
2013-08-13,17.8
2013-08-14,18.2
2013-08-16,16.45
2013-08-19,16.15
2013-08-20,17.6
2013-08-21,16.2
2013-08-22,17.0
2013-08-23,16.7
2013-08-26,17.35
2013-08-27,16.5
2013-08-28,15.95
2013-08-29,16.1
2013-08-30,16.55
2013-09-02,17.3
2013-09-03,16.2
2013-09-04,16.5
2013-09-05,17.0
2013-09-06,16.9
2013-09-10,17.15
2013-09-11,17.4
2013-09-12,17.75
2013-09-13,18.1
2013-09-16,17.4
2013-09-17,17.1
2013-09-18,17.15
2013-09-19,18.4
2013-09-20,17.3
2013-09-23,16.5
2013-09-24,16.7
2013-09-25,16.7
2013-09-26,16.55
2013-09-27,16.25
2013-09-30,15.7
2013-10-01,15.8
2013-10-03,16.35
2013-10-04,16.55
2013-10-07,16.3
2013-10-08,16.7
2013-10-09,18.0
2013-10-10,17.95
2013-10-11,19.3
2013-10-14,19.1
2013-10-15,18.35
2013-10-17,17.75
2013-10-18,18.15
2013-10-21,18.8
2013-10-22,18.5
2013-10-23,18.3
2013-10-24,17.4
2013-10-25,17.25
2013-10-28,16.7
2013-10-29,17.35
2013-10-30,17.25
2013-10-31,17.45
2013-11-01,18.05
2013-11-03,18.15
2013-11-05,18.0
2013-11-06,17.75
2013-11-07,16.85
2013-11-08,17.05
2013-11-11,16.55
2013-11-12,16.3
2013-11-13,16.0
2013-11-14,16.6
2013-11-18,17.0
2013-11-19,17.6
2013-11-20,17.25
2013-11-21,17.05
2013-11-22,16.7
2013-11-25,16.95
2013-11-26,15.6
2013-11-27,15.7
2013-11-28,16.25
2013-11-29,16.8
2013-12-02,16.55
2013-12-03,17.25
2013-12-04,15.65
2013-12-05,15.8
2013-12-06,15.85
2013-12-09,16.0
2013-12-10,15.8
2013-12-11,15.6
2013-12-12,15.6
2013-12-13,15.4
2013-12-16,15.15
2013-12-17,14.9
2013-12-18,15.25
2013-12-19,14.95
2013-12-20,15.25
2013-12-23,15.8
2013-12-24,15.7
2013-12-26,15.6
2013-12-27,15.6
2013-12-30,15.35
2013-12-31,15.3
