Date,VISAKAIND
2013-01-01,133.7
2013-01-02,133.2
2013-01-03,134.05
2013-01-04,136.15
2013-01-07,138.65
2013-01-08,138.65
2013-01-09,137.7
2013-01-10,136.3
2013-01-11,132.9
2013-01-14,134.3
2013-01-15,133.6
2013-01-16,132.5
2013-01-17,133.55
2013-01-18,131.7
2013-01-21,130.55
2013-01-22,130.9
2013-01-23,129.0
2013-01-24,125.15
2013-01-25,124.9
2013-01-28,125.8
2013-01-29,125.05
2013-01-30,124.4
2013-01-31,123.0
2013-02-01,125.7
2013-02-04,122.5
2013-02-05,119.2
2013-02-06,119.0
2013-02-07,115.5
2013-02-08,116.1
2013-02-11,114.5
2013-02-12,112.8
2013-02-13,115.1
2013-02-14,111.95
2013-02-15,111.45
2013-02-18,110.8
2013-02-19,111.55
2013-02-20,113.4
2013-02-21,110.8
2013-02-22,113.05
2013-02-25,112.2
2013-02-26,110.4
2013-02-27,112.45
2013-02-28,110.65
2013-03-01,111.9
2013-03-04,108.6
2013-03-05,110.65
2013-03-06,109.25
2013-03-07,110.0
2013-03-08,111.8
2013-03-11,111.15
2013-03-12,111.95
2013-03-13,110.75
2013-03-14,110.15
2013-03-15,108.95
2013-03-18,108.05
2013-03-19,106.85
2013-03-20,105.25
2013-03-21,103.1
2013-03-22,100.2
2013-03-25,98.05
2013-03-26,96.5
2013-03-28,97.6
2013-04-01,101.8
2013-04-02,107.0
2013-04-03,107.05
2013-04-04,103.5
2013-04-05,101.8
2013-04-08,101.8
2013-04-09,101.5
2013-04-10,100.95
2013-04-11,101.5
2013-04-12,100.6
2013-04-15,103.0
2013-04-16,103.0
2013-04-17,102.35
2013-04-18,103.0
2013-04-22,104.25
2013-04-23,102.5
2013-04-25,102.85
2013-04-26,100.85
2013-04-29,103.9
2013-04-30,102.95
2013-05-02,102.3
2013-05-03,102.4
2013-05-06,103.4
2013-05-07,104.1
2013-05-08,104.55
2013-05-09,104.0
2013-05-10,102.7
2013-05-11,104.0
2013-05-13,101.5
2013-05-14,101.2
2013-05-15,102.1
2013-05-16,103.45
2013-05-17,103.45
2013-05-20,104.5
2013-05-21,103.95
2013-05-22,102.5
2013-05-23,100.85
2013-05-24,100.65
2013-05-27,100.1
2013-05-28,99.15
2013-05-29,99.5
2013-05-30,98.2
2013-05-31,97.8
2013-06-03,97.2
2013-06-04,96.55
2013-06-05,96.95
2013-06-06,96.0
2013-06-07,95.75
2013-06-10,93.05
2013-06-11,92.55
2013-06-12,92.75
2013-06-13,92.8
2013-06-14,93.65
2013-06-17,93.2
2013-06-18,92.05
2013-06-19,93.0
2013-06-20,91.5
2013-06-21,88.8
2013-06-24,87.15
2013-06-25,85.9
2013-06-26,88.0
2013-06-27,84.5
2013-06-28,86.55
2013-07-01,87.35
2013-07-02,86.8
2013-07-03,85.7
2013-07-04,81.45
2013-07-05,82.6
2013-07-08,81.95
2013-07-09,82.9
2013-07-10,83.0
2013-07-11,83.1
2013-07-12,82.9
2013-07-15,84.0
2013-07-16,83.55
2013-07-17,83.9
2013-07-18,83.5
2013-07-19,83.25
2013-07-22,82.35
2013-07-23,82.8
2013-07-24,80.2
2013-07-25,79.0
2013-07-26,77.85
2013-07-29,73.5
2013-07-30,72.0
2013-07-31,70.4
2013-08-01,68.05
2013-08-02,68.35
2013-08-05,68.7
2013-08-06,66.15
2013-08-07,68.15
2013-08-08,69.75
2013-08-12,72.0
2013-08-13,80.4
2013-08-14,83.45
2013-08-16,79.1
2013-08-19,78.65
2013-08-20,77.75
2013-08-21,78.4
2013-08-22,78.5
2013-08-23,80.05
2013-08-26,78.85
2013-08-27,77.35
2013-08-28,77.0
2013-08-29,75.35
2013-08-30,76.2
2013-09-02,76.05
2013-09-03,74.45
2013-09-04,75.05
2013-09-05,82.6
2013-09-06,79.5
2013-09-10,80.4
2013-09-11,80.75
2013-09-12,79.35
2013-09-13,78.7
2013-09-16,78.1
2013-09-17,78.15
2013-09-18,78.7
2013-09-19,80.05
2013-09-20,79.25
2013-09-23,78.45
2013-09-24,79.4
2013-09-25,77.65
2013-09-26,77.3
2013-09-27,78.0
2013-09-30,76.85
2013-10-01,77.55
2013-10-03,77.75
2013-10-04,77.55
2013-10-07,78.45
2013-10-08,79.05
2013-10-09,81.9
2013-10-10,83.7
2013-10-11,83.55
2013-10-14,86.4
2013-10-15,87.1
2013-10-17,84.05
2013-10-18,87.8
2013-10-21,87.75
2013-10-22,86.75
2013-10-23,84.85
2013-10-24,85.6
2013-10-25,84.3
2013-10-28,80.6
2013-10-29,81.5
2013-10-30,80.05
2013-10-31,80.65
2013-11-01,82.35
2013-11-03,85.0
2013-11-05,87.25
2013-11-06,85.7
2013-11-07,78.55
2013-11-08,75.85
2013-11-11,75.35
2013-11-12,76.3
2013-11-13,75.05
2013-11-14,76.1
2013-11-18,76.5
2013-11-19,77.3
2013-11-20,76.9
2013-11-21,76.05
2013-11-22,75.55
2013-11-25,80.15
2013-11-26,81.25
2013-11-27,81.8
2013-11-28,89.0
2013-11-29,88.65
2013-12-02,87.7
2013-12-03,84.4
2013-12-04,84.6
2013-12-05,83.8
2013-12-06,81.2
2013-12-09,81.9
2013-12-10,79.8
2013-12-11,80.4
2013-12-12,78.85
2013-12-13,77.8
2013-12-16,77.15
2013-12-17,76.85
2013-12-18,78.05
2013-12-19,77.4
2013-12-20,78.8
2013-12-23,79.5
2013-12-24,80.4
2013-12-26,81.95
2013-12-27,86.45
2013-12-30,85.15
2013-12-31,84.4
