Date,GOENKA
2013-01-01,27.55
2013-01-02,27.8
2013-01-03,29.5
2013-01-04,29.85
2013-01-07,29.55
2013-01-08,30.0
2013-01-09,30.4
2013-01-10,29.15
2013-01-11,27.85
2013-01-14,30.0
2013-01-15,32.75
2013-01-16,33.7
2013-01-17,32.05
2013-01-18,30.25
2013-01-21,30.45
2013-01-22,30.9
2013-01-23,30.3
2013-01-24,30.0
2013-01-25,29.7
2013-01-28,30.4
2013-01-29,30.7
2013-01-30,30.95
2013-01-31,31.45
2013-02-01,31.7
2013-02-04,32.25
2013-02-05,33.4
2013-02-06,33.65
2013-02-07,33.4
2013-02-08,33.8
2013-02-11,33.85
2013-02-12,33.95
2013-02-13,32.65
2013-02-14,33.45
2013-02-15,33.4
2013-02-18,33.4
2013-02-19,33.9
2013-02-20,34.0
2013-02-21,32.85
2013-02-22,33.55
2013-02-25,32.65
2013-02-26,31.5
2013-02-27,31.95
2013-02-28,28.25
2013-03-01,29.25
2013-03-04,29.3
2013-03-05,29.8
2013-03-06,30.2
2013-03-07,30.9
2013-03-08,31.2
2013-03-11,31.2
2013-03-12,34.35
2013-03-13,32.75
2013-03-14,31.8
2013-03-15,32.0
2013-03-18,30.55
2013-03-19,30.25
2013-03-20,29.5
2013-03-21,28.2
2013-03-22,28.85
2013-03-25,27.25
2013-03-26,26.5
2013-03-28,27.8
2013-04-01,28.2
2013-04-02,29.4
2013-04-03,29.05
2013-04-04,28.4
2013-04-05,28.85
2013-04-08,29.2
2013-04-09,29.2
2013-04-10,29.05
2013-04-11,28.85
2013-04-12,28.95
2013-04-15,27.75
2013-04-16,27.2
2013-04-17,27.45
2013-04-18,27.1
2013-04-22,27.35
2013-04-23,26.95
2013-04-25,27.4
2013-04-26,26.75
2013-04-29,27.45
2013-04-30,27.05
2013-05-02,27.0
2013-05-03,27.25
2013-05-06,27.35
2013-05-07,27.25
2013-05-08,27.65
2013-05-09,27.6
2013-05-10,27.25
2013-05-11,27.0
2013-05-13,28.6
2013-05-14,27.6
2013-05-15,27.45
2013-05-16,27.3
2013-05-17,27.85
2013-05-20,27.85
2013-05-21,26.95
2013-05-22,27.1
2013-05-23,26.65
2013-05-24,26.75
2013-05-27,26.5
2013-05-28,27.3
2013-05-29,27.85
2013-05-30,28.1
2013-05-31,27.0
2013-06-03,26.85
2013-06-04,26.75
2013-06-05,26.95
2013-06-06,26.75
2013-06-07,26.8
2013-06-10,26.7
2013-06-11,25.95
2013-06-12,25.5
2013-06-13,25.5
2013-06-14,25.4
2013-06-17,25.65
2013-06-18,25.5
2013-06-19,25.7
2013-06-20,25.3
2013-06-21,25.1
2013-06-24,21.95
2013-06-25,21.6
2013-06-26,22.2
2013-06-27,23.8
2013-06-28,22.2
2013-07-01,22.7
2013-07-02,22.3
2013-07-03,21.05
2013-07-04,22.55
2013-07-05,23.75
2013-07-08,24.65
2013-07-09,26.0
2013-07-10,24.9
2013-07-11,25.4
2013-07-12,25.45
2013-07-15,24.4
2013-07-16,23.6
2013-07-17,24.15
2013-07-18,24.85
2013-07-19,24.5
2013-07-22,23.7
2013-07-23,23.35
2013-07-24,22.8
2013-07-25,22.65
2013-07-26,21.75
2013-07-29,21.35
2013-07-30,20.0
2013-07-31,20.5
2013-08-01,20.75
2013-08-02,20.75
2013-08-05,20.5
2013-08-06,18.9
2013-08-07,19.25
2013-08-08,18.5
2013-08-12,17.9
2013-08-13,16.95
2013-08-14,17.75
2013-08-16,17.65
2013-08-19,17.25
2013-08-20,17.2
2013-08-21,16.85
2013-08-22,16.4
2013-08-23,15.95
2013-08-26,15.7
2013-08-27,15.15
2013-08-28,15.15
2013-08-29,14.9
2013-08-30,14.85
2013-09-02,14.45
2013-09-03,13.95
2013-09-04,14.05
2013-09-05,14.75
2013-09-06,16.7
2013-09-10,16.8
2013-09-11,19.5
2013-09-12,23.05
2013-09-13,22.2
2013-09-16,21.3
2013-09-17,22.9
2013-09-18,21.95
2013-09-19,23.65
2013-09-20,22.2
2013-09-23,21.7
2013-09-24,21.75
2013-09-25,20.5
2013-09-26,21.3
2013-09-27,20.0
2013-09-30,19.15
2013-10-01,20.5
2013-10-03,19.25
2013-10-04,18.9
2013-10-07,18.1
2013-10-08,17.85
2013-10-09,17.75
2013-10-10,17.5
2013-10-11,17.05
2013-10-14,17.15
2013-10-15,17.55
2013-10-17,17.15
2013-10-18,17.4
2013-10-21,17.4
2013-10-22,17.45
2013-10-23,17.4
2013-10-24,17.7
2013-10-25,17.7
2013-10-28,17.75
2013-10-29,17.35
2013-10-30,16.95
2013-10-31,16.55
2013-11-01,14.9
2013-11-03,15.4
2013-11-05,14.15
2013-11-06,12.75
2013-11-07,12.55
2013-11-08,12.2
2013-11-11,12.1
2013-11-12,12.5
2013-11-13,12.0
2013-11-14,12.15
2013-11-18,12.15
2013-11-19,12.0
2013-11-20,11.85
2013-11-21,11.9
2013-11-22,11.95
2013-11-25,11.7
2013-11-26,11.15
2013-11-27,10.6
2013-11-28,10.1
2013-11-29,10.45
2013-12-02,9.95
2013-12-03,9.65
2013-12-04,9.45
2013-12-05,9.0
2013-12-06,8.55
2013-12-09,8.15
2013-12-10,7.95
2013-12-11,8.25
2013-12-12,7.85
2013-12-13,7.5
2013-12-16,7.15
2013-12-17,6.8
2013-12-18,6.5
2013-12-19,6.25
2013-12-20,6.45
2013-12-23,6.6
2013-12-24,6.5
2013-12-26,6.45
2013-12-27,6.15
2013-12-30,6.25
2013-12-31,6.15
