Date,ITI
2013-01-01,22.45
2013-01-02,22.65
2013-01-03,22.55
2013-01-04,22.75
2013-01-07,23.3
2013-01-08,24.0
2013-01-09,23.6
2013-01-10,23.95
2013-01-11,23.0
2013-01-14,23.2
2013-01-15,23.5
2013-01-16,23.05
2013-01-17,23.2
2013-01-18,22.9
2013-01-21,24.65
2013-01-22,23.8
2013-01-23,23.35
2013-01-24,22.55
2013-01-25,22.75
2013-01-28,22.75
2013-01-29,22.65
2013-01-30,22.65
2013-01-31,22.75
2013-02-01,22.65
2013-02-04,22.25
2013-02-05,22.2
2013-02-06,22.5
2013-02-07,22.35
2013-02-08,22.15
2013-02-11,23.05
2013-02-12,22.3
2013-02-13,22.25
2013-02-14,21.65
2013-02-15,21.45
2013-02-18,22.1
2013-02-19,22.55
2013-02-20,22.45
2013-02-21,22.2
2013-02-22,22.1
2013-02-25,21.3
2013-02-26,21.25
2013-02-27,21.45
2013-02-28,19.25
2013-03-01,19.0
2013-03-04,18.15
2013-03-05,18.45
2013-03-06,18.7
2013-03-07,18.65
2013-03-08,18.7
2013-03-11,18.7
2013-03-12,19.0
2013-03-13,18.55
2013-03-14,18.6
2013-03-15,18.5
2013-03-18,18.0
2013-03-19,17.25
2013-03-20,16.25
2013-03-21,16.3
2013-03-22,16.65
2013-03-25,16.35
2013-03-26,16.2
2013-03-28,16.0
2013-04-01,17.35
2013-04-02,17.75
2013-04-03,17.2
2013-04-04,17.0
2013-04-05,16.7
2013-04-08,16.75
2013-04-09,16.8
2013-04-10,17.05
2013-04-11,18.5
2013-04-12,18.0
2013-04-15,18.05
2013-04-16,18.3
2013-04-17,20.3
2013-04-18,20.3
2013-04-22,20.3
2013-04-23,19.3
2013-04-25,18.9
2013-04-26,18.3
2013-04-29,18.55
2013-04-30,18.2
2013-05-02,18.35
2013-05-03,18.15
2013-05-06,18.65
2013-05-07,19.1
2013-05-08,18.85
2013-05-09,19.35
2013-05-10,20.2
2013-05-11,20.35
2013-05-13,19.05
2013-05-14,19.05
2013-05-15,19.0
2013-05-16,18.85
2013-05-17,18.85
2013-05-20,19.3
2013-05-21,18.8
2013-05-22,18.8
2013-05-23,18.05
2013-05-24,18.0
2013-05-27,17.9
2013-05-28,17.9
2013-05-29,17.55
2013-05-30,17.3
2013-05-31,16.95
2013-06-03,16.95
2013-06-04,16.85
2013-06-05,17.05
2013-06-06,17.3
2013-06-07,16.85
2013-06-10,16.0
2013-06-11,16.4
2013-06-12,16.5
2013-06-13,15.7
2013-06-14,15.75
2013-06-17,15.95
2013-06-18,16.05
2013-06-19,16.1
2013-06-20,15.75
2013-06-21,15.55
2013-06-24,15.9
2013-06-25,15.3
2013-06-26,15.1
2013-06-27,15.45
2013-06-28,17.2
2013-07-01,18.05
2013-07-02,17.35
2013-07-03,16.5
2013-07-04,17.05
2013-07-05,16.95
2013-07-08,16.95
2013-07-09,16.85
2013-07-10,16.85
2013-07-11,16.9
2013-07-12,16.75
2013-07-15,16.5
2013-07-16,16.35
2013-07-17,16.3
2013-07-18,16.15
2013-07-19,16.85
2013-07-22,16.35
2013-07-23,16.3
2013-07-24,15.9
2013-07-25,15.45
2013-07-26,15.3
2013-07-29,15.05
2013-07-30,14.85
2013-07-31,14.35
2013-08-01,14.15
2013-08-02,13.0
2013-08-05,12.7
2013-08-06,12.65
2013-08-07,13.1
2013-08-08,13.6
2013-08-12,14.3
2013-08-13,14.3
2013-08-14,14.4
2013-08-16,13.65
2013-08-19,13.3
2013-08-20,13.55
2013-08-21,13.05
2013-08-22,13.2
2013-08-23,13.05
2013-08-26,13.2
2013-08-27,12.85
2013-08-28,12.65
2013-08-29,12.8
2013-08-30,12.9
2013-09-02,12.95
2013-09-03,12.7
2013-09-04,12.9
2013-09-05,13.15
2013-09-06,13.75
2013-09-10,13.7
2013-09-11,13.6
2013-09-12,14.45
2013-09-13,14.1
2013-09-16,14.35
2013-09-17,14.05
2013-09-18,13.95
2013-09-19,15.35
2013-09-20,16.35
2013-09-23,15.7
2013-09-24,15.8
2013-09-25,15.35
2013-09-26,15.2
2013-09-27,14.95
2013-09-30,14.4
2013-10-01,14.25
2013-10-03,14.4
2013-10-04,14.4
2013-10-07,14.4
2013-10-08,14.75
2013-10-09,14.75
2013-10-10,15.9
2013-10-11,16.3
2013-10-14,15.65
2013-10-15,15.55
2013-10-17,16.75
2013-10-18,16.05
2013-10-21,16.0
2013-10-22,15.9
2013-10-23,16.8
2013-10-24,15.95
2013-10-25,15.75
2013-10-28,15.75
2013-10-29,15.6
2013-10-30,16.7
2013-10-31,16.55
2013-11-01,16.7
2013-11-03,16.45
2013-11-05,16.5
2013-11-06,16.7
2013-11-07,16.7
2013-11-08,16.2
2013-11-11,15.85
2013-11-12,15.6
2013-11-13,15.25
2013-11-14,16.45
2013-11-18,16.35
2013-11-19,16.45
2013-11-20,16.3
2013-11-21,15.9
2013-11-22,15.9
2013-11-25,15.95
2013-11-26,15.75
2013-11-27,15.75
2013-11-28,15.75
2013-11-29,15.75
2013-12-02,16.1
2013-12-03,16.1
2013-12-04,16.0
2013-12-05,16.05
2013-12-06,16.15
2013-12-09,16.15
2013-12-10,15.8
2013-12-11,15.85
2013-12-12,15.8
2013-12-13,15.55
2013-12-16,15.4
2013-12-17,15.2
2013-12-18,15.4
2013-12-19,15.2
2013-12-20,15.4
2013-12-23,15.4
2013-12-24,15.55
2013-12-26,16.1
2013-12-27,15.75
2013-12-30,17.3
2013-12-31,16.65
