Date,MHRIL
2013-01-01,339.95
2013-01-02,339.55
2013-01-03,341.45
2013-01-04,335.8
2013-01-07,335.9
2013-01-08,343.9
2013-01-09,336.95
2013-01-10,333.65
2013-01-11,329.8
2013-01-14,328.95
2013-01-15,332.6
2013-01-16,331.75
2013-01-17,332.15
2013-01-18,324.1
2013-01-21,326.95
2013-01-22,319.95
2013-01-23,313.45
2013-01-24,308.25
2013-01-25,312.6
2013-01-28,308.1
2013-01-29,302.6
2013-01-30,302.4
2013-01-31,304.0
2013-02-01,300.95
2013-02-04,297.3
2013-02-05,296.0
2013-02-06,296.45
2013-02-07,295.15
2013-02-08,295.25
2013-02-11,297.45
2013-02-12,295.15
2013-02-13,298.0
2013-02-14,290.5
2013-02-15,293.35
2013-02-18,299.25
2013-02-19,297.1
2013-02-20,294.65
2013-02-21,290.1
2013-02-22,292.85
2013-02-25,284.6
2013-02-26,275.65
2013-02-27,276.25
2013-02-28,280.55
2013-03-01,288.55
2013-03-04,276.6
2013-03-05,279.35
2013-03-06,275.85
2013-03-07,275.65
2013-03-08,273.95
2013-03-11,272.95
2013-03-12,273.15
2013-03-13,267.05
2013-03-14,268.85
2013-03-15,267.6
2013-03-18,271.05
2013-03-19,267.05
2013-03-20,258.75
2013-03-21,256.75
2013-03-22,253.65
2013-03-25,249.85
2013-03-26,252.05
2013-03-28,256.95
2013-04-01,267.65
2013-04-02,267.45
2013-04-03,267.6
2013-04-04,263.1
2013-04-05,263.0
2013-04-08,260.05
2013-04-09,266.85
2013-04-10,258.8
2013-04-11,263.55
2013-04-12,261.2
2013-04-15,259.95
2013-04-16,259.3
2013-04-17,256.85
2013-04-18,259.8
2013-04-22,256.75
2013-04-23,258.9
2013-04-25,253.1
2013-04-26,250.55
2013-04-29,255.55
2013-04-30,258.65
2013-05-02,259.95
2013-05-03,259.2
2013-05-06,254.45
2013-05-07,252.95
2013-05-08,253.5
2013-05-09,251.3
2013-05-10,251.4
2013-05-11,251.35
2013-05-13,250.05
2013-05-14,248.95
2013-05-15,249.2
2013-05-16,249.45
2013-05-17,251.7
2013-05-20,248.8
2013-05-21,249.75
2013-05-22,249.0
2013-05-23,245.95
2013-05-24,245.2
2013-05-27,249.55
2013-05-28,250.5
2013-05-29,249.95
2013-05-30,249.1
2013-05-31,247.45
2013-06-03,247.75
2013-06-04,248.7
2013-06-05,245.4
2013-06-06,245.7
2013-06-07,244.35
2013-06-10,244.05
2013-06-11,240.0
2013-06-12,239.8
2013-06-13,238.2
2013-06-14,245.2
2013-06-17,244.7
2013-06-18,244.4
2013-06-19,241.75
2013-06-20,240.05
2013-06-21,240.85
2013-06-24,235.9
2013-06-25,235.05
2013-06-26,238.6
2013-06-27,242.05
2013-06-28,245.5
2013-07-01,246.25
2013-07-02,252.9
2013-07-03,249.85
2013-07-04,252.1
2013-07-05,247.65
2013-07-08,245.45
2013-07-09,251.8
2013-07-10,251.95
2013-07-11,251.7
2013-07-12,251.9
2013-07-15,262.45
2013-07-16,256.65
2013-07-17,256.1
2013-07-18,257.0
2013-07-19,258.85
2013-07-22,260.85
2013-07-23,260.0
2013-07-24,261.8
2013-07-25,260.1
2013-07-26,264.25
2013-07-29,258.9
2013-07-30,252.9
2013-07-31,250.05
2013-08-01,243.55
2013-08-02,235.75
2013-08-05,229.45
2013-08-06,226.8
2013-08-07,224.75
2013-08-08,224.3
2013-08-12,221.15
2013-08-13,221.2
2013-08-14,219.9
2013-08-16,219.55
2013-08-19,220.95
2013-08-20,231.2
2013-08-21,225.0
2013-08-22,223.25
2013-08-23,226.15
2013-08-26,222.8
2013-08-27,217.95
2013-08-28,214.2
2013-08-29,217.05
2013-08-30,215.1
2013-09-02,216.4
2013-09-03,213.25
2013-09-04,211.55
2013-09-05,209.95
2013-09-06,208.7
2013-09-10,207.05
2013-09-11,211.0
2013-09-12,215.7
2013-09-13,217.35
2013-09-16,220.25
2013-09-17,221.75
2013-09-18,218.7
2013-09-19,219.4
2013-09-20,216.75
2013-09-23,217.8
2013-09-24,221.1
2013-09-25,219.95
2013-09-26,219.6
2013-09-27,213.7
2013-09-30,214.5
2013-10-01,213.45
2013-10-03,213.5
2013-10-04,212.55
2013-10-07,212.35
2013-10-08,212.45
2013-10-09,212.25
2013-10-10,211.6
2013-10-11,211.75
2013-10-14,215.35
2013-10-15,213.35
2013-10-17,215.25
2013-10-18,217.7
2013-10-21,219.75
2013-10-22,220.9
2013-10-23,220.7
2013-10-24,220.15
2013-10-25,217.8
2013-10-28,213.8
2013-10-29,211.35
2013-10-30,214.2
2013-10-31,219.5
2013-11-01,227.85
2013-11-03,233.65
2013-11-05,228.7
2013-11-06,232.25
2013-11-07,235.6
2013-11-08,238.5
2013-11-11,233.25
2013-11-12,236.45
2013-11-13,242.15
2013-11-14,253.25
2013-11-18,263.5
2013-11-19,260.8
2013-11-20,258.05
2013-11-21,254.8
2013-11-22,245.4
2013-11-25,243.4
2013-11-26,249.45
2013-11-27,249.85
2013-11-28,252.95
2013-11-29,250.35
2013-12-02,252.2
2013-12-03,251.05
2013-12-04,254.15
2013-12-05,254.6
2013-12-06,254.05
2013-12-09,252.6
2013-12-10,249.6
2013-12-11,246.0
2013-12-12,244.2
2013-12-13,241.45
2013-12-16,239.8
2013-12-17,241.8
2013-12-18,244.05
2013-12-19,249.2
2013-12-20,251.2
2013-12-23,264.65
2013-12-24,265.25
2013-12-26,265.6
2013-12-27,264.2
2013-12-30,261.55
2013-12-31,259.55
