Date,CLNINDIA
2013-01-01,650.15
2013-01-02,642.1
2013-01-03,642.2
2013-01-04,639.8
2013-01-07,635.85
2013-01-08,630.65
2013-01-09,620.65
2013-01-10,618.15
2013-01-11,617.6
2013-01-14,622.05
2013-01-15,616.55
2013-01-16,612.35
2013-01-17,603.35
2013-01-18,595.5
2013-01-21,592.85
2013-01-22,586.9
2013-01-23,572.35
2013-01-24,553.2
2013-01-25,584.25
2013-01-28,579.7
2013-01-29,572.15
2013-01-30,564.4
2013-01-31,578.8
2013-02-01,566.65
2013-02-04,557.35
2013-02-05,560.3
2013-02-06,568.55
2013-02-07,571.0
2013-02-08,550.95
2013-02-11,554.0
2013-02-12,548.15
2013-02-13,545.95
2013-02-14,547.9
2013-02-15,548.1
2013-02-18,539.8
2013-02-19,544.05
2013-02-20,548.15
2013-02-21,542.45
2013-02-22,544.75
2013-02-25,548.3
2013-02-26,549.05
2013-02-27,545.85
2013-02-28,549.15
2013-03-01,552.15
2013-03-04,550.9
2013-03-05,550.35
2013-03-06,544.9
2013-03-07,542.35
2013-03-08,541.95
2013-03-11,539.5
2013-03-12,540.45
2013-03-13,530.7
2013-03-14,528.3
2013-03-15,527.75
2013-03-18,523.65
2013-03-19,521.55
2013-03-20,510.6
2013-03-21,499.8
2013-03-22,490.85
2013-03-25,489.45
2013-03-26,490.75
2013-03-28,483.7
2013-04-01,490.7
2013-04-02,486.05
2013-04-03,490.1
2013-04-04,491.2
2013-04-05,490.45
2013-04-08,491.3
2013-04-09,490.5
2013-04-10,489.8
2013-04-11,491.9
2013-04-12,471.5
2013-04-15,466.2
2013-04-16,462.5
2013-04-17,461.05
2013-04-18,464.55
2013-04-22,462.2
2013-04-23,462.0
2013-04-25,462.1
2013-04-26,464.7
2013-04-29,462.45
2013-04-30,469.65
2013-05-02,468.95
2013-05-03,468.45
2013-05-06,474.25
2013-05-07,466.4
2013-05-08,465.85
2013-05-09,464.0
2013-05-10,461.75
2013-05-11,458.5
2013-05-13,466.65
2013-05-14,464.7
2013-05-15,474.85
2013-05-16,478.8
2013-05-17,478.3
2013-05-20,479.9
2013-05-21,466.65
2013-05-22,475.1
2013-05-23,463.6
2013-05-24,462.5
2013-05-27,473.3
2013-05-28,468.7
2013-05-29,465.95
2013-05-30,461.8
2013-05-31,450.2
2013-06-03,450.25
2013-06-04,445.05
2013-06-05,440.4
2013-06-06,429.25
2013-06-07,419.75
2013-06-10,425.65
2013-06-11,425.35
2013-06-12,417.8
2013-06-13,415.6
2013-06-14,419.9
2013-06-17,415.35
2013-06-18,421.6
2013-06-19,426.15
2013-06-20,419.25
2013-06-21,413.1
2013-06-24,396.6
2013-06-25,388.25
2013-06-26,377.25
2013-06-27,376.6
2013-06-28,379.05
2013-07-01,393.05
2013-07-02,406.3
2013-07-03,406.3
2013-07-04,402.3
2013-07-05,395.6
2013-07-08,389.45
2013-07-09,436.9
2013-07-10,430.35
2013-07-11,425.45
2013-07-12,424.0
2013-07-15,423.4
2013-07-16,470.9
2013-07-17,494.35
2013-07-18,498.5
2013-07-19,510.0
2013-07-22,514.75
2013-07-23,499.8
2013-07-24,509.3
2013-07-25,508.8
2013-07-26,505.95
2013-07-29,505.7
2013-07-30,501.55
2013-07-31,505.4
2013-08-01,501.8
2013-08-02,502.15
2013-08-05,482.75
2013-08-06,452.15
2013-08-07,454.55
2013-08-08,451.95
2013-08-12,462.15
2013-08-13,489.65
2013-08-14,497.35
2013-08-16,487.55
2013-08-19,487.65
2013-08-20,479.75
2013-08-21,473.9
2013-08-22,481.35
2013-08-23,481.6
2013-08-26,482.0
2013-08-27,475.75
2013-08-28,459.55
2013-08-29,460.05
2013-08-30,462.85
2013-09-02,480.25
2013-09-03,471.4
2013-09-04,478.6
2013-09-05,485.0
2013-09-06,492.65
2013-09-10,495.25
2013-09-11,493.5
2013-09-12,490.2
2013-09-13,518.85
2013-09-16,514.6
2013-09-17,512.55
2013-09-18,509.1
2013-09-19,506.4
2013-09-20,509.0
2013-09-23,505.55
2013-09-24,496.15
2013-09-25,491.4
2013-09-26,491.15
2013-09-27,491.5
2013-09-30,503.1
2013-10-01,506.9
2013-10-03,508.9
2013-10-04,501.25
2013-10-07,495.8
2013-10-08,485.6
2013-10-09,493.55
2013-10-10,485.15
2013-10-11,488.7
2013-10-14,485.55
2013-10-15,516.25
2013-10-17,506.85
2013-10-18,506.15
2013-10-21,512.7
2013-10-22,532.55
2013-10-23,549.3
2013-10-24,558.65
2013-10-25,560.3
2013-10-28,559.0
2013-10-29,559.8
2013-10-30,566.95
2013-10-31,584.05
2013-11-01,577.95
2013-11-03,583.85
2013-11-05,588.2
2013-11-06,595.0
2013-11-07,591.25
2013-11-08,599.3
2013-11-11,598.75
2013-11-12,595.0
2013-11-13,591.65
2013-11-14,592.0
2013-11-18,599.55
2013-11-19,599.6
2013-11-20,594.95
2013-11-21,594.45
2013-11-22,593.3
2013-11-25,585.6
2013-11-26,557.25
2013-11-27,572.8
2013-11-28,582.0
2013-11-29,587.0
2013-12-02,589.85
2013-12-03,593.1
2013-12-04,597.15
2013-12-05,591.15
2013-12-06,588.95
2013-12-09,595.2
2013-12-10,587.15
2013-12-11,582.75
2013-12-12,620.85
2013-12-13,643.45
2013-12-16,629.95
2013-12-17,623.25
2013-12-18,619.2
2013-12-19,635.5
2013-12-20,628.55
2013-12-23,617.75
2013-12-24,610.55
2013-12-26,613.55
2013-12-27,613.5
2013-12-30,621.9
2013-12-31,618.45
