Date,HEG
2013-01-01,230.05
2013-01-02,231.25
2013-01-03,234.25
2013-01-04,234.55
2013-01-07,235.05
2013-01-08,230.6
2013-01-09,231.1
2013-01-10,229.65
2013-01-11,229.25
2013-01-14,228.65
2013-01-15,228.2
2013-01-16,226.6
2013-01-17,221.75
2013-01-18,223.1
2013-01-21,222.05
2013-01-22,222.95
2013-01-23,220.5
2013-01-24,214.05
2013-01-25,212.05
2013-01-28,206.65
2013-01-29,209.25
2013-01-30,207.3
2013-01-31,205.15
2013-02-01,202.7
2013-02-04,203.0
2013-02-05,202.95
2013-02-06,203.1
2013-02-07,196.8
2013-02-08,193.85
2013-02-11,194.75
2013-02-12,193.85
2013-02-13,192.55
2013-02-14,189.45
2013-02-15,188.4
2013-02-18,189.4
2013-02-19,190.8
2013-02-20,189.65
2013-02-21,186.45
2013-02-22,196.95
2013-02-25,190.15
2013-02-26,183.05
2013-02-27,186.6
2013-02-28,183.1
2013-03-01,185.4
2013-03-04,182.2
2013-03-05,182.25
2013-03-06,183.25
2013-03-07,182.2
2013-03-08,183.4
2013-03-11,182.9
2013-03-12,182.25
2013-03-13,180.7
2013-03-14,182.1
2013-03-15,182.15
2013-03-18,180.5
2013-03-19,179.2
2013-03-20,172.45
2013-03-21,171.55
2013-03-22,170.0
2013-03-25,166.2
2013-03-26,168.05
2013-03-28,168.2
2013-04-01,172.6
2013-04-02,178.7
2013-04-03,178.85
2013-04-04,175.9
2013-04-05,174.0
2013-04-08,173.25
2013-04-09,173.65
2013-04-10,164.15
2013-04-11,162.85
2013-04-12,164.8
2013-04-15,163.45
2013-04-16,163.75
2013-04-17,163.15
2013-04-18,163.45
2013-04-22,164.3
2013-04-23,165.8
2013-04-25,163.85
2013-04-26,164.55
2013-04-29,164.75
2013-04-30,165.4
2013-05-02,185.55
2013-05-03,176.8
2013-05-06,196.8
2013-05-07,197.9
2013-05-08,189.6
2013-05-09,184.85
2013-05-10,184.25
2013-05-11,182.75
2013-05-13,181.35
2013-05-14,185.05
2013-05-15,185.7
2013-05-16,183.35
2013-05-17,184.25
2013-05-20,184.45
2013-05-21,182.2
2013-05-22,181.9
2013-05-23,176.2
2013-05-24,173.2
2013-05-27,173.55
2013-05-28,175.7
2013-05-29,174.5
2013-05-30,173.35
2013-05-31,173.45
2013-06-03,171.1
2013-06-04,171.0
2013-06-05,170.05
2013-06-06,169.5
2013-06-07,170.5
2013-06-10,167.7
2013-06-11,166.65
2013-06-12,167.15
2013-06-13,164.5
2013-06-14,165.9
2013-06-17,166.35
2013-06-18,166.65
2013-06-19,166.95
2013-06-20,166.15
2013-06-21,163.0
2013-06-24,156.7
2013-06-25,158.15
2013-06-26,158.35
2013-06-27,158.0
2013-06-28,158.95
2013-07-01,162.75
2013-07-02,164.9
2013-07-03,164.7
2013-07-04,163.8
2013-07-05,165.0
2013-07-08,164.35
2013-07-09,164.55
2013-07-10,163.85
2013-07-11,175.8
2013-07-12,172.9
2013-07-15,170.15
2013-07-16,168.25
2013-07-17,168.4
2013-07-18,169.9
2013-07-19,169.3
2013-07-22,169.05
2013-07-23,171.1
2013-07-24,169.7
2013-07-25,167.45
2013-07-26,169.2
2013-07-29,164.6
2013-07-30,159.2
2013-07-31,155.8
2013-08-01,154.25
2013-08-02,148.65
2013-08-05,145.7
2013-08-06,142.55
2013-08-07,148.6
2013-08-08,153.35
2013-08-12,151.4
2013-08-13,156.45
2013-08-14,149.65
2013-08-16,148.5
2013-08-19,148.8
2013-08-20,150.3
2013-08-21,148.6
2013-08-22,150.8
2013-08-23,151.45
2013-08-26,153.45
2013-08-27,155.0
2013-08-28,153.45
2013-08-29,154.15
2013-08-30,155.2
2013-09-02,157.85
2013-09-03,156.6
2013-09-04,157.15
2013-09-05,159.75
2013-09-06,153.0
2013-09-10,154.95
2013-09-11,155.1
2013-09-12,153.2
2013-09-13,153.45
2013-09-16,153.25
2013-09-17,153.0
2013-09-18,152.85
2013-09-19,153.5
2013-09-20,153.9
2013-09-23,153.05
2013-09-24,154.05
2013-09-25,154.9
2013-09-26,154.65
2013-09-27,154.6
2013-09-30,153.25
2013-10-01,154.8
2013-10-03,155.7
2013-10-04,155.5
2013-10-07,157.45
2013-10-08,159.15
2013-10-09,160.2
2013-10-10,164.7
2013-10-11,169.15
2013-10-14,168.75
2013-10-15,168.0
2013-10-17,164.65
2013-10-18,163.55
2013-10-21,166.35
2013-10-22,171.55
2013-10-23,173.05
2013-10-24,173.0
2013-10-25,172.1
2013-10-28,171.1
2013-10-29,170.0
2013-10-30,170.75
2013-10-31,172.0
2013-11-01,173.4
2013-11-03,174.1
2013-11-05,175.75
2013-11-06,182.3
2013-11-07,180.7
2013-11-08,180.15
2013-11-11,180.05
2013-11-12,177.15
2013-11-13,171.45
2013-11-14,174.2
2013-11-18,175.25
2013-11-19,177.05
2013-11-20,180.1
2013-11-21,176.65
2013-11-22,177.0
2013-11-25,179.9
2013-11-26,180.35
2013-11-27,178.5
2013-11-28,181.7
2013-11-29,184.2
2013-12-02,182.05
2013-12-03,185.7
2013-12-04,186.1
2013-12-05,186.0
2013-12-06,185.65
2013-12-09,184.85
2013-12-10,186.1
2013-12-11,184.5
2013-12-12,188.95
2013-12-13,188.1
2013-12-16,186.15
2013-12-17,186.0
2013-12-18,185.45
2013-12-19,187.15
2013-12-20,187.95
2013-12-23,187.9
2013-12-24,188.8
2013-12-26,191.05
2013-12-27,191.1
2013-12-30,194.45
2013-12-31,199.25
