Date,HSIL
2013-01-01,142.5
2013-01-02,143.15
2013-01-03,139.5
2013-01-04,138.25
2013-01-07,147.3
2013-01-08,148.75
2013-01-09,145.5
2013-01-10,139.0
2013-01-11,131.1
2013-01-14,136.0
2013-01-15,135.85
2013-01-16,130.9
2013-01-17,131.1
2013-01-18,129.9
2013-01-21,131.9
2013-01-22,130.55
2013-01-23,129.6
2013-01-24,127.95
2013-01-25,127.45
2013-01-28,127.7
2013-01-29,124.95
2013-01-30,124.2
2013-01-31,125.55
2013-02-01,118.7
2013-02-04,119.0
2013-02-05,117.75
2013-02-06,116.95
2013-02-07,113.2
2013-02-08,111.45
2013-02-11,111.8
2013-02-12,109.95
2013-02-13,109.9
2013-02-14,107.05
2013-02-15,107.1
2013-02-18,108.0
2013-02-19,112.0
2013-02-20,110.7
2013-02-21,107.2
2013-02-22,107.35
2013-02-25,103.25
2013-02-26,99.5
2013-02-27,98.25
2013-02-28,97.95
2013-03-01,92.85
2013-03-04,87.35
2013-03-05,92.3
2013-03-06,95.35
2013-03-07,95.2
2013-03-08,98.0
2013-03-11,100.3
2013-03-12,100.0
2013-03-13,99.95
2013-03-14,101.5
2013-03-15,100.05
2013-03-18,98.2
2013-03-19,98.1
2013-03-20,93.65
2013-03-21,92.05
2013-03-22,93.1
2013-03-25,90.75
2013-03-26,92.15
2013-03-28,91.05
2013-04-01,92.2
2013-04-02,99.7
2013-04-03,102.25
2013-04-04,99.7
2013-04-05,98.05
2013-04-08,97.25
2013-04-09,94.1
2013-04-10,95.35
2013-04-11,94.7
2013-04-12,94.7
2013-04-15,98.25
2013-04-16,96.65
2013-04-17,99.15
2013-04-18,100.8
2013-04-22,103.65
2013-04-23,103.75
2013-04-25,104.0
2013-04-26,105.1
2013-04-29,106.3
2013-04-30,106.2
2013-05-02,108.0
2013-05-03,106.2
2013-05-06,107.2
2013-05-07,109.0
2013-05-08,107.85
2013-05-09,106.6
2013-05-10,106.25
2013-05-11,106.4
2013-05-13,105.9
2013-05-14,107.65
2013-05-15,110.0
2013-05-16,108.0
2013-05-17,108.4
2013-05-20,107.1
2013-05-21,105.0
2013-05-22,103.0
2013-05-23,101.8
2013-05-24,98.9
2013-05-27,109.1
2013-05-28,106.6
2013-05-29,106.1
2013-05-30,106.05
2013-05-31,103.45
2013-06-03,103.5
2013-06-04,102.8
2013-06-05,103.4
2013-06-06,103.55
2013-06-07,102.7
2013-06-10,102.65
2013-06-11,100.45
2013-06-12,98.95
2013-06-13,100.65
2013-06-14,100.25
2013-06-17,99.35
2013-06-18,98.85
2013-06-19,97.35
2013-06-20,93.05
2013-06-21,90.9
2013-06-24,88.35
2013-06-25,87.1
2013-06-26,86.3
2013-06-27,84.9
2013-06-28,85.25
2013-07-01,87.2
2013-07-02,89.2
2013-07-03,87.2
2013-07-04,89.25
2013-07-05,89.15
2013-07-08,87.05
2013-07-09,87.5
2013-07-10,85.95
2013-07-11,87.9
2013-07-12,87.05
2013-07-15,86.75
2013-07-16,86.1
2013-07-17,87.5
2013-07-18,87.0
2013-07-19,86.8
2013-07-22,85.95
2013-07-23,88.0
2013-07-24,87.0
2013-07-25,86.75
2013-07-26,85.95
2013-07-29,83.1
2013-07-30,79.15
2013-07-31,77.35
2013-08-01,74.0
2013-08-02,73.55
2013-08-05,75.0
2013-08-06,76.35
2013-08-07,78.4
2013-08-08,80.7
2013-08-12,83.85
2013-08-13,85.25
2013-08-14,85.4
2013-08-16,85.35
2013-08-19,85.45
2013-08-20,84.65
2013-08-21,84.05
2013-08-22,81.0
2013-08-23,83.15
2013-08-26,81.35
2013-08-27,80.0
2013-08-28,76.85
2013-08-29,79.95
2013-08-30,79.85
2013-09-02,80.85
2013-09-03,79.65
2013-09-04,80.1
2013-09-05,81.55
2013-09-06,81.05
2013-09-10,82.05
2013-09-11,84.0
2013-09-12,85.05
2013-09-13,85.6
2013-09-16,85.7
2013-09-17,86.3
2013-09-18,86.0
2013-09-19,86.95
2013-09-20,82.7
2013-09-23,79.15
2013-09-24,78.9
2013-09-25,77.55
2013-09-26,78.45
2013-09-27,77.75
2013-09-30,77.25
2013-10-01,77.4
2013-10-03,78.8
2013-10-04,78.75
2013-10-07,78.45
2013-10-08,78.2
2013-10-09,77.95
2013-10-10,77.8
2013-10-11,77.95
2013-10-14,78.15
2013-10-15,77.8
2013-10-17,77.95
2013-10-18,78.15
2013-10-21,83.9
2013-10-22,82.5
2013-10-23,82.95
2013-10-24,83.05
2013-10-25,81.0
2013-10-28,79.9
2013-10-29,80.4
2013-10-30,81.75
2013-10-31,81.8
2013-11-01,83.2
2013-11-03,84.3
2013-11-05,91.75
2013-11-06,95.95
2013-11-07,91.75
2013-11-08,90.3
2013-11-11,94.9
2013-11-12,98.75
2013-11-13,100.4
2013-11-14,101.1
2013-11-18,103.9
2013-11-19,100.75
2013-11-20,100.15
2013-11-21,98.9
2013-11-22,98.75
2013-11-25,97.5
2013-11-26,96.55
2013-11-27,99.4
2013-11-28,101.95
2013-11-29,104.95
2013-12-02,109.6
2013-12-03,111.2
2013-12-04,111.45
2013-12-05,105.2
2013-12-06,104.05
2013-12-09,101.25
2013-12-10,98.75
2013-12-11,97.45
2013-12-12,98.95
2013-12-13,93.8
2013-12-16,93.25
2013-12-17,95.25
2013-12-18,95.25
2013-12-19,95.9
2013-12-20,97.05
2013-12-23,100.65
2013-12-24,102.25
2013-12-26,99.45
2013-12-27,103.95
2013-12-30,105.2
2013-12-31,104.35
