Date,AMTEKAUTO
2013-01-01,91.6
2013-01-02,89.75
2013-01-03,91.9
2013-01-04,91.2
2013-01-07,90.35
2013-01-08,91.35
2013-01-09,89.45
2013-01-10,86.2
2013-01-11,82.7
2013-01-14,81.1
2013-01-15,85.15
2013-01-16,83.35
2013-01-17,82.85
2013-01-18,83.75
2013-01-21,82.9
2013-01-22,81.65
2013-01-23,79.35
2013-01-24,75.35
2013-01-25,78.05
2013-01-28,76.8
2013-01-29,77.7
2013-01-30,76.25
2013-01-31,77.0
2013-02-01,76.1
2013-02-04,74.7
2013-02-05,73.85
2013-02-06,74.55
2013-02-07,73.5
2013-02-08,72.85
2013-02-11,73.7
2013-02-12,73.85
2013-02-13,73.6
2013-02-14,71.45
2013-02-15,70.55
2013-02-18,72.8
2013-02-19,72.4
2013-02-20,71.0
2013-02-21,71.55
2013-02-22,72.1
2013-02-25,70.05
2013-02-26,68.2
2013-02-27,69.75
2013-02-28,69.1
2013-03-01,67.5
2013-03-04,65.1
2013-03-05,65.35
2013-03-06,67.8
2013-03-07,67.45
2013-03-08,71.1
2013-03-11,74.75
2013-03-12,74.85
2013-03-13,71.6
2013-03-14,69.7
2013-03-15,65.4
2013-03-18,63.85
2013-03-19,63.25
2013-03-20,61.7
2013-03-21,62.2
2013-03-22,61.6
2013-03-25,63.6
2013-03-26,63.1
2013-03-28,64.15
2013-04-01,65.05
2013-04-02,66.5
2013-04-03,65.2
2013-04-04,63.1
2013-04-05,60.9
2013-04-08,60.85
2013-04-09,60.95
2013-04-10,62.25
2013-04-11,64.75
2013-04-12,65.05
2013-04-15,64.85
2013-04-16,64.1
2013-04-17,64.5
2013-04-18,67.5
2013-04-22,68.95
2013-04-23,68.9
2013-04-25,69.4
2013-04-26,69.7
2013-04-29,69.1
2013-04-30,73.45
2013-05-02,74.95
2013-05-03,76.2
2013-05-06,78.2
2013-05-07,77.65
2013-05-08,78.55
2013-05-09,79.35
2013-05-10,79.9
2013-05-11,79.9
2013-05-13,78.3
2013-05-14,81.45
2013-05-15,87.05
2013-05-16,86.3
2013-05-17,86.4
2013-05-20,85.65
2013-05-21,85.85
2013-05-22,85.9
2013-05-23,83.0
2013-05-24,80.3
2013-05-27,80.55
2013-05-28,82.2
2013-05-29,80.5
2013-05-30,80.95
2013-05-31,81.65
2013-06-03,84.05
2013-06-04,85.8
2013-06-05,86.95
2013-06-06,86.55
2013-06-07,88.2
2013-06-10,88.2
2013-06-11,85.75
2013-06-12,82.3
2013-06-13,77.85
2013-06-14,79.8
2013-06-17,79.35
2013-06-18,78.15
2013-06-19,80.0
2013-06-20,77.85
2013-06-21,74.3
2013-06-24,68.75
2013-06-25,69.85
2013-06-26,72.0
2013-06-27,71.4
2013-06-28,70.05
2013-07-01,71.35
2013-07-02,71.7
2013-07-03,68.85
2013-07-04,68.8
2013-07-05,69.6
2013-07-08,70.15
2013-07-09,69.9
2013-07-10,69.5
2013-07-11,69.55
2013-07-12,69.3
2013-07-15,69.15
2013-07-16,69.95
2013-07-17,68.75
2013-07-18,68.7
2013-07-19,68.4
2013-07-22,69.35
2013-07-23,68.25
2013-07-24,68.9
2013-07-25,67.8
2013-07-26,66.75
2013-07-29,65.05
2013-07-30,63.2
2013-07-31,63.35
2013-08-01,62.0
2013-08-02,63.0
2013-08-05,61.6
2013-08-06,60.2
2013-08-07,62.35
2013-08-08,63.15
2013-08-12,66.05
2013-08-13,65.9
2013-08-14,65.05
2013-08-16,62.15
2013-08-19,60.0
2013-08-20,60.15
2013-08-21,61.3
2013-08-22,61.6
2013-08-23,65.0
2013-08-26,67.85
2013-08-27,64.7
2013-08-28,62.0
2013-08-29,63.75
2013-08-30,64.55
2013-09-02,63.75
2013-09-03,62.35
2013-09-04,62.8
2013-09-05,62.9
2013-09-06,62.7
2013-09-10,63.5
2013-09-11,62.7
2013-09-12,62.7
2013-09-13,63.2
2013-09-16,62.45
2013-09-17,61.55
2013-09-18,60.2
2013-09-19,61.5
2013-09-20,60.6
2013-09-23,60.75
2013-09-24,59.95
2013-09-25,60.7
2013-09-26,60.55
2013-09-27,60.4
2013-09-30,60.0
2013-10-01,60.3
2013-10-03,61.45
2013-10-04,61.9
2013-10-07,64.45
2013-10-08,62.7
2013-10-09,62.7
2013-10-10,63.25
2013-10-11,64.85
2013-10-14,64.7
2013-10-15,63.5
2013-10-17,63.5
2013-10-18,64.35
2013-10-21,66.1
2013-10-22,68.15
2013-10-23,68.15
2013-10-24,66.85
2013-10-25,66.45
2013-10-28,65.7
2013-10-29,66.0
2013-10-30,65.85
2013-10-31,64.9
2013-11-01,66.1
2013-11-03,71.4
2013-11-05,73.05
2013-11-06,71.15
2013-11-07,69.45
2013-11-08,67.8
2013-11-11,69.3
2013-11-12,69.0
2013-11-13,67.65
2013-11-14,68.25
2013-11-18,68.55
2013-11-19,68.65
2013-11-20,68.55
2013-11-21,67.0
2013-11-22,66.95
2013-11-25,67.6
2013-11-26,67.95
2013-11-27,68.9
2013-11-28,71.1
2013-11-29,70.7
2013-12-02,73.35
2013-12-03,71.5
2013-12-04,72.5
2013-12-05,71.45
2013-12-06,71.1
2013-12-09,71.9
2013-12-10,70.35
2013-12-11,69.5
2013-12-12,70.15
2013-12-13,71.2
2013-12-16,70.8
2013-12-17,69.9
2013-12-18,69.75
2013-12-19,69.15
2013-12-20,71.35
2013-12-23,69.6
2013-12-24,68.55
2013-12-26,75.55
2013-12-27,75.05
2013-12-30,74.4
2013-12-31,74.75
