Date,INDIANB
2013-01-01,209.9
2013-01-02,211.6
2013-01-03,217.35
2013-01-04,215.25
2013-01-07,215.0
2013-01-08,215.2
2013-01-09,211.75
2013-01-10,210.25
2013-01-11,204.15
2013-01-14,211.75
2013-01-15,215.5
2013-01-16,212.0
2013-01-17,212.95
2013-01-18,210.75
2013-01-21,211.25
2013-01-22,205.95
2013-01-23,202.05
2013-01-24,199.95
2013-01-25,200.0
2013-01-28,202.0
2013-01-29,204.05
2013-01-30,202.75
2013-01-31,202.2
2013-02-01,201.7
2013-02-04,194.7
2013-02-05,190.75
2013-02-06,189.95
2013-02-07,186.95
2013-02-08,184.15
2013-02-11,192.9
2013-02-12,191.35
2013-02-13,189.5
2013-02-14,187.2
2013-02-15,185.45
2013-02-18,184.15
2013-02-19,184.9
2013-02-20,185.65
2013-02-21,183.6
2013-02-22,185.35
2013-02-25,185.05
2013-02-26,178.35
2013-02-27,179.6
2013-02-28,177.05
2013-03-01,174.8
2013-03-04,172.95
2013-03-05,174.85
2013-03-06,173.45
2013-03-07,171.0
2013-03-08,172.95
2013-03-11,176.35
2013-03-12,178.4
2013-03-13,176.95
2013-03-14,177.4
2013-03-15,177.55
2013-03-18,177.6
2013-03-19,173.8
2013-03-20,167.75
2013-03-21,163.0
2013-03-22,159.75
2013-03-25,167.75
2013-03-26,167.3
2013-03-28,176.15
2013-04-01,177.75
2013-04-02,177.6
2013-04-03,174.4
2013-04-04,171.35
2013-04-05,164.45
2013-04-08,165.1
2013-04-09,160.95
2013-04-10,159.95
2013-04-11,160.5
2013-04-12,157.85
2013-04-15,156.1
2013-04-16,161.0
2013-04-17,163.2
2013-04-18,164.25
2013-04-22,167.9
2013-04-23,164.8
2013-04-25,163.05
2013-04-26,162.85
2013-04-29,164.9
2013-04-30,171.0
2013-05-02,167.85
2013-05-03,163.2
2013-05-06,162.7
2013-05-07,162.75
2013-05-08,155.75
2013-05-09,159.8
2013-05-10,160.3
2013-05-11,161.95
2013-05-13,160.6
2013-05-14,158.75
2013-05-15,160.6
2013-05-16,157.9
2013-05-17,160.65
2013-05-20,158.6
2013-05-21,156.2
2013-05-22,156.1
2013-05-23,152.85
2013-05-24,153.55
2013-05-27,150.9
2013-05-28,149.7
2013-05-29,148.35
2013-05-30,146.55
2013-05-31,142.85
2013-06-03,143.85
2013-06-04,141.65
2013-06-05,140.8
2013-06-06,142.0
2013-06-07,142.3
2013-06-10,138.75
2013-06-11,132.3
2013-06-12,129.25
2013-06-13,127.6
2013-06-14,130.0
2013-06-17,130.2
2013-06-18,129.4
2013-06-19,129.25
2013-06-20,129.15
2013-06-21,123.1
2013-06-24,113.55
2013-06-25,111.65
2013-06-26,111.2
2013-06-27,110.45
2013-06-28,114.95
2013-07-01,118.55
2013-07-02,116.1
2013-07-03,112.5
2013-07-04,108.8
2013-07-05,108.15
2013-07-08,107.3
2013-07-09,107.8
2013-07-10,107.8
2013-07-11,107.8
2013-07-12,107.05
2013-07-15,110.05
2013-07-16,107.35
2013-07-17,106.6
2013-07-18,107.95
2013-07-19,107.15
2013-07-22,107.55
2013-07-23,106.4
2013-07-24,103.7
2013-07-25,99.0
2013-07-26,96.3
2013-07-29,89.3
2013-07-30,86.05
2013-07-31,81.0
2013-08-01,75.8
2013-08-02,70.55
2013-08-05,70.2
2013-08-06,69.35
2013-08-07,71.75
2013-08-08,71.85
2013-08-12,70.25
2013-08-13,70.6
2013-08-14,71.55
2013-08-16,69.75
2013-08-19,69.95
2013-08-20,69.65
2013-08-21,67.3
2013-08-22,67.05
2013-08-23,67.6
2013-08-26,68.9
2013-08-27,66.7
2013-08-28,62.7
2013-08-29,62.95
2013-08-30,63.7
2013-09-02,64.5
2013-09-03,63.2
2013-09-04,62.0
2013-09-05,64.9
2013-09-06,68.55
2013-09-10,68.6
2013-09-11,70.45
2013-09-12,71.35
2013-09-13,72.95
2013-09-16,75.2
2013-09-17,74.3
2013-09-18,73.15
2013-09-19,82.5
2013-09-20,75.1
2013-09-23,73.35
2013-09-24,70.6
2013-09-25,69.9
2013-09-26,69.7
2013-09-27,69.7
2013-09-30,67.4
2013-10-01,68.25
2013-10-03,70.15
2013-10-04,70.85
2013-10-07,71.35
2013-10-08,71.9
2013-10-09,72.25
2013-10-10,72.5
2013-10-11,73.15
2013-10-14,76.65
2013-10-15,73.8
2013-10-17,72.25
2013-10-18,72.95
2013-10-21,74.1
2013-10-22,74.05
2013-10-23,74.9
2013-10-24,75.6
2013-10-25,74.4
2013-10-28,72.7
2013-10-29,73.7
2013-10-30,73.5
2013-10-31,83.95
2013-11-01,93.55
2013-11-03,107.7
2013-11-05,112.1
2013-11-06,103.2
2013-11-07,99.85
2013-11-08,95.65
2013-11-11,91.85
2013-11-12,91.2
2013-11-13,91.9
2013-11-14,95.5
2013-11-18,104.5
2013-11-19,106.7
2013-11-20,108.65
2013-11-21,105.05
2013-11-22,101.55
2013-11-25,102.15
2013-11-26,100.85
2013-11-27,100.05
2013-11-28,100.35
2013-11-29,101.1
2013-12-02,102.95
2013-12-03,102.2
2013-12-04,99.3
2013-12-05,102.3
2013-12-06,104.45
2013-12-09,108.45
2013-12-10,109.65
2013-12-11,110.65
2013-12-12,107.85
2013-12-13,104.25
2013-12-16,104.15
2013-12-17,103.9
2013-12-18,106.35
2013-12-19,104.35
2013-12-20,106.5
2013-12-23,107.5
2013-12-24,107.05
2013-12-26,113.45
2013-12-27,113.65
2013-12-30,116.0
2013-12-31,116.15
