Date,SIEMENS
2013-01-01,674.1
2013-01-02,688.15
2013-01-03,692.15
2013-01-04,691.9
2013-01-07,683.05
2013-01-08,680.2
2013-01-09,677.0
2013-01-10,677.9
2013-01-11,656.8
2013-01-14,664.7
2013-01-15,661.15
2013-01-16,655.2
2013-01-17,651.8
2013-01-18,656.65
2013-01-21,657.85
2013-01-22,648.75
2013-01-23,645.4
2013-01-24,637.25
2013-01-25,641.5
2013-01-28,639.4
2013-01-29,641.55
2013-01-30,645.15
2013-01-31,656.45
2013-02-01,643.1
2013-02-04,636.65
2013-02-05,636.1
2013-02-06,627.1
2013-02-07,620.6
2013-02-08,615.55
2013-02-11,613.4
2013-02-12,614.85
2013-02-13,604.6
2013-02-14,576.2
2013-02-15,567.7
2013-02-18,567.15
2013-02-19,572.9
2013-02-20,567.2
2013-02-21,556.65
2013-02-22,547.2
2013-02-25,546.1
2013-02-26,527.6
2013-02-27,520.15
2013-02-28,504.3
2013-03-01,495.2
2013-03-04,489.7
2013-03-05,500.65
2013-03-06,515.1
2013-03-07,517.6
2013-03-08,533.1
2013-03-11,562.55
2013-03-12,552.5
2013-03-13,536.55
2013-03-14,538.85
2013-03-15,574.1
2013-03-18,583.2
2013-03-19,569.55
2013-03-20,562.5
2013-03-21,544.7
2013-03-22,553.05
2013-03-25,554.65
2013-03-26,527.3
2013-03-28,548.65
2013-04-01,530.4
2013-04-02,540.0
2013-04-03,523.95
2013-04-04,503.95
2013-04-05,498.05
2013-04-08,482.3
2013-04-09,473.15
2013-04-10,478.65
2013-04-11,479.9
2013-04-12,491.85
2013-04-15,477.05
2013-04-16,489.75
2013-04-17,489.7
2013-04-18,502.0
2013-04-22,513.85
2013-04-23,529.55
2013-04-25,521.3
2013-04-26,503.0
2013-04-29,533.9
2013-04-30,546.1
2013-05-02,541.15
2013-05-03,560.2
2013-05-06,561.5
2013-05-07,558.65
2013-05-08,556.35
2013-05-09,574.55
2013-05-10,566.0
2013-05-11,573.05
2013-05-13,551.15
2013-05-14,552.05
2013-05-15,563.0
2013-05-16,569.75
2013-05-17,620.75
2013-05-20,599.95
2013-05-21,598.9
2013-05-22,591.55
2013-05-23,571.45
2013-05-24,574.65
2013-05-27,584.0
2013-05-28,591.25
2013-05-29,583.75
2013-05-30,594.95
2013-05-31,595.5
2013-06-03,588.15
2013-06-04,581.45
2013-06-05,579.7
2013-06-06,584.6
2013-06-07,575.9
2013-06-10,567.15
2013-06-11,569.5
2013-06-12,561.45
2013-06-13,547.1
2013-06-14,550.05
2013-06-17,551.55
2013-06-18,547.6
2013-06-19,550.95
2013-06-20,538.35
2013-06-21,530.2
2013-06-24,512.15
2013-06-25,519.0
2013-06-26,527.4
2013-06-27,530.15
2013-06-28,551.7
2013-07-01,570.0
2013-07-02,558.35
2013-07-03,542.7
2013-07-04,535.05
2013-07-05,533.95
2013-07-08,525.45
2013-07-09,532.25
2013-07-10,523.35
2013-07-11,533.0
2013-07-12,553.15
2013-07-15,564.05
2013-07-16,578.0
2013-07-17,580.5
2013-07-18,576.5
2013-07-19,559.25
2013-07-22,542.4
2013-07-23,550.1
2013-07-24,530.1
2013-07-25,537.1
2013-07-26,535.7
2013-07-29,521.35
2013-07-30,501.0
2013-07-31,511.85
2013-08-01,480.1
2013-08-02,451.35
2013-08-05,439.2
2013-08-06,425.8
2013-08-07,448.9
2013-08-08,452.05
2013-08-12,455.2
2013-08-13,452.75
2013-08-14,441.0
2013-08-16,427.9
2013-08-19,432.8
2013-08-20,441.85
2013-08-21,443.25
2013-08-22,449.7
2013-08-23,450.95
2013-08-26,446.25
2013-08-27,440.2
2013-08-28,427.6
2013-08-29,426.85
2013-08-30,432.7
2013-09-02,428.3
2013-09-03,419.5
2013-09-04,429.5
2013-09-05,434.3
2013-09-06,440.75
2013-09-10,475.0
2013-09-11,512.8
2013-09-12,471.3
2013-09-13,479.4
2013-09-16,471.7
2013-09-17,466.45
2013-09-18,469.05
2013-09-19,483.1
2013-09-20,479.9
2013-09-23,476.25
2013-09-24,477.85
2013-09-25,477.1
2013-09-26,478.65
2013-09-27,480.05
2013-09-30,477.6
2013-10-01,488.2
2013-10-03,492.25
2013-10-04,496.0
2013-10-07,508.3
2013-10-08,496.9
2013-10-09,503.5
2013-10-10,513.7
2013-10-11,509.45
2013-10-14,505.0
2013-10-15,503.2
2013-10-17,503.15
2013-10-18,521.55
2013-10-21,539.85
2013-10-22,557.15
2013-10-23,544.05
2013-10-24,544.5
2013-10-25,532.5
2013-10-28,525.85
2013-10-29,546.5
2013-10-30,555.15
2013-10-31,582.15
2013-11-01,590.4
2013-11-03,589.6
2013-11-05,572.85
2013-11-06,587.8
2013-11-07,567.6
2013-11-08,570.6
2013-11-11,546.65
2013-11-12,536.5
2013-11-13,531.65
2013-11-14,556.2
2013-11-18,571.4
2013-11-19,566.6
2013-11-20,563.75
2013-11-21,542.0
2013-11-22,561.4
2013-11-25,601.85
2013-11-26,610.05
2013-11-27,595.75
2013-11-28,614.35
2013-11-29,615.65
2013-12-02,609.1
2013-12-03,604.65
2013-12-04,605.35
2013-12-05,620.45
2013-12-06,629.2
2013-12-09,647.7
2013-12-10,646.15
2013-12-11,650.8
2013-12-12,637.45
2013-12-13,620.2
2013-12-16,626.6
2013-12-17,626.15
2013-12-18,630.75
2013-12-19,631.5
2013-12-20,650.2
2013-12-23,666.9
2013-12-24,658.1
2013-12-26,669.7
2013-12-27,663.0
2013-12-30,659.85
2013-12-31,663.15
